BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	genotype	source_name	tissue	treatment	group
SAMN09698018	SRR7547660	2019-06-07T16:19:45Z	2018-08-10T15:17:48Z	32696676	6539335200	32696676	200	2784		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR7547660/SRR7547660.1	SRX4413901		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567235	simple	9606	Homo sapiens	GSM3294989							no					GEO	SRA743317		public	C32203DD1632B226159932A9ACE0AAF9	2A89CA63539EE4F9E44BA4B67EBD60BD	9698018	DIPGXIII-KO-COMBO-R1	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567235	GSM3294989	H3.3K27M-KO	Tumor-derived cell-line	glioma tumor	Panobinostat + 5-azacytidine	H3.3K27M_KO.Panobinostat_5azacytidine
SAMN09698019	SRR7547659	2019-06-07T16:19:45Z	2018-07-20T16:37:45Z	59559505	11911901000	59559505	200	5071		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR7547659/SRR7547659.1	SRX4413900		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567259	simple	9606	Homo sapiens	GSM3294988							no					GEO	SRA743317		public	A2430F0BABF18E3DBE01569FE9246E97	B1BC8E23E1C480B9A7EC5D015A537AD5	9698019	DIPGXIII-KO-5AZA-R2	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567259	GSM3294988	H3.3K27M-KO	Tumor-derived cell-line	glioma tumor	5-azacytidine	H3.3K27M_KO.5azacytidine
SAMN09698020	SRR7547658	2019-06-07T16:19:45Z	2018-07-20T16:30:49Z	69569168	13913833600	69569168	200	5874		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR7547658/SRR7547658.1	SRX4413899		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567219	simple	9606	Homo sapiens	GSM3294987							no					GEO	SRA743317		public	E739EFB6C6AF7652893644688E886AB2	E8E6D3DB69AE69F99F1AC1F2E0D3B97B	9698020	DIPGXIII-KO-5AZA-R1	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567219	GSM3294987	H3.3K27M-KO	Tumor-derived cell-line	glioma tumor	5-azacytidine	H3.3K27M_KO.5azacytidine
SAMN09698021	SRR7547657	2019-06-07T16:19:44Z	2018-07-20T16:58:43Z	69308620	13861724000	69308620	200	5974		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR7547657/SRR7547657.1	SRX4413898		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567218	simple	9606	Homo sapiens	GSM3294986							no					GEO	SRA743317		public	6B7F290C6C12C60540AE394A939E0744	DCDB9231136F493B5E3832EEBCDEF532	9698021	DIPGXIII-KO-PANO-R2	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567218	GSM3294986	H3.3K27M-KO	Tumor-derived cell-line	glioma tumor	Panobinostat	H3.3K27M_KO.Panobinostat
SAMN09698022	SRR7547656	2019-06-07T16:19:44Z	2018-07-20T16:21:21Z	65915884	13183176800	65915884	200	5603		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR7547656/SRR7547656.1	SRX4413897		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567217	simple	9606	Homo sapiens	GSM3294985							no					GEO	SRA743317		public	B051DAD79E10C48BCE77E6E7BE3C640B	06B05B1A7FA641289BF6FB896D3F293E	9698022	DIPGXIII-KO-PANO-R1	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567217	GSM3294985	H3.3K27M-KO	Tumor-derived cell-line	glioma tumor	Panobinostat	H3.3K27M_KO.Panobinostat
SAMN09698023	SRR7547655	2019-06-07T16:19:44Z	2018-07-20T16:34:47Z	74006812	14801362400	74006812	200	6221		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR7547655/SRR7547655.1	SRX4413896		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567225	simple	9606	Homo sapiens	GSM3294984							no					GEO	SRA743317		public	8A84BAD70CCC6E8FA69E1DC21C4E9954	EDC40A6B65A9946B680BD17F7B60B3B6	9698023	DIPGXIII-KO-DMSO-R2	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567225	GSM3294984	H3.3K27M-KO	Tumor-derived cell-line	glioma tumor	None	H3.3K27M_KO.None
SAMN09698025	SRR7547654	2019-06-07T16:19:44Z	2018-07-20T16:36:29Z	58414485	11682897000	58414485	200	4977		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR7547654/SRR7547654.1	SRX4413895		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567226	simple	9606	Homo sapiens	GSM3294983							no					GEO	SRA743317		public	9E9E924FBA47C62E5C9FE1076AFAD3F7	C2FCC70A8370DDA63185C394A4D520F9	9698025	DIPGXIII-KO-DMSO-R1	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567226	GSM3294983	H3.3K27M-KO	Tumor-derived cell-line	glioma tumor	None	H3.3K27M_KO.None
SAMN09698027	SRR7547653	2019-06-07T16:19:44Z	2018-07-20T16:11:17Z	53748281	10749656200	53748281	200	4379		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR7547653/SRR7547653.1	SRX4413894		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567248	simple	9606	Homo sapiens	GSM3294982							no					GEO	SRA743317		public	0463004B98B30DBF7EF7F2CD6017BD80	C7A69B18B14E1F1D2351EAF01BB28C2C	9698027	DIPGXIII-COMBO-R3	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567248	GSM3294982	H3.3K27M	Tumor-derived cell-line	glioma tumor	Panobinostat + 5-azacytidine	H3.3K27M.Panobinostat_5azacytidine
SAMN09698028	SRR7547652	2019-06-07T16:19:43Z	2018-07-20T16:15:55Z	48329848	9665969600	48329848	200	4000		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR7547652/SRR7547652.1	SRX4413893		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567212	simple	9606	Homo sapiens	GSM3294981							no					GEO	SRA743317		public	1B4E15B562B7DFEC5D39700788B1EC76	7C191FD108FB059FEC0E682F54C9F697	9698028	DIPGXIII-COMBO-R2	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567212	GSM3294981	H3.3K27M	Tumor-derived cell-line	glioma tumor	Panobinostat + 5-azacytidine	H3.3K27M.Panobinostat_5azacytidine
SAMN09698030	SRR7547651	2019-06-07T16:19:43Z	2018-07-20T16:04:45Z	56560766	11312153200	56560766	200	4649		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR7547651/SRR7547651.1	SRX4413892		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567211	simple	9606	Homo sapiens	GSM3294980							no					GEO	SRA743317		public	BB524426F615565868DC4926764FA0E2	776B18AB6D6AF055B6500F3C58A6FBCB	9698030	DIPGXIII-COMBO-R1	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567211	GSM3294980	H3.3K27M	Tumor-derived cell-line	glioma tumor	Panobinostat + 5-azacytidine	H3.3K27M.Panobinostat_5azacytidine
SAMN09698031	SRR7547650	2019-06-07T16:19:43Z	2018-07-20T16:17:05Z	68732569	13746513800	68732569	200	5698		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR7547650/SRR7547650.1	SRX4413891		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567215	simple	9606	Homo sapiens	GSM3294979							no					GEO	SRA743317		public	4C9B469E1695A6946CD17E600ED6B34C	B0394827E91C2E37E05A4E8D45BD9154	9698031	DIPGXIII-5AZA-R3	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567215	GSM3294979	H3.3K27M	Tumor-derived cell-line	glioma tumor	5-azacytidine	H3.3K27M.5azacytidine
SAMN09698033	SRR7547649	2019-06-07T16:19:43Z	2018-07-20T16:10:09Z	75622563	15124512600	75622563	200	6174		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR7547649/SRR7547649.1	SRX4413890		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567210	simple	9606	Homo sapiens	GSM3294978							no					GEO	SRA743317		public	7E4DDDD1BFE4115939B808F982FD076D	E3CC67EA487080B4CA915941B27935EB	9698033	DIPGXIII-5AZA-R2	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567210	GSM3294978	H3.3K27M	Tumor-derived cell-line	glioma tumor	5-azacytidine	H3.3K27M.5azacytidine
SAMN09698034	SRR7547648	2019-06-07T16:19:43Z	2018-07-20T16:12:01Z	64461618	12892323600	64461618	200	5362		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR7547648/SRR7547648.1	SRX4413889		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567209	simple	9606	Homo sapiens	GSM3294977							no					GEO	SRA743317		public	BCE58CC4DAB53DE1E3F19DF303B985AD	84B914E74B8B341E16F5BE88352813A0	9698034	DIPGXIII-5AZA-R1	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567209	GSM3294977	H3.3K27M	Tumor-derived cell-line	glioma tumor	5-azacytidine	H3.3K27M.5azacytidine
SAMN09698036	SRR7547647	2019-06-07T16:19:43Z	2018-07-20T16:09:10Z	67398205	13479641000	67398205	200	5565		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR7547647/SRR7547647.1	SRX4413888		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567208	simple	9606	Homo sapiens	GSM3294976							no					GEO	SRA743317		public	A820181080FD620224097785AEC72019	C486E8736A5B349C2DEF24DE654726AF	9698036	DIPGXIII-PANO-R3	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567208	GSM3294976	H3.3K27M	Tumor-derived cell-line	glioma tumor	Panobinostat	H3.3K27M.Panobinostat
SAMN09698037	SRR7547646	2019-06-07T16:19:42Z	2018-07-20T16:38:04Z	70571961	14114392200	70571961	200	5824		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR7547646/SRR7547646.1	SRX4413887		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567207	simple	9606	Homo sapiens	GSM3294975							no					GEO	SRA743317		public	80135E3174D1E7C93C6C4E619FC35F74	26FEA72B0C7CD43DABF656E876EFF94F	9698037	DIPGXIII-PANO-R2	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567207	GSM3294975	H3.3K27M	Tumor-derived cell-line	glioma tumor	Panobinostat	H3.3K27M.Panobinostat
SAMN09698039	SRR7547645	2019-06-07T16:19:42Z	2018-07-20T16:28:32Z	49446635	9889327000	49446635	200	4043		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR7547645/SRR7547645.1	SRX4413886		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567216	simple	9606	Homo sapiens	GSM3294974							no					GEO	SRA743317		public	5FAEC1E00E63034378F09AD594C6DCF2	B4DFA19F3BCFF67B8675398BB5128E0A	9698039	DIPGXIII-PANO-R1	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567216	GSM3294974	H3.3K27M	Tumor-derived cell-line	glioma tumor	Panobinostat	H3.3K27M.Panobinostat
SAMN09698040	SRR7547644	2019-06-07T16:19:42Z	2018-07-20T16:18:40Z	58678215	11735643000	58678215	200	4845		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR7547644/SRR7547644.1	SRX4413885		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567205	simple	9606	Homo sapiens	GSM3294973							no					GEO	SRA743317		public	E50EDF5C1CFC4CCEFBA775B7CD210264	44C98CD4D89449379D6F74B2B8DDE238	9698040	DIPGXIII-DMSO-R3	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567205	GSM3294973	H3.3K27M	Tumor-derived cell-line	glioma tumor	None	H3.3K27M.None
SAMN09698042	SRR7547643	2019-06-07T16:19:42Z	2018-07-20T16:14:45Z	57445912	11489182400	57445912	200	4718		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR7547643/SRR7547643.1	SRX4413884		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567206	simple	9606	Homo sapiens	GSM3294972							no					GEO	SRA743317		public	8134711E8EF7C80FDA1DE4E545A1B6B7	40959887BE79AF9BCD657711617CA0AD	9698042	DIPGXIII-DMSO-R2	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567206	GSM3294972	H3.3K27M	Tumor-derived cell-line	glioma tumor	None	H3.3K27M.None
SAMN09698043	SRR7547642	2019-06-07T16:19:42Z	2018-07-20T16:07:20Z	64397716	12879543200	64397716	200	5243		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR7547642/SRR7547642.1	SRX4413883		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567204	simple	9606	Homo sapiens	GSM3294971							no					GEO	SRA743317		public	D4D956050120FFA2C6F32B3A6FFF698F	27611A04B7E30F651924995D8177392D	9698043	DIPGXIII-DMSO-R1	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567204	GSM3294971	H3.3K27M	Tumor-derived cell-line	glioma tumor	None	H3.3K27M.None
SAMN09698045	SRR7547641	2019-06-07T16:19:42Z	2018-07-20T16:32:20Z	60289045	12057809000	60289045	200	4331		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR7547641/SRR7547641.1	SRX4413882		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567213	simple	9606	Homo sapiens	GSM3294970							no					GEO	SRA743317		public	E5579AC8DC0A6268506ED07A563D400F	1BB7D7009B6862B37B8D3912E68356F0	9698045	BT245-DMSO-D7	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567213	GSM3294970	H3.3K27M	Tumor-derived cell-line	glioma tumor	None	H3.3K27M.None
SAMN09698047	SRR7547640	2019-06-07T16:19:42Z	2018-07-20T16:08:22Z	53979657	10795931400	53979657	200	3826		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR7547640/SRR7547640.1	SRX4413881		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567227	simple	9606	Homo sapiens	GSM3294969							no					GEO	SRA743317		public	981A7619A256EF82D3CED72C391BCB36	756F069170F5793F7E2106D5BD3A61F1	9698047	BT245-DMSO-D6	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567227	GSM3294969	H3.3K27M	Tumor-derived cell-line	glioma tumor	None	H3.3K27M.None
SAMN09698048	SRR7547671	2019-06-07T16:19:46Z	2018-07-20T16:57:38Z	97862296	19572459200	97862296	200	8711		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR7547671/SRR7547671.1	SRX4413912		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567234	simple	9606	Homo sapiens	GSM3295000							no					GEO	SRA743317		public	72AB9B0662C1CDA9E9A5B53B87017EDD	E7093AA90B6EC1BE0CD37AC31945A03E	9698048	BT245-KO-PANO-R2	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567234	GSM3295000	H3.3K27M-KO	Tumor-derived cell-line	glioma tumor	Panobinostat	H3.3K27M_KO.Panobinostat
SAMN09698049	SRR7547670	2019-06-07T16:19:46Z	2018-07-20T16:29:26Z	79981637	15996327400	79981637	200	7088		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR7547670/SRR7547670.1	SRX4413911		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567253	simple	9606	Homo sapiens	GSM3294999							no					GEO	SRA743317		public	C52D0CE930B5BF099F307B67FF1C7A08	09D121206366DCC1907BBEEB54668C75	9698049	BT245-KO-PANO-R1	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567253	GSM3294999	H3.3K27M-KO	Tumor-derived cell-line	glioma tumor	Panobinostat	H3.3K27M_KO.Panobinostat
SAMN09698050	SRR7547669	2019-06-07T16:19:46Z	2018-07-20T16:44:24Z	72835932	14567186400	72835932	200	6350		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR7547669/SRR7547669.1	SRX4413910		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567244	simple	9606	Homo sapiens	GSM3294998							no					GEO	SRA743317		public	A5BE4E252951CF4F49DF7C0529592D9F	D4A23025F65E9C1C71688973F47B673C	9698050	BT245-KO-DMSO-R2	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567244	GSM3294998	H3.3K27M-KO	Tumor-derived cell-line	glioma tumor	None	H3.3K27M_KO.None
SAMN09698051	SRR7547675	2019-06-07T16:19:47Z	2018-07-20T16:29:22Z	68660899	13732179800	68660899	200	5955		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR7547675/SRR7547675.1	SRX4413916		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567250	simple	9606	Homo sapiens	GSM3295004							no					GEO	SRA743317		public	C6A56B2B82C953C7AABA455C69BA6043	A35830D741A30482E449F63040C5B0FF	9698051	BT245-KO-COMBO-R2	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567250	GSM3295004	H3.3K27M-KO	Tumor-derived cell-line	glioma tumor	Panobinostat + 5-azacytidine	H3.3K27M_KO.Panobinostat_5azacytidine
SAMN09698052	SRR7547674	2019-06-07T16:19:47Z	2018-07-20T16:21:08Z	71444038	14288807600	71444038	200	6245		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR7547674/SRR7547674.1	SRX4413915		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567232	simple	9606	Homo sapiens	GSM3295003							no					GEO	SRA743317		public	464A374D6AA86B75670F6B67A9E5D054	885B6C64DF24EA445B5A4159F5B0C5F2	9698052	BT245-KO-COMBO-R1	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567232	GSM3295003	H3.3K27M-KO	Tumor-derived cell-line	glioma tumor	Panobinostat + 5-azacytidine	H3.3K27M_KO.Panobinostat_5azacytidine
SAMN09698053	SRR7547673	2019-06-07T16:19:47Z	2018-07-20T16:24:16Z	80764721	16152944200	80764721	200	7103		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR7547673/SRR7547673.1	SRX4413914		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567237	simple	9606	Homo sapiens	GSM3295002							no					GEO	SRA743317		public	43E7D7B42BC96813BF2B1918C3E9CB1E	61A204106C77065B1B9BDAC889CF02AA	9698053	BT245-KO-5AZA-R2	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567237	GSM3295002	H3.3K27M-KO	Tumor-derived cell-line	glioma tumor	5-azacytidine	H3.3K27M_KO.5azacytidine
SAMN09698054	SRR7547672	2019-06-07T16:19:46Z	2018-07-20T16:43:06Z	87876134	17575226800	87876134	200	7701		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR7547672/SRR7547672.1	SRX4413913		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567229	simple	9606	Homo sapiens	GSM3295001							no					GEO	SRA743317		public	17A97AAE71CE7F2913BB43509E03B85F	BD10BEC51ED08B1BEC9E8D21D82BC89C	9698054	BT245-KO-5AZA-R1	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567229	GSM3295001	H3.3K27M-KO	Tumor-derived cell-line	glioma tumor	5-azacytidine	H3.3K27M_KO.5azacytidine
SAMN09698055	SRR7547668	2019-06-07T16:19:46Z	2018-07-20T16:17:56Z	62798720	12559744000	62798720	200	5598		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR7547668/SRR7547668.1	SRX4413909		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567255	simple	9606	Homo sapiens	GSM3294997							no					GEO	SRA743317		public	C2D1FBEF2A2270A1BE1081FB7A2CE497	A888AEDF7AF1D8167D9491C49FB8E081	9698055	BT245-KO-DMSO-R1	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567255	GSM3294997	H3.3K27M-KO	Tumor-derived cell-line	glioma tumor	None	H3.3K27M_KO.None
SAMN09698056	SRR7547667	2019-06-07T16:19:46Z	2018-07-20T16:15:23Z	58541726	11708345200	58541726	200	5700		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR7547667/SRR7547667.1	SRX4413908		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 4000	SRP154573	PRJNA482128	3	482128	SRS3567231	simple	9606	Homo sapiens	GSM3294996							no					GEO	SRA743317		public	D451A4BA5DFE42C759A12173FE4080DC	8CA37085C31B558EF256C177D9C5DFD1	9698056	BT245-COMBO-R2	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS3567231	GSM3294996	H3.3K27M	Tumor-derived cell-line	glioma tumor	Panobinostat + 5-azacytidine	H3.3K27M.Panobinostat_5azacytidine
SAMN11229434	SRR8767253	2019-06-07T16:19:49Z	2019-03-21T18:30:08Z	55102786	11020557200	55102786	200	4613		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8767253/SRR8767253.1	SRX5557465		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP154573	PRJNA482128	3	482128	SRS4521333	simple	9606	Homo sapiens	GSM3682804							no					GEO	SRA743317		public	E1596CDBA8BB3F5C407A51D8F4455692	60949B0E9CE0237E97E3EF634AEC5DEA	11229434	P-14-08877	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS4521333	GSM3682804	H3.3K27M	Tumor	""	None	H3.3K27M.None
SAMN11229435	SRR8767252	2019-06-07T16:19:49Z	2019-03-21T18:31:00Z	56336495	11267299000	56336495	200	4799		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8767252/SRR8767252.1	SRX5557464		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP154573	PRJNA482128	3	482128	SRS4521332	simple	9606	Homo sapiens	GSM3682803							no					GEO	SRA743317		public	3942506A772F9672191CF3B4874340A8	538501079839B8D314EDD49B98247809	11229435	JN-695	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS4521332	GSM3682803	H3.3K27WT	Tumor	""	None	H3.3K27WT.None
SAMN11229436	SRR8767251	2019-06-07T16:19:49Z	2019-03-21T18:28:26Z	57401284	11480256800	57401284	200	4817		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR8767251/SRR8767251.1	SRX5557463		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	SRP154573	PRJNA482128	3	482128	SRS4521331	simple	9606	Homo sapiens	GSM3682802							no					GEO	SRA743317		public	DE9BF6F402D0E6DBEE87C90EEBC80210	DAFACD922CCC04E812C1ABA2C3DE9807	11229436	HSJ-020	Jabado Lab, Department of Pediatrics, McGill University	9606	SRS4521331	GSM3682802	H3.3K27WT	Tumor	""	None	H3.3K27WT.None
