accession	uid	title	organization	taxonomy	sra	geo	batch	cell line	compound	source_name	time-point
SAMN06611446	6611446	NVP-231_0.028_6 [CR2B11]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054056	GSM2539689	2	H-STS NET	NVP-231	H-STS NET cell line, NVP-231, 6h	6h
SAMN06611447	6611447	NVP-231_0.27_6 [CR2B10]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054055	GSM2539688	2	H-STS NET	NVP-231	H-STS NET cell line, NVP-231, 6h	6h
SAMN06611448	6611448	NVP-231_0.27_6 [CR2B09]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054054	GSM2539687	2	H-STS NET	NVP-231	H-STS NET cell line, NVP-231, 6h	6h
SAMN06611449	6611449	Methylstat_0.072_6 [CR2B08]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054053	GSM2539686	2	H-STS NET	Methylstat	H-STS NET cell line, Methylstat, 6h	6h
SAMN06611450	6611450	Methylstat_0.072_6 [CR2B07]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054052	GSM2539685	2	H-STS NET	Methylstat	H-STS NET cell line, Methylstat, 6h	6h
SAMN06611451	6611451	Methylstat_0.72_6 [CR2B06]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054051	GSM2539684	2	H-STS NET	Methylstat	H-STS NET cell line, Methylstat, 6h	6h
SAMN06611452	6611452	Methylstat_0.72_6 [CR2B05]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054050	GSM2539683	2	H-STS NET	Methylstat	H-STS NET cell line, Methylstat, 6h	6h
SAMN06611453	6611453	Alisertib_0.004_6 [CR2A04]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054049	GSM2539682	2	H-STS NET	Alisertib	H-STS NET cell line, Alisertib, 6h	6h
SAMN06611454	6611454	Alisertib_0.004_6 [CR2A03]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054048	GSM2539681	2	H-STS NET	Alisertib	H-STS NET cell line, Alisertib, 6h	6h
SAMN06611455	6611455	Alisertib_0.044_6 [CR2A02]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054047	GSM2539680	2	H-STS NET	Alisertib	H-STS NET cell line, Alisertib, 6h	6h
SAMN06611456	6611456	Alisertib_0.044_6 [CR2A01]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054046	GSM2539679	2	H-STS NET	Alisertib	H-STS NET cell line, Alisertib, 6h	6h
SAMN06611457	6611457	DMSO_0.2_24 [CR1F11]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054044	GSM2539678	1	H-STS NET	DMSO	H-STS NET cell line, DMSO, 24h	24h
SAMN06611458	6611458	DMSO_0.2_24 [CR1F10]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054045	GSM2539677	1	H-STS NET	DMSO	H-STS NET cell line, DMSO, 24h	24h
SAMN06611459	6611459	DMSO_0.2_24 [CR1F09]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054043	GSM2539676	1	H-STS NET	DMSO	H-STS NET cell line, DMSO, 24h	24h
SAMN06611460	6611460	DMSO_0.2_6 [CR1F08]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054042	GSM2539675	1	H-STS NET	DMSO	H-STS NET cell line, DMSO, 6h	6h
SAMN06611461	6611461	DMSO_0.2_6 [CR1F07]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054041	GSM2539674	1	H-STS NET	DMSO	H-STS NET cell line, DMSO, 6h	6h
SAMN06611462	6611462	DMSO_0.2_6 [CR1F06]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054040	GSM2539673	1	H-STS NET	DMSO	H-STS NET cell line, DMSO, 6h	6h
SAMN06611463	6611463	YK-4-279_0.065_24 [CR1F04]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054039	GSM2539672	1	H-STS NET	YK-4-279	H-STS NET cell line, YK-4-279, 24h	24h
SAMN06611464	6611464	YK-4-279_0.65_24 [CR1F03]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054038	GSM2539671	1	H-STS NET	YK-4-279	H-STS NET cell line, YK-4-279, 24h	24h
SAMN06611465	6611465	Topotecan_0.00138_24 [CR1F02]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054037	GSM2539670	1	H-STS NET	Topotecan	H-STS NET cell line, Topotecan, 24h	24h
SAMN06611466	6611466	Topotecan_0.0138_24 [CR1F01]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054036	GSM2539669	1	H-STS NET	Topotecan	H-STS NET cell line, Topotecan, 24h	24h
SAMN06611467	6611467	Tivantinib_0.0709_24 [CR1E12]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054034	GSM2539668	1	H-STS NET	Tivantinib	H-STS NET cell line, Tivantinib, 24h	24h
SAMN06611468	6611468	Tivantinib_0.709_24 [CR1E11]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054035	GSM2539667	1	H-STS NET	Tivantinib	H-STS NET cell line, Tivantinib, 24h	24h
SAMN06611469	6611469	MK-2206_0.684_24 [CR1E10]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054033	GSM2539666	1	H-STS NET	MK-2206	H-STS NET cell line, MK-2206, 24h	24h
SAMN06611470	6611470	MK-2206_6.84_24 [CR1E09]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054032	GSM2539665	1	H-STS NET	MK-2206	H-STS NET cell line, MK-2206, 24h	24h
SAMN06611471	6611471	Vorinostat_0.2_6 [CR10B8]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054420	GSM2540053	10B	H-STS NET	Vorinostat	H-STS NET cell line, Vorinostat, 6h	6h
SAMN06611472	6611472	Manumycin A_4.32_24 [CR08D1]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054320	GSM2539954	8	H-STS NET	Manumycin A	H-STS NET cell line, Manumycin A, 24h	24h
SAMN06611473	6611473	Linifanib_5_24 [CR08C8]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054321	GSM2539953	8	H-STS NET	Linifanib	H-STS NET cell line, Linifanib, 24h	24h
SAMN06611474	6611474	Linifanib_5_24 [CR08C7]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054319	GSM2539952	8	H-STS NET	Linifanib	H-STS NET cell line, Linifanib, 24h	24h
SAMN06611475	6611475	KX2-391_0.024_24 [CR08C2]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054318	GSM2539951	8	H-STS NET	KX2-391	H-STS NET cell line, KX2-391, 24h	24h
SAMN06611476	6611476	KX2-391_0.024_24 [CR08C1]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054317	GSM2539950	8	H-STS NET	KX2-391	H-STS NET cell line, KX2-391, 24h	24h
SAMN06611477	6611477	DMSO__24 [CR08D4]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054316	GSM2539949	8	H-STS NET	DMSO	H-STS NET cell line, DMSO, 24h	24h
SAMN06611478	6611478	DMSO__24 [CR08D3]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054315	GSM2539948	8	H-STS NET	DMSO	H-STS NET cell line, DMSO, 24h	24h
SAMN06611479	6611479	Nutlin-3_0.84_6 [CR08B12]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054314	GSM2539947	8	H-STS NET	Nutlin-3	H-STS NET cell line, Nutlin-3, 6h	6h
SAMN06611480	6611480	Nutlin-3_0.84_6 [CR08B11]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054313	GSM2539946	8	H-STS NET	Nutlin-3	H-STS NET cell line, Nutlin-3, 6h	6h
SAMN06611481	6611481	Neratinib_0.25_6 [CR08B6]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054312	GSM2539945	8	H-STS NET	Neratinib	H-STS NET cell line, Neratinib, 6h	6h
SAMN06611482	6611482	Neratinib_0.25_6 [CR08B5]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054311	GSM2539944	8	H-STS NET	Neratinib	H-STS NET cell line, Neratinib, 6h	6h
SAMN06611483	6611483	Necrosulfonamide_4_6 [CR08A12]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054310	GSM2539943	8	H-STS NET	Necrosulfonamide	H-STS NET cell line, Necrosulfonamide, 6h	6h
SAMN06611484	6611484	Necrosulfonamide_4_6 [CR08A11]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054309	GSM2539942	8	H-STS NET	Necrosulfonamide	H-STS NET cell line, Necrosulfonamide, 6h	6h
SAMN06611485	6611485	ML210_0.04_6 [CR08A6]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054308	GSM2539941	8	H-STS NET	ML210	H-STS NET cell line, ML210, 6h	6h
SAMN06611486	6611486	ML210_0.04_6 [CR08A5]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054307	GSM2539940	8	H-STS NET	ML210	H-STS NET cell line, ML210, 6h	6h
SAMN06611487	6611487	MK-1775_0.08_6 [CR08B9]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054304	GSM2539939	8	H-STS NET	MK-1775	H-STS NET cell line, MK-1775, 6h	6h
SAMN06611488	6611488	MK-1775_0.08_6 [CR08B10]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054306	GSM2539938	8	H-STS NET	MK-1775	H-STS NET cell line, MK-1775, 6h	6h
SAMN06611489	6611489	Mitomycin C_0.44_6 [CR08A9]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054305	GSM2539937	8	H-STS NET	Mitomycin C	H-STS NET cell line, Mitomycin C, 6h	6h
SAMN06611490	6611490	Mitomycin C_0.44_6 [CR08A10]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054303	GSM2539936	8	H-STS NET	Mitomycin C	H-STS NET cell line, Mitomycin C, 6h	6h
SAMN06611491	6611491	Mithramycin A_0.024_6 [CR08A4]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054302	GSM2539935	8	H-STS NET	Mithramycin A	H-STS NET cell line, Mithramycin A, 6h	6h
SAMN06611492	6611492	BIO_3_24 [CR13A1]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054511	GSM2540143	12A	H-STS NET	BIO	H-STS NET cell line, BIO, 24h	24h
SAMN06611493	6611493	BGJ398_4.56_24 [CR13B9]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054509	GSM2540142	12A	H-STS NET	BGJ398	H-STS NET cell line, BGJ398, 24h	24h
SAMN06611494	6611494	BYL719_19.4_24 [CR13D3]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054514	GSM2540148	12A	H-STS NET	BYL719	H-STS NET cell line, BYL719, 24h	24h
SAMN06611495	6611495	BGJ398_4.56_24 [CR13B8]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054505	GSM2540141	12A	H-STS NET	BGJ398	H-STS NET cell line, BGJ398, 24h	24h
SAMN06611496	6611496	AUY922_0.02_24 [CR13D5]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054508	GSM2540140	12A	H-STS NET	AUY922	H-STS NET cell line, AUY922, 24h	24h
SAMN06611497	6611497	AUY922_0.02_24 [CR13D4]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054507	GSM2540139	12A	H-STS NET	AUY922	H-STS NET cell line, AUY922, 24h	24h
SAMN06611498	6611498	Y-27632_3.36_6 [CR12B1]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054501	GSM2540138	12A	H-STS NET	Y-27632	H-STS NET cell line, Y-27632, 6h	6h
SAMN06611499	6611499	SU11274_1.52_6 [CR12B7]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054506	GSM2540137	12A	H-STS NET	SU11274	H-STS NET cell line, SU11274, 6h	6h
SAMN06611500	6611500	SU11274_1.52_6 [CR12B6]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054502	GSM2540136	12A	H-STS NET	SU11274	H-STS NET cell line, SU11274, 6h	6h
SAMN06611501	6611501	RAD001_5.88_6 [CR12B9]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054504	GSM2540135	12A	H-STS NET	RAD001	H-STS NET cell line, RAD001, 6h	6h
SAMN06611502	6611502	RAD001_5.88_6 [CR12B8]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054503	GSM2540134	12A	H-STS NET	RAD001	H-STS NET cell line, RAD001, 6h	6h
SAMN06611503	6611503	PKC412_2.84_6 [CR12D01]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054500	GSM2540133	12A	H-STS NET	PKC412	H-STS NET cell line, PKC412, 6h	6h
SAMN06611504	6611504	PKC412_2.84_6 [CR12C12]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054499	GSM2540132	12A	H-STS NET	PKC412	H-STS NET cell line, PKC412, 6h	6h
SAMN06611505	6611505	Piperlongumine_1.04_6 [CR12A8]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054497	GSM2540131	12A	H-STS NET	Piperlongumine	H-STS NET cell line, Piperlongumine, 6h	6h
SAMN06611506	6611506	NIlotinib_7.68_6 [CR12A10]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054498	GSM2540130	12A	H-STS NET	NIlotinib	H-STS NET cell line, NIlotinib, 6h	6h
SAMN06611507	6611507	NIlotinib_7.68_6 [CR12A9]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054495	GSM2540129	12A	H-STS NET	NIlotinib	H-STS NET cell line, NIlotinib, 6h	6h
SAMN06611508	6611508	Manumycin A_4.32_6 [CR12A2]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054493	GSM2540128	12A	H-STS NET	Manumycin A	H-STS NET cell line, Manumycin A, 6h	6h
SAMN06611509	6611509	Ethanol__6 [CR12B11]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054494	GSM2540127	12C	H-STS NET	Ethanol	H-STS NET cell line, Ethanol, 6h	6h
SAMN06611510	6611510	Ethanol__6 [CR12B10]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054496	GSM2540126	12C	H-STS NET	Ethanol	H-STS NET cell line, Ethanol, 6h	6h
SAMN06611511	6611511	Leptomycin B in Ethanol_0.00012_6 [CR12A12]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054492	GSM2540125	12C	H-STS NET	Leptomycin B in Ethanol	H-STS NET cell line, Leptomycin B in Ethanol, 6h	6h
SAMN06611512	6611512	Leptomycin B in Ethanol_0.00012_6 [CR12A11]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054491	GSM2540124	12C	H-STS NET	Leptomycin B in Ethanol	H-STS NET cell line, Leptomycin B in Ethanol, 6h	6h
SAMN06611513	6611513	LEE011_26.32_6 [CR12C07]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054490	GSM2540123	12A	H-STS NET	LEE011	H-STS NET cell line, LEE011, 6h	6h
SAMN06611514	6611514	LEE011_26.32_6 [CR12C06]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054488	GSM2540122	12A	H-STS NET	LEE011	H-STS NET cell line, LEE011, 6h	6h
SAMN06611515	6611515	LDK378_2.8_6 [CR12C09]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054489	GSM2540121	12A	H-STS NET	LDK378	H-STS NET cell line, LDK378, 6h	6h
SAMN06611516	6611516	LDK378_2.8_6 [CR12C08]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054487	GSM2540120	12A	H-STS NET	LDK378	H-STS NET cell line, LDK378, 6h	6h
SAMN06611517	6611517	INC280_20_6 [CR12C11]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054485	GSM2540119	12A	H-STS NET	INC280	H-STS NET cell line, INC280, 6h	6h
SAMN06611518	6611518	INC280_20_6 [CR12C10]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054486	GSM2540118	12A	H-STS NET	INC280	H-STS NET cell line, INC280, 6h	6h
SAMN06611519	6611519	DMSO__6 [CR12C03]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054484	GSM2540117	12A	H-STS NET	DMSO	H-STS NET cell line, DMSO, 6h	6h
SAMN06611520	6611520	DMSO__6 [CR12C02]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054483	GSM2540116	12A	H-STS NET	DMSO	H-STS NET cell line, DMSO, 6h	6h
SAMN06611521	6611521	Methanol__6 [CR12B5]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054482	GSM2540115	12B	H-STS NET	Methanol	H-STS NET cell line, Methanol, 6h	6h
SAMN06611522	6611522	Belinostat_0.00325_24 [CR1C04]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054003	GSM2539630	1	H-STS NET	Belinostat	H-STS NET cell line, Belinostat, 24h	24h
SAMN06611523	6611523	Imatinib_2_24 [CR1B12]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2053999	GSM2539626	1	H-STS NET	Imatinib	H-STS NET cell line, Imatinib, 24h	24h
SAMN06611524	6611524	AZD8055_20_24 [CR1C01]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054000	GSM2539627	1	H-STS NET	AZD8055	H-STS NET cell line, AZD8055, 24h	24h
SAMN06611525	6611525	Erastin_10_6 [CR10B5]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054391	GSM2540024	10A	H-STS NET	Erastin	H-STS NET cell line, Erastin, 6h	6h
SAMN06611526	6611526	DMSO__6 [CR10B10]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054389	GSM2540023	10A	H-STS NET	DMSO	H-STS NET cell line, DMSO, 6h	6h
SAMN06611527	6611527	DMSO__6 [CR10B9]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054390	GSM2540022	10A	H-STS NET	DMSO	H-STS NET cell line, DMSO, 6h	6h
SAMN06611528	6611528	Bortezomib_0.0088_6 [CR10A6]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054388	GSM2540021	10A	H-STS NET	Bortezomib	H-STS NET cell line, Bortezomib, 6h	6h
SAMN06611529	6611529	Manumycin A_4.32_6 [CR08B1]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054297	GSM2539930	8	H-STS NET	Manumycin A	H-STS NET cell line, Manumycin A, 6h	6h
SAMN06611530	6611530	Linifanib_5_6 [CR08A8]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054296	GSM2539929	8	H-STS NET	Linifanib	H-STS NET cell line, Linifanib, 6h	6h
SAMN06611531	6611531	Linifanib_5_6 [CR08A7]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054295	GSM2539928	8	H-STS NET	Linifanib	H-STS NET cell line, Linifanib, 6h	6h
SAMN06611532	6611532	KX2-391_0.024_6 [CR08A2]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054293	GSM2539927	8	H-STS NET	KX2-391	H-STS NET cell line, KX2-391, 6h	6h
SAMN06611533	6611533	KX2-391_0.024_6 [CR08A1]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054294	GSM2539926	8	H-STS NET	KX2-391	H-STS NET cell line, KX2-391, 6h	6h
SAMN06611534	6611534	DMSO__6 [CR08B4]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054292	GSM2539925	8	H-STS NET	DMSO	H-STS NET cell line, DMSO, 6h	6h
SAMN06611535	6611535	DMSO__6 [CR08B3]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054291	GSM2539924	8	H-STS NET	DMSO	H-STS NET cell line, DMSO, 6h	6h
SAMN06611536	6611536	Ibrutinib_2.4_24 [CR07D12]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054289	GSM2539923	7	H-STS NET	Ibrutinib	H-STS NET cell line, Ibrutinib, 24h	24h
SAMN06611537	6611537	Ibrutinib_2.4_24 [CR07D11]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054288	GSM2539922	7	H-STS NET	Ibrutinib	H-STS NET cell line, Ibrutinib, 24h	24h
SAMN06611538	6611538	HMN_214_0.1_24 [CR07D6]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054287	GSM2539921	7	H-STS NET	HMN_214	H-STS NET cell line, HMN_214, 24h	24h
SAMN06611539	6611539	HMN_214_0.1_24 [CR07D5]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054290	GSM2539920	7	H-STS NET	HMN_214	H-STS NET cell line, HMN_214, 24h	24h
SAMN06611540	6611540	GW-405833_5.4_24 [CR07C12]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054286	GSM2539919	7	H-STS NET	GW-405833	H-STS NET cell line, GW-405833, 24h	24h
SAMN06611541	6611541	GW-405833_5.4_24 [CR07C11]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054285	GSM2539918	7	H-STS NET	GW-405833	H-STS NET cell line, GW-405833, 24h	24h
SAMN06611542	6611542	Gossypol_4.44_24 [CR07C6]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054284	GSM2539917	7	H-STS NET	Gossypol	H-STS NET cell line, Gossypol, 24h	24h
SAMN06611543	6611543	Gossypol_4.44_24 [CR07C5]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054282	GSM2539916	7	H-STS NET	Gossypol	H-STS NET cell line, Gossypol, 24h	24h
SAMN06611544	6611544	Gemcitabine_0.15_24 [CR07D9]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054283	GSM2539915	7	H-STS NET	Gemcitabine	H-STS NET cell line, Gemcitabine, 24h	24h
SAMN06611545	6611545	Gemcitabine_0.15_24 [CR07D10]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054280	GSM2539914	7	H-STS NET	Gemcitabine	H-STS NET cell line, Gemcitabine, 24h	24h
SAMN06611546	6611546	Erastin_15_24 [CR07C9]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054281	GSM2539913	7	H-STS NET	Erastin	H-STS NET cell line, Erastin, 24h	24h
SAMN06611547	6611547	Erastin_15_24 [CR07C10]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054278	GSM2539912	7	H-STS NET	Erastin	H-STS NET cell line, Erastin, 24h	24h
SAMN06611548	6611548	Doxorubicin_0.008_24 [CR07C4]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054277	GSM2539911	7	H-STS NET	Doxorubicin	H-STS NET cell line, Doxorubicin, 24h	24h
SAMN06611549	6611549	Doxorubicin_0.008_24 [CR07C3]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054276	GSM2539910	7	H-STS NET	Doxorubicin	H-STS NET cell line, Doxorubicin, 24h	24h
SAMN06611550	6611550	Docetaxel_0.002_24 [CR07D8]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054275	GSM2539909	7	H-STS NET	Docetaxel	H-STS NET cell line, Docetaxel, 24h	24h
SAMN06611551	6611551	Docetaxel_0.002_24 [CR07D7]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054279	GSM2539908	7	H-STS NET	Docetaxel	H-STS NET cell line, Docetaxel, 24h	24h
SAMN06611552	6611552	DMSO__24 [CR07D4]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054274	GSM2539907	7	H-STS NET	DMSO	H-STS NET cell line, DMSO, 24h	24h
SAMN06611553	6611553	DMSO__24 [CR07D3]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054271	GSM2539906	7	H-STS NET	DMSO	H-STS NET cell line, DMSO, 24h	24h
SAMN06611554	6611554	Dinaciclib_0.009_24 [CR07D2]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054273	GSM2539905	7	H-STS NET	Dinaciclib	H-STS NET cell line, Dinaciclib, 24h	24h
SAMN06611555	6611555	Ethanol__24 [CR13B11]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054537	GSM2540167	12C	H-STS NET	Ethanol	H-STS NET cell line, Ethanol, 24h	24h
SAMN06611556	6611556	Ethanol__24 [CR13B10]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054533	GSM2540166	12C	H-STS NET	Ethanol	H-STS NET cell line, Ethanol, 24h	24h
SAMN06611557	6611557	Leptomycin B in Ethanol_0.00012_24 [CR13A11]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054531	GSM2540165	12C	H-STS NET	Leptomycin B in Ethanol	H-STS NET cell line, Leptomycin B in Ethanol, 24h	24h
SAMN06611558	6611558	Leptomycin B in Ethanol_0.00012_24 [CR13A10]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054527	GSM2540164	12C	H-STS NET	Leptomycin B in Ethanol	H-STS NET cell line, Leptomycin B in Ethanol, 24h	24h
SAMN06611559	6611559	LEE011_26.32_24 [CR13C5]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054532	GSM2540163	12A	H-STS NET	LEE011	H-STS NET cell line, LEE011, 24h	24h
SAMN06611560	6611560	LEE011_26.32_24 [CR13C4]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054530	GSM2540162	12A	H-STS NET	LEE011	H-STS NET cell line, LEE011, 24h	24h
SAMN06611561	6611561	LDK378_2.8_24 [CR13A9]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054529	GSM2540161	12A	H-STS NET	LDK378	H-STS NET cell line, LDK378, 24h	24h
SAMN06611562	6611562	LDK378_2.8_24 [CR13A8]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054528	GSM2540160	12A	H-STS NET	LDK378	H-STS NET cell line, LDK378, 24h	24h
SAMN06611563	6611563	KU-0063794_0.04_24 [CR13B1]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054526	GSM2540159	12A	H-STS NET	KU-0063794	H-STS NET cell line, KU-0063794, 24h	24h
SAMN06611564	6611564	KU-0063794_0.04_24 [CR13A12]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054525	GSM2540158	12A	H-STS NET	KU-0063794	H-STS NET cell line, KU-0063794, 24h	24h
SAMN06611565	6611565	INC280_20_24 [CR13C11]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054523	GSM2540157	12A	H-STS NET	INC280	H-STS NET cell line, INC280, 24h	24h
SAMN06611566	6611566	INC280_20_24 [CR13C10]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054524	GSM2540156	12A	H-STS NET	INC280	H-STS NET cell line, INC280, 24h	24h
SAMN06611567	6611567	DMSO__24 [CR13C3]	Systems Biology, Joint Centers for Systems Biology, Columbia University	9606	SRS2054521	GSM2540155	12A	H-STS NET	DMSO	H-STS NET cell line, DMSO, 24h	24h
