experiment,contrast,cell_line,morphology,tissue,disease,drug,target,dose,time_hr
PRJNA340369,UCSD_AML1.Cyclocreatine,UCSD-AML1,lymphoblast,bone,Acute myeloid leukemia,Cyclocreatine,Protein kinase (PK),3mM,24
PRJNA340369,UT_7.Cyclocreatine,UT-7,lymphoblast,bone,Acute myeloid leukemia,Cyclocreatine,Protein kinase (PK),3mM,24
PRJNA379584,d_be_q.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,d_be_q,Progesterone receptor (PGR),ED20 and 1/10 of it,24
PRJNA379584,d_be_q.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,d_be_q,Progesterone receptor (PGR),ED20 and 1/10 of it,6
PRJNA379584,dasatinib.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,dasatinib,Fusion protein Bcr-Abl (Bcr-Abl); Fyn tyrosine protein kinase (FYN); LCK tyrosine protein kinase (LCK); Proto-oncogene c-Src (SRC),ED20 and 1/10 of it,24
PRJNA379584,dasatinib.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,dasatinib,Fusion protein Bcr-Abl (Bcr-Abl); Fyn tyrosine protein kinase (FYN); LCK tyrosine protein kinase (LCK); Proto-oncogene c-Src (SRC),ED20 and 1/10 of it,6
PRJNA315414,MOLT4.dBET6.2,MOLT-4,lymphoblast,blood,Acute lymphoblastic leukemia ,dBET6,Bromodomain and extraterminal domain protein (BET),,2
PRJNA315414,MOLT4.dBET6.6,MOLT-4,lymphoblast,blood,Acute lymphoblastic leukemia ,dBET6,Bromodomain and extraterminal domain protein (BET),,6
PRJNA315414,primary_T_cell.dBET6.0,T-ALL,primary human cells,blood,Acute lymphoblastic leukemia ,dBET6,Bromodomain and extraterminal domain protein (BET),,
PRJNA315414,T_ALL_PDX.dBET6.0,T-ALL_PDX,primary human cells,blood,Acute lymphoblastic leukemia ,dBET6,Bromodomain and extraterminal domain protein (BET),,
PRJNA260377,cmml1_resonder,BM MNC,primary human cells,bone,chronic myelomonocytic leukemia ,Decitabine,Human Deoxyribonucleic acid (hDNA),20 mg/m2/day i.v.,3 cycles 5d/28d
PRJNA260377,cmml2_respnder,BM MNC,primary human cells,bone,chronic myelomonocytic leukemia ,Decitabine,Human Deoxyribonucleic acid (hDNA),20 mg/m2/day i.v.,3 cycles 5d/28d
PRJNA596778,dac,786-0,epithelial,kidney,Adenocarcinoma,Decitabine,Human Deoxyribonucleic acid (hDNA),300/100nM,120
PRJNA318019,dac,GBM,epithelial,brain,Glioblastoma,Decitabine,Human Deoxyribonucleic acid (hDNA),1uM,72
PRJNA642730,dac,GSC,epithelial,brain,Glioblastoma,Decitabine,Human Deoxyribonucleic acid (hDNA),NA,NA
PRJNA316529,dac,HL-60,promyeloblast,blood,acute promyelocytic leukemia,Decitabine,Human Deoxyribonucleic acid (hDNA),100nM,72
PRJNA607909,dac,LUAD,,lung,,Decitabine,Human Deoxyribonucleic acid (hDNA),100nM,72
PRJNA265187,dac,SW48,epithelial,large intestine; colon,"Adenocarcinoma; Colorectal; Dukes' type C, grade IV",Decitabine,Human Deoxyribonucleic acid (hDNA),NA,NA
PRJNA649431,dac,T-ALL,lymphoblast,blood,Acute lymphoblastic leukemia ALL,Decitabine,Human Deoxyribonucleic acid (hDNA),NA,NA
PRJNA649432,dac,T-ALL,lymphoblast,blood,Acute lymphoblastic leukemia ALL,Decitabine,Human Deoxyribonucleic acid (hDNA),NA,NA
proa,dac,YB5,epithelial,large intestine; colon,"Adenocarcinoma; Colorectal; Dukes' type C, grade IV",Decitabine,Human Deoxyribonucleic acid (hDNA),100nM,48
tak,dac,YB5,epithelial,large intestine; colon,"Adenocarcinoma; Colorectal; Dukes' type C, grade IV",Decitabine,Human Deoxyribonucleic acid (hDNA),100nM,96
PRJNA596778,dac_100nM.786,786-0,epithelial,kidney,Adenocarcinoma,Decitabine,Human Deoxyribonucleic acid (hDNA),100nM,120
PRJNA670901,dac_12.5nM,TCL,lymphoblast,blood,Acute lymphoblastic leukemia ALL,Decitabine,Human Deoxyribonucleic acid (hDNA),12.5nM,NA
PRJNA670901,dac_25nM,TCL,lymphoblast,blood,Acute lymphoblastic leukemia ALL,Decitabine,Human Deoxyribonucleic acid (hDNA),25nM,NA
PRJNA596778,dac_300nM.786,786-0,epithelial,kidney,Adenocarcinoma,Decitabine,Human Deoxyribonucleic acid (hDNA),300nM,120
PRJNA670901,dac_5nM,TCL,lymphoblast,blood,Acute lymphoblastic leukemia ALL,Decitabine,Human Deoxyribonucleic acid (hDNA),5nM,NA
hh1,dac_96hr,YB5,epithelial,large intestine; colon,"Adenocarcinoma; Colorectal; Dukes' type C, grade IV",Decitabine,Human Deoxyribonucleic acid (hDNA),NA,96
PRJNA596778,dac.100nM,786-0,epithelial,kidney,Adenocarcinoma,Decitabine,Human Deoxyribonucleic acid (hDNA),100nM,120
PRJNA596778,dac.300nM,786-0,epithelial,kidney,Adenocarcinoma,Decitabine,Human Deoxyribonucleic acid (hDNA),300nM,120
PRJNA670901,HH.dac,HH,lymphoblast,blood,Lymphoma,Decitabine,Human Deoxyribonucleic acid (hDNA),5/12.5/25nM,NA
PRJNA670901,HH.dac_12.5nM,HH,lymphoblast,blood,Lymphoma,Decitabine,Human Deoxyribonucleic acid (hDNA),12.5nM,NA
PRJNA670901,HH.dac_25nM,HH,lymphoblast,blood,Lymphoma,Decitabine,Human Deoxyribonucleic acid (hDNA),25nM,NA
PRJNA670901,HH.dac_5nM,HH,lymphoblast,blood,Lymphoma,Decitabine,Human Deoxyribonucleic acid (hDNA),5nM,NA
PRJNA596778,HKC.dac_100nM,HKC,epithelial,kidney,Adenocarcinoma,Decitabine,Human Deoxyribonucleic acid (hDNA),100nM,120
PRJNA596778,HKC.dac_300nM,HKC,epithelial,kidney,Adenocarcinoma,Decitabine,Human Deoxyribonucleic acid (hDNA),300nM,120
PRJNA318019,lnt_dac,LNT-299,epithelial,brain,Glioblastoma,Decitabine,Human Deoxyribonucleic acid (hDNA),1uM,72
PRJNA649432,Loucy.dac,Loucy,lymphoblast,blood,Acute lymphoblastic leukemia ALL,Decitabine,Human Deoxyribonucleic acid (hDNA),NA,NA
PRJNA649432,MOLT_16.dac,MOLT,lymphoblast,blood,Acute lymphoblastic leukemia ALL,Decitabine,Human Deoxyribonucleic acid (hDNA),NA,NA
PRJNA642730,NCH1681.dac,NCH1681,epithelial,brain,Glioblastoma,Decitabine,Human Deoxyribonucleic acid (hDNA),NA,NA
PRJNA642730,NCH612.dac,NCH612,epithelial,brain,Glioblastoma,Decitabine,Human Deoxyribonucleic acid (hDNA),NA,NA
PRJNA649431,PDX_TALL1.dac,T-ALL1,lymphoblast,blood,Acute lymphoblastic leukemia ALL,Decitabine,Human Deoxyribonucleic acid (hDNA),NA,NA
PRJNA649431,PDX_TALL2.dac,T-ALL2,lymphoblast,blood,Acute lymphoblastic leukemia ALL,Decitabine,Human Deoxyribonucleic acid (hDNA),NA,NA
PRJNA649432,PEER.dac,PEER,lymphoblast,blood,Acute lymphoblastic leukemia ALL,Decitabine,Human Deoxyribonucleic acid (hDNA),NA,NA
PRJNA649432,PER_117.dac,PER,lymphoblast,blood,Acute lymphoblastic leukemia ALL,Decitabine,Human Deoxyribonucleic acid (hDNA),NA,NA
PRJNA670901,PF382.dac,PF-382,lymphoblast,blood,Acute lymphoblastic leukemia ALL,Decitabine,Human Deoxyribonucleic acid (hDNA),5/12.5/25nM,NA
PRJNA670901,PF382.dac_12.5nM,PF-382,lymphoblast,blood,Acute lymphoblastic leukemia ALL,Decitabine,Human Deoxyribonucleic acid (hDNA),12.5nM,NA
PRJNA670901,PF382.dac_25nM,PF-382,lymphoblast,blood,Acute lymphoblastic leukemia ALL,Decitabine,Human Deoxyribonucleic acid (hDNA),25nM,NA
PRJNA670901,PF382.dac_5nM,PF-382,lymphoblast,blood,Acute lymphoblastic leukemia ALL,Decitabine,Human Deoxyribonucleic acid (hDNA),5nM,NA
PRJNA260377,responder,BM MNC,primary human cells,bone,chronic myelomonocytic leukemia ,Decitabine,Human Deoxyribonucleic acid (hDNA),20 mg/m2/day i.v.,3 cycles 5d/28d
PRJNA642730,SU_AO3.dac,SU-AO3,epithelial,brain,Glioblastoma,Decitabine,Human Deoxyribonucleic acid (hDNA),NA,NA
PRJNA318019,t98g_dac,T98G,epithelial,brain,Glioblastoma,Decitabine,Human Deoxyribonucleic acid (hDNA),1uM,72
PRJNA649432,TALL_1.dac,T-ALL1,lymphoblast,blood,Acute lymphoblastic leukemia ALL,Decitabine,Human Deoxyribonucleic acid (hDNA),NA,NA
PRJNA657045,Till_CAR.dac_14d_vs_7d,CAR T,PBMC,blood,,Decitabine,Human Deoxyribonucleic acid (hDNA),NA,336
PRJNA657045,Till_dCAR.dac_14d_vs_7d,CAR T,PBMC,blood,,Decitabine,Human Deoxyribonucleic acid (hDNA),NA,336
PRJNA670901,TLOm1.dac,TLOm1,lymphoblast,blood,Acute lymphoblastic leukemia ALL,Decitabine,Human Deoxyribonucleic acid (hDNA),5/12.5/25nM,NA
PRJNA670901,TLOm1.dac_12.5nM,TLOm1,lymphoblast,blood,Acute lymphoblastic leukemia ALL,Decitabine,Human Deoxyribonucleic acid (hDNA),12.5nM,NA
PRJNA670901,TLOm1.dac_25nM,TLOm1,lymphoblast,blood,Acute lymphoblastic leukemia ALL,Decitabine,Human Deoxyribonucleic acid (hDNA),25nM,NA
PRJNA670901,TLOm1.dac_5nM,TLOm1,lymphoblast,blood,Acute lymphoblastic leukemia ALL,Decitabine,Human Deoxyribonucleic acid (hDNA),5nM,NA
PRJNA642730,TS603.dac,TS603,epithelial,brain,Glioblastoma,Decitabine,Human Deoxyribonucleic acid (hDNA),NA,NA
PRJNA318019,u87_dac,U-87,epithelial,brain,Glioblastoma,Decitabine,Human Deoxyribonucleic acid (hDNA),1uM,72
PRJNA316529,dac_deazaneplanocinA,HL-60,promyeloblast,blood,acute promyelocytic leukemia,Decitabine + 3-deazaneplanocin A,Human Deoxyribonucleic acid (hDNA); Adenosylhomocysteinase (AHCY),100nM + 1000nM,72
tak,dac_depsi,YB5,epithelial,large intestine; colon,"Adenocarcinoma; Colorectal; Dukes' type C, grade IV",Decitabine + Depsipeptide,Human Deoxyribonucleic acid (hDNA); Histone deacetylase 1 (HDAC1),100nM + 20nM,96
tak,dac_gsk343,YB5,epithelial,large intestine; colon,"Adenocarcinoma; Colorectal; Dukes' type C, grade IV",Decitabine + GSK343,Human Deoxyribonucleic acid (hDNA);  Enhancer of zeste homolog 1 (EZH1); Enhancer of zeste homolog 2 (EZH2),100nM + 1uM,96
hh1,dac_hh1_10um_96hr,YB5,epithelial,large intestine; colon,"Adenocarcinoma; Colorectal; Dukes' type C, grade IV",Decitabine + HH1,Human Deoxyribonucleic acid (hDNA); Cyclin-dependent kinase 9 (CDK9) ,10uM,96
hh1,dac_hh1_25um_96hr,YB5,epithelial,large intestine; colon,"Adenocarcinoma; Colorectal; Dukes' type C, grade IV",Decitabine + HH1,Human Deoxyribonucleic acid (hDNA); Cyclin-dependent kinase 9 (CDK9) ,25uM,96
proa,dac_proa,YB5,epithelial,large intestine; colon,"Adenocarcinoma; Colorectal; Dukes' type C, grade IV",Decitabine + Proscillaridin A,Human Deoxyribonucleic acid (hDNA); Enzyme inhibitors; Cardiotonic agents,100nM + 50nM,48
PRJNA657045,dCAR.dac_Raij_vs_dac,CAR,PBMC,blood,,Decitabine + Raij coculture,Human Deoxyribonucleic acid (hDNA),NA,336
tak,dac_s2102,YB5,epithelial,large intestine; colon,"Adenocarcinoma; Colorectal; Dukes' type C, grade IV",Decitabine + S2101,Human Deoxyribonucleic acid (hDNA); Lysine-Specific Demethylase 1 (LSD1) Inhibitor,100nM + 10uM,96
PRJNA265187,dac_siCHD4,SW48,epithelial,large intestine; colon,"Adenocarcinoma; Colorectal; Dukes' type C, grade IV",Decitabine + siCHD4,Human Deoxyribonucleic acid (hDNA),NA,NA
tak,dac_unc0628,YB5,epithelial,large intestine; colon,"Adenocarcinoma; Colorectal; Dukes' type C, grade IV",Decitabine + UNC0638,Human Deoxyribonucleic acid (hDNA); Euchromatic histone-lysine N-methyltransferase 1 (EHMT1); Histone-lysine N-methyltransferase EHMT2 (EHMT2),100nM + 1uM,96
tak,depsi,YB5,epithelial,large intestine; colon,"Adenocarcinoma; Colorectal; Dukes' type C, grade IV",Depsipeptide,Histone deacetylase 1 (HDAC1),20nM,96
PRJNA379584,dinaciclib.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,dinaciclib,Cyclin-dependent kinase 1 (CDK1); Cyclin-dependent kinase 2 (CDK2); Cyclin-dependent kinase 9 (CDK9),ED20 and 1/10 of it,24
PRJNA379584,dinaciclib.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,dinaciclib,Cyclin-dependent kinase 1 (CDK1); Cyclin-dependent kinase 2 (CDK2); Cyclin-dependent kinase 9 (CDK9),ED20 and 1/10 of it,6
PRJNA379584,dmso.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,dmso,FK506-binding protein 1A (FKBP1A),ED20 and 1/10 of it,24
PRJNA379584,dmso.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,dmso,FK506-binding protein 1A (FKBP1A),ED20 and 1/10 of it,6
PRJNA379584,docetaxel.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,docetaxel,Tubulin (TUB),ED20 and 1/10 of it,24
PRJNA379584,docetaxel.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,docetaxel,Tubulin (TUB),ED20 and 1/10 of it,6
PRJNA335388,bc_dox,MDA-MB231,epithelial,breast,Adenocarcinoma,Doxorubicin,DNA topoisomerase II (TOP2); TERT messenger RNA (TERT mRNA),1uM,72
PRJNA555350,doxorubicin,HEL,lymphoblast,bone,Erythroleukemia,Doxorubicin,DNA topoisomerase II (TOP2); TERT messenger RNA (TERT mRNA),3mg/kg,120
PRJNA335388,doxorubicin.1uM,Breast/Osteosarcoma,epithelial,breast + bone,,Doxorubicin,DNA topoisomerase II (TOP2); TERT messenger RNA (TERT mRNA),1uM,72
PRJNA379584,doxorubicin.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,Doxorubicin,DNA topoisomerase II (TOP2); TERT messenger RNA (TERT mRNA),ED20 and 1/10 of it,24
PRJNA315294,doxorubicin.300nM.16h,CRC,epithelial,large intestine; colon,"Adenocarcinoma; Colorectal; Dukes' type C, grade IV",Doxorubicin,DNA topoisomerase II (TOP2); TERT messenger RNA (TERT mRNA),300nM,16
PRJNA379584,doxorubicin.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,Doxorubicin,DNA topoisomerase II (TOP2); TERT messenger RNA (TERT mRNA),ED20 and 1/10 of it,6
PRJNA315294,hct_dox,HCT116,epithelial,large intestine; colon,Carcinoma,Doxorubicin,DNA topoisomerase II (TOP2); TERT messenger RNA (TERT mRNA),300nM,16
PRJNA315294,hct_ko_dox,HCT116_p53_KO,epithelial,large intestine; colon,Carcinoma,Doxorubicin,DNA topoisomerase II (TOP2); TERT messenger RNA (TERT mRNA),300nM,16
PRJNA315294,hct_wt_dox,HCT116_p53_WT,epithelial,large intestine; colon,Carcinoma,Doxorubicin,DNA topoisomerase II (TOP2); TERT messenger RNA (TERT mRNA),300nM,16
PRJNA335388,os_dox,U2OS,epithelial,bone,Osteosarcoma,Doxorubicin,DNA topoisomerase II (TOP2); TERT messenger RNA (TERT mRNA),1uM,72
PRJNA315294,rko_dox,RKO,epithelial,large intestine; colon,Carcinoma,Doxorubicin,DNA topoisomerase II (TOP2); TERT messenger RNA (TERT mRNA),300nM,16
PRJNA315294,rko_ko_dox,RKO_p53_KO,epithelial,large intestine; colon,Carcinoma,Doxorubicin,DNA topoisomerase II (TOP2); TERT messenger RNA (TERT mRNA),300nM,16
PRJNA315294,rko_wt_dox,RKO_p53_WT,epithelial,large intestine; colon,Carcinoma,Doxorubicin,DNA topoisomerase II (TOP2); TERT messenger RNA (TERT mRNA),300nM,16
PRJNA315294,sw48_dox,SW48,epithelial,large intestine; colon,"Adenocarcinoma; Colorectal; Dukes' type C, grade IV",Doxorubicin,DNA topoisomerase II (TOP2); TERT messenger RNA (TERT mRNA),300nM,16
PRJNA315294,sw48_ko_dox,SW48_p53_KO,epithelial,large intestine; colon,"Adenocarcinoma; Colorectal; Dukes' type C, grade IV",Doxorubicin,DNA topoisomerase II (TOP2); TERT messenger RNA (TERT mRNA),300nM,16
PRJNA315294,sw48_wt_dox,SW48_p53_WT,epithelial,large intestine; colon,"Adenocarcinoma; Colorectal; Dukes' type C, grade IV",Doxorubicin,DNA topoisomerase II (TOP2); TERT messenger RNA (TERT mRNA),300nM,16
PRJNA555350,doxorubicin_cytabine,HEL,lymphoblast,bone,Erythroleukemia,Doxorubicin + Cytarabine,DNA topoisomerase II (TOP2); TERT messenger RNA (TERT mRNA); Herpes simplex virus DNA polymerase UL30 (HSV UL30),3mg/kg + 100mg/kg,120
PRJNA555350,doxorubicin_cytabine_decitabine,HEL,lymphoblast,bone,Erythroleukemia,Doxorubicin + Cytarabine + Decitibine,DNA topoisomerase II (TOP2); TERT messenger RNA (TERT mRNA); Herpes simplex virus DNA polymerase UL30 (HSV UL30); Human Deoxyribonucleic acid (hDNA),3mg/kg + 100mg/kg + 0.5mg/kg,120
PRJNA379584,entinostat.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,entinostat,Histone deacetylase (HDAC); Histone deacetylase 1 (HDAC1),ED20 and 1/10 of it,24
PRJNA379584,entinostat.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,entinostat,Histone deacetylase (HDAC); Histone deacetylase 1 (HDAC1),ED20 and 1/10 of it,6
PRJNA379584,epigallocatechin_gallate.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,epigallocatechin_gallate,Fatty acid synthase (FASN); Human immunodeficiency virus Reverse transcriptase (HIV RT); Matrix metalloproteinase-14 (MMP-14); Matrix metalloproteinase-2 (MMP-2); Neutrophil elastase (NE); Plasmodium Beta-hydroxyacyl-ACP dehydratase (Malaria FabZ); Plasmodium Enoyl-ACP reductase (Malaria fabI); Plasmodium Oxoacyl-[acyl-carrier protein] reductase (Malaria fabG); Squalene monooxygenase (SQLE),ED20 and 1/10 of it,24
PRJNA379584,epigallocatechin_gallate.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,epigallocatechin_gallate,Fatty acid synthase (FASN); Human immunodeficiency virus Reverse transcriptase (HIV RT); Matrix metalloproteinase-14 (MMP-14); Matrix metalloproteinase-2 (MMP-2); Neutrophil elastase (NE); Plasmodium Beta-hydroxyacyl-ACP dehydratase (Malaria FabZ); Plasmodium Enoyl-ACP reductase (Malaria fabI); Plasmodium Oxoacyl-[acyl-carrier protein] reductase (Malaria fabG); Squalene monooxygenase (SQLE),ED20 and 1/10 of it,6
PRJNA379584,erastin.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,erastin,VDAC activator,ED20 and 1/10 of it,24
PRJNA379584,erastin.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,erastin,VDAC activator,ED20 and 1/10 of it,6
PRJNA392914,erlotinib.1uM_24hr,PC9,epithelial,lung,Carcinoma,Erlotinib,Epidermal growth factor receptor (EGFR),1um,24
PRJNA379584,ethanol.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,ethanol,GABA(A) receptor alpha-1 (GABRA1),ED20 and 1/10 of it,24
PRJNA379584,ethanol.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,ethanol,GABA(A) receptor alpha-1 (GABRA1),ED20 and 1/10 of it,6
PRJNA335388,bc_eto,MDA-MB231,epithelial,breast,Adenocarcinoma,Etoposide,DNA topoisomerase II (TOP2),20uM,72
PRJNA387040,etoposide,IMR90,fibroblast,lung,Normal,Etoposide,DNA topoisomerase II (TOP2),100uM,48
PRJNA335388,etoposide.20uM,Breast/Osteosarcoma,epithelial,breast + bone,,Etoposide,DNA topoisomerase II (TOP2),20uM,72
PRJNA387040,ko_eto,IMR90_shNTC,fibroblast,lung,Normal,Etoposide,DNA topoisomerase II (TOP2),100uM,48
PRJNA335388,os_eto,U2OS,epithelial,bone,Osteosarcoma,Etoposide,DNA topoisomerase II (TOP2),20uM,72
PRJNA387040,wt_eto,IMR90_shCGAS,fibroblast,lung,Normal,Etoposide,DNA topoisomerase II (TOP2),100uM,48
PRJNA395584,MV_4_11_B.EX00101218.5uM,MV-4-11B,lymphoblast,blood,Biphenotypic B Myelomonocytic Leukemia,EX00101218,Bromodomain and extraterminal domain protein (BET),5uM,
PRJNA379584,fingolimod.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,fingolimod,Sphingosine-1-phosphate receptor 1 (S1PR1),ED20 and 1/10 of it,24
PRJNA379584,fingolimod.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,fingolimod,Sphingosine-1-phosphate receptor 1 (S1PR1),ED20 and 1/10 of it,6
PRJNA379584,fk866.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,fk866,Nicotinamide phosphoribosyltransferase (NAMPT),ED20 and 1/10 of it,24
PRJNA379584,fk866.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,fk866,Nicotinamide phosphoribosyltransferase (NAMPT),ED20 and 1/10 of it,6
PRJNA379584,flavopiridol.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,flavopiridol,Cyclin-dependent kinase (CDK); Cyclin-dependent kinase 9 (CDK9); Myophosphorylase (PYGM),ED20 and 1/10 of it,24
PRJNA379584,flavopiridol.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,flavopiridol,Cyclin-dependent kinase (CDK); Cyclin-dependent kinase 9 (CDK9); Myophosphorylase (PYGM),ED20 and 1/10 of it,6
PRJNA379584,fluvastatin.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,fluvastatin,HMG-CoA reductase (HMGCR),ED20 and 1/10 of it,24
PRJNA379584,fluvastatin.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,fluvastatin,HMG-CoA reductase (HMGCR),ED20 and 1/10 of it,6
PRJNA379584,foretinib.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,foretinib,Proto-oncogene c-Met (MET);  Vascular endothelial growth factor receptor 2 (KDR),ED20 and 1/10 of it,24
PRJNA379584,foretinib.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,foretinib,Proto-oncogene c-Met (MET);  Vascular endothelial growth factor receptor 2 (KDR),ED20 and 1/10 of it,6
PRJNA641077,x1874,HCT116,epithelial,large intestine; colon,Carcinoma,GB1874,β-catenin (β-cat)-TCF4 protein-protein interaction (PPI),50uM,24
PRJNA641077,x6853,HCT116,epithelial,large intestine; colon,Carcinoma,GB6853,β-catenin (β-cat)-TCF4 protein-protein interaction (PPI),50uM,24
PRJNA641077,x8679,HCT116,epithelial,large intestine; colon,Carcinoma,GB8679,β-catenin (β-cat)-TCF4 protein-protein interaction (PPI),50uM,24
PRJNA379584,gdc.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,gdc,PI3-kinase gamma (PIK3CG),ED20 and 1/10 of it,6
PRJNA379584,gdc_0941.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,gdc_0941,PI3-kinase gamma (PIK3CG),ED20 and 1/10 of it,24
PRJNA379584,gdc_0941.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,gdc_0941,PI3-kinase gamma (PIK3CG),ED20 and 1/10 of it,6
PRJNA379584,gemcitabine.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,gemcitabine,Ribonucleoside-diphosphate reductase M2 (RRM2),ED20 and 1/10 of it,24
PRJNA379584,gemcitabine.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,gemcitabine,Ribonucleoside-diphosphate reductase M2 (RRM2),ED20 and 1/10 of it,6
PRJNA379584,gossypol.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,gossypol,Apoptosis regulator Bcl-2 (BCL-2),ED20 and 1/10 of it,24
PRJNA379584,gossypol.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,gossypol,Apoptosis regulator Bcl-2 (BCL-2),ED20 and 1/10 of it,6
PRJNA379584,gsk1210151a.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,gsk1210151a,Bromodomain-containing protein 2 (BRD2); Bromodomain-containing protein 3 (BRD3); Bromodomain-containing protein 4 (BRD4),ED20 and 1/10 of it,24
PRJNA379584,gsk1210151a.6,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,gsk1210151a,Bromodomain-containing protein 2 (BRD2); Bromodomain-containing protein 3 (BRD3); Bromodomain-containing protein 4 (BRD4),ED20 and 1/10 of it,6
tak,gsk343,YB5,epithelial,large intestine; colon,"Adenocarcinoma; Colorectal; Dukes' type C, grade IV",GSK343,Enhancer of zeste homolog 1 (EZH1); Enhancer of zeste homolog 2 (EZH2),1uM,96
PRJNA379584,gsk461364.24,H-STS NET,EBV-transformed lymphoblastoid cell line,pancreas; small bowel; rectum,Gastroenteropancreatic neuroendocrine tumors,gsk461364,Polo-like kinase 1 (PLK1),ED20 and 1/10 of it,24
