id,experiment,contrast
PRJNA379584.Ibrutinib_vs_DMSO_24hr.7,PRJNA379584,Ibrutinib_vs_DMSO_24hr.7
PRJNA379584.KX2_391_vs_DMSO_6hr.8,PRJNA379584,KX2_391_vs_DMSO_6hr.8
PRJNA379584.KX2_391_vs_DMSO_24hr.8,PRJNA379584,KX2_391_vs_DMSO_24hr.8
PRJNA379584.Linifanib_vs_DMSO_6hr.8,PRJNA379584,Linifanib_vs_DMSO_6hr.8
PRJNA379584.Linifanib_vs_DMSO_24hr.8,PRJNA379584,Linifanib_vs_DMSO_24hr.8
PRJNA379584.Manumycin_A_vs_DMSO_6hr.8,PRJNA379584,Manumycin_A_vs_DMSO_6hr.8
PRJNA379584.Manumycin_A_vs_DMSO_24hr.8,PRJNA379584,Manumycin_A_vs_DMSO_24hr.8
PRJNA379584.MG_132_vs_DMSO_6hr.8,PRJNA379584,MG_132_vs_DMSO_6hr.8
PRJNA379584.MG_132_vs_DMSO_24hr.8,PRJNA379584,MG_132_vs_DMSO_24hr.8
PRJNA379584.Mithramycin_A_vs_DMSO_6hr.8,PRJNA379584,Mithramycin_A_vs_DMSO_6hr.8
PRJNA379584.Mithramycin_A_vs_DMSO_24hr.8,PRJNA379584,Mithramycin_A_vs_DMSO_24hr.8
PRJNA379584.Mitomycin_C_vs_DMSO_6hr.8,PRJNA379584,Mitomycin_C_vs_DMSO_6hr.8
PRJNA379584.Mitomycin_C_vs_DMSO_24hr.8,PRJNA379584,Mitomycin_C_vs_DMSO_24hr.8
PRJNA379584.MK_1775_vs_DMSO_6hr.8,PRJNA379584,MK_1775_vs_DMSO_6hr.8
PRJNA379584.MK_1775_vs_DMSO_24hr.8,PRJNA379584,MK_1775_vs_DMSO_24hr.8
PRJNA379584.ML210_vs_DMSO_6hr.8,PRJNA379584,ML210_vs_DMSO_6hr.8
PRJNA379584.ML210_vs_DMSO_24hr.8,PRJNA379584,ML210_vs_DMSO_24hr.8
PRJNA379584.Necrosulfonamide_vs_DMSO_6hr.8,PRJNA379584,Necrosulfonamide_vs_DMSO_6hr.8
PRJNA379584.Necrosulfonamide_vs_DMSO_24hr.8,PRJNA379584,Necrosulfonamide_vs_DMSO_24hr.8
PRJNA379584.Neratinib_vs_DMSO_6hr.8,PRJNA379584,Neratinib_vs_DMSO_6hr.8
PRJNA379584.Neratinib_vs_DMSO_24hr.8,PRJNA379584,Neratinib_vs_DMSO_24hr.8
PRJNA379584.Nutlin_3_vs_DMSO_6hr.8,PRJNA379584,Nutlin_3_vs_DMSO_6hr.8
PRJNA379584.Nutlin_3_vs_DMSO_24hr.8,PRJNA379584,Nutlin_3_vs_DMSO_24hr.8
PRJNA379584.FK866_vs_DMSO_6hr.9,PRJNA379584,FK866_vs_DMSO_6hr.9
PRJNA379584.FK866_vs_DMSO_24hr.9,PRJNA379584,FK866_vs_DMSO_24hr.9
PRJNA379584.Istradefylline_vs_DMSO_6hr.9,PRJNA379584,Istradefylline_vs_DMSO_6hr.9
PRJNA379584.Istradefylline_vs_DMSO_24hr.9,PRJNA379584,Istradefylline_vs_DMSO_24hr.9
PRJNA379584.PAC_1_vs_DMSO_6hr.9,PRJNA379584,PAC_1_vs_DMSO_6hr.9
PRJNA379584.PAC_1_vs_DMSO_24hr.9,PRJNA379584,PAC_1_vs_DMSO_24hr.9
PRJNA379584.Paclitaxel_vs_DMSO_6hr.9,PRJNA379584,Paclitaxel_vs_DMSO_6hr.9
PRJNA379584.Paclitaxel_vs_DMSO_24hr.9,PRJNA379584,Paclitaxel_vs_DMSO_24hr.9
PRJNA379584.PF_3758309_vs_DMSO_6hr.9,PRJNA379584,PF_3758309_vs_DMSO_6hr.9
PRJNA379584.PF_3758309_vs_DMSO_24hr.9,PRJNA379584,PF_3758309_vs_DMSO_24hr.9
PRJNA379584.PHA_665752_vs_DMSO_6hr.9,PRJNA379584,PHA_665752_vs_DMSO_6hr.9
PRJNA379584.PHA_665752_vs_DMSO_24hr.9,PRJNA379584,PHA_665752_vs_DMSO_24hr.9
PRJNA379584.Rigosertib_vs_DMSO_6hr.9,PRJNA379584,Rigosertib_vs_DMSO_6hr.9
PRJNA379584.Rigosertib_vs_DMSO_24hr.9,PRJNA379584,Rigosertib_vs_DMSO_24hr.9
PRJNA379584.SB_225002_vs_DMSO_6hr.9,PRJNA379584,SB_225002_vs_DMSO_6hr.9
PRJNA379584.SB_225002_vs_DMSO_24hr.9,PRJNA379584,SB_225002_vs_DMSO_24hr.9
PRJNA379584.SB_743921_vs_DMSO_6hr.9,PRJNA379584,SB_743921_vs_DMSO_6hr.9
PRJNA379584.SB_743921_vs_DMSO_24hr.9,PRJNA379584,SB_743921_vs_DMSO_24hr.9
PRJNA379584.SCH_529074_vs_DMSO_6hr.9,PRJNA379584,SCH_529074_vs_DMSO_6hr.9
PRJNA379584.SCH_529074_vs_DMSO_24hr.9,PRJNA379584,SCH_529074_vs_DMSO_24hr.9
PRJNA379584.SCH_79797_vs_DMSO_6hr.9,PRJNA379584,SCH_79797_vs_DMSO_6hr.9
PRJNA379584.SCH_79797_vs_DMSO_24hr.9,PRJNA379584,SCH_79797_vs_DMSO_24hr.9
PRJNA379584.Bortezomib_vs_DMSO_6hr.10A,PRJNA379584,Bortezomib_vs_DMSO_6hr.10A
PRJNA379584.Bortezomib_vs_DMSO_24hr.10A,PRJNA379584,Bortezomib_vs_DMSO_24hr.10A
PRJNA379584.Erastin_vs_DMSO_6hr.10A,PRJNA379584,Erastin_vs_DMSO_6hr.10A
PRJNA379584.Erastin_vs_DMSO_24hr.10A,PRJNA379584,Erastin_vs_DMSO_24hr.10A
PRJNA379584.Gemcitabine_vs_DMSO_6hr.10A,PRJNA379584,Gemcitabine_vs_DMSO_6hr.10A
PRJNA379584.Gemcitabine_vs_DMSO_24hr.10A,PRJNA379584,Gemcitabine_vs_DMSO_24hr.10A
PRJNA379584.GSK1210151A_vs_DMSO_6hr.10A,PRJNA379584,GSK1210151A_vs_DMSO_6hr.10A
PRJNA379584.GSK1210151A_vs_DMSO_24hr.10A,PRJNA379584,GSK1210151A_vs_DMSO_24hr.10A
PRJNA379584.Bortezomib_vs_DMSO_6hr.10B,PRJNA379584,Bortezomib_vs_DMSO_6hr.10B
PRJNA379584.Bortezomib_vs_DMSO_24hr.10B,PRJNA379584,Bortezomib_vs_DMSO_24hr.10B
PRJNA379584.GSK461364_vs_DMSO_6hr.10B,PRJNA379584,GSK461364_vs_DMSO_6hr.10B
PRJNA379584.GSK461364_vs_DMSO_24hr.10B,PRJNA379584,GSK461364_vs_DMSO_24hr.10B
PRJNA379584.Pluripotin_vs_DMSO_6hr.10B,PRJNA379584,Pluripotin_vs_DMSO_6hr.10B
PRJNA379584.Pluripotin_vs_DMSO_24hr.10B,PRJNA379584,Pluripotin_vs_DMSO_24hr.10B
PRJNA379584.Sorafenib_vs_DMSO_6hr.10B,PRJNA379584,Sorafenib_vs_DMSO_6hr.10B
PRJNA379584.Sorafenib_vs_DMSO_24hr.10B,PRJNA379584,Sorafenib_vs_DMSO_24hr.10B
PRJNA379584.TW_37_vs_DMSO_6hr.10B,PRJNA379584,TW_37_vs_DMSO_6hr.10B
PRJNA379584.TW_37_vs_DMSO_24hr.10B,PRJNA379584,TW_37_vs_DMSO_24hr.10B
PRJNA379584.Vorinostat_vs_DMSO_6hr.10B,PRJNA379584,Vorinostat_vs_DMSO_6hr.10B
PRJNA379584.Vorinostat_vs_DMSO_24hr.10B,PRJNA379584,Vorinostat_vs_DMSO_24hr.10B
PRJNA379584.Arachidonyl_vs_DMSO_6hr.11A,PRJNA379584,Arachidonyl_vs_DMSO_6hr.11A
PRJNA379584.Arachidonyl_vs_DMSO_24hr.11A,PRJNA379584,Arachidonyl_vs_DMSO_24hr.11A
PRJNA379584.Epigallocatechin_gallate_vs_DMSO_6hr.11A,PRJNA379584,Epigallocatechin_gallate_vs_DMSO_6hr.11A
PRJNA379584.Epigallocatechin_gallate_vs_DMSO_24hr.11A,PRJNA379584,Epigallocatechin_gallate_vs_DMSO_24hr.11A
PRJNA379584.Parbendazole_vs_DMSO_6hr.11A,PRJNA379584,Parbendazole_vs_DMSO_6hr.11A
PRJNA379584.Parbendazole_vs_DMSO_24hr.11A,PRJNA379584,Parbendazole_vs_DMSO_24hr.11A
PRJNA379584.Rosiglitazone_vs_DMSO_6hr.11A,PRJNA379584,Rosiglitazone_vs_DMSO_6hr.11A
PRJNA379584.Rosiglitazone_vs_DMSO_24hr.11A,PRJNA379584,Rosiglitazone_vs_DMSO_24hr.11A
PRJNA379584.Vincristine_vs_DMSO_6hr.11A,PRJNA379584,Vincristine_vs_DMSO_6hr.11A
PRJNA379584.Vincristine_vs_DMSO_24hr.11A,PRJNA379584,Vincristine_vs_DMSO_24hr.11A
PRJNA379584.Y_27632_vs_DMSO_6hr.11A,PRJNA379584,Y_27632_vs_DMSO_6hr.11A
PRJNA379584.Y_27632_vs_DMSO_24hr.11A,PRJNA379584,Y_27632_vs_DMSO_24hr.11A
PRJNA379584.BIO_vs_DMSO_6hr.11B,PRJNA379584,BIO_vs_DMSO_6hr.11B
PRJNA379584.KU_0063794_vs_DMSO_6hr.11B,PRJNA379584,KU_0063794_vs_DMSO_6hr.11B
PRJNA379584.LY_2183240_vs_DMSO_6hr.11B,PRJNA379584,LY_2183240_vs_DMSO_6hr.11B
PRJNA379584.PF_573228_vs_DMSO_6hr.11B,PRJNA379584,PF_573228_vs_DMSO_6hr.11B
PRJNA379584.AUY922_vs_DMSO_6hr.12A,PRJNA379584,AUY922_vs_DMSO_6hr.12A
PRJNA379584.AUY922_vs_DMSO_24hr.12A,PRJNA379584,AUY922_vs_DMSO_24hr.12A
PRJNA379584.BGJ398_vs_DMSO_6hr.12A,PRJNA379584,BGJ398_vs_DMSO_6hr.12A
PRJNA379584.BGJ398_vs_DMSO_24hr.12A,PRJNA379584,BGJ398_vs_DMSO_24hr.12A
PRJNA379584.BIO_vs_DMSO_6hr.12A,PRJNA379584,BIO_vs_DMSO_6hr.12A
PRJNA379584.BIO_vs_DMSO_24hr.12A,PRJNA379584,BIO_vs_DMSO_24hr.12A
PRJNA379584.BKM120_vs_DMSO_6hr.12A,PRJNA379584,BKM120_vs_DMSO_6hr.12A
PRJNA379584.BKM120_vs_DMSO_24hr.12A,PRJNA379584,BKM120_vs_DMSO_24hr.12A
PRJNA379584.BYL719_vs_DMSO_6hr.12A,PRJNA379584,BYL719_vs_DMSO_6hr.12A
PRJNA379584.BYL719_vs_DMSO_24hr.12A,PRJNA379584,BYL719_vs_DMSO_24hr.12A
PRJNA379584.Ciclopirox_vs_DMSO_24hr.12A,PRJNA379584,Ciclopirox_vs_DMSO_24hr.12A
PRJNA379584.INC280_vs_DMSO_6hr.12A,PRJNA379584,INC280_vs_DMSO_6hr.12A
PRJNA379584.INC280_vs_DMSO_24hr.12A,PRJNA379584,INC280_vs_DMSO_24hr.12A
PRJNA379584.KU_0063794_vs_DMSO_24hr.12A,PRJNA379584,KU_0063794_vs_DMSO_24hr.12A
PRJNA379584.LDK378_vs_DMSO_6hr.12A,PRJNA379584,LDK378_vs_DMSO_6hr.12A
PRJNA379584.LDK378_vs_DMSO_24hr.12A,PRJNA379584,LDK378_vs_DMSO_24hr.12A
PRJNA379584.LEE011_vs_DMSO_6hr.12A,PRJNA379584,LEE011_vs_DMSO_6hr.12A
PRJNA379584.LEE011_vs_DMSO_24hr.12A,PRJNA379584,LEE011_vs_DMSO_24hr.12A
PRJNA379584.LY_2183240_vs_DMSO_24hr.12A,PRJNA379584,LY_2183240_vs_DMSO_24hr.12A
PRJNA379584.Manumycin_A_vs_DMSO_6hr.12A,PRJNA379584,Manumycin_A_vs_DMSO_6hr.12A
PRJNA379584.NIlotinib_vs_DMSO_6hr.12A,PRJNA379584,NIlotinib_vs_DMSO_6hr.12A
PRJNA379584.NIlotinib_vs_DMSO_24hr.12A,PRJNA379584,NIlotinib_vs_DMSO_24hr.12A
PRJNA379584.PF_573228_vs_DMSO_24hr.12A,PRJNA379584,PF_573228_vs_DMSO_24hr.12A
PRJNA379584.Piperlongumine_vs_DMSO_6hr.12A,PRJNA379584,Piperlongumine_vs_DMSO_6hr.12A
PRJNA379584.PKC412_vs_DMSO_6hr.12A,PRJNA379584,PKC412_vs_DMSO_6hr.12A
PRJNA379584.PKC412_vs_DMSO_24hr.12A,PRJNA379584,PKC412_vs_DMSO_24hr.12A
PRJNA379584.Pluripotin_vs_DMSO_24hr.12A,PRJNA379584,Pluripotin_vs_DMSO_24hr.12A
PRJNA379584.RAD001_vs_DMSO_6hr.12A,PRJNA379584,RAD001_vs_DMSO_6hr.12A
PRJNA379584.RAD001_vs_DMSO_24hr.12A,PRJNA379584,RAD001_vs_DMSO_24hr.12A
PRJNA379584.SCH_79797_vs_DMSO_24hr.12A,PRJNA379584,SCH_79797_vs_DMSO_24hr.12A
PRJNA379584.SU11274_vs_DMSO_6hr.12A,PRJNA379584,SU11274_vs_DMSO_6hr.12A
PRJNA379584.SU11274_vs_DMSO_24hr.12A,PRJNA379584,SU11274_vs_DMSO_24hr.12A
PRJNA379584.Y_27632_vs_DMSO_6hr.12A,PRJNA379584,Y_27632_vs_DMSO_6hr.12A
PRJNA379584.CAY10618_in_Methanol_vs_Methanol_6hr.12B,PRJNA379584,CAY10618_in_Methanol_vs_Methanol_6hr.12B
PRJNA379584.CAY10618_in_Methanol_vs_Methanol_24hr.12B,PRJNA379584,CAY10618_in_Methanol_vs_Methanol_24hr.12B
PRJNA379584.Leptomycin_B_in_Ethanol_vs_Ethanol_6hr.12C,PRJNA379584,Leptomycin_B_in_Ethanol_vs_Ethanol_6hr.12C
PRJNA379584.Leptomycin_B_in_Ethanol_vs_Ethanol_24hr.12C,PRJNA379584,Leptomycin_B_in_Ethanol_vs_Ethanol_24hr.12C
PRJNA387040.cGAS_WT.Etoposide_vs_cGAS_WT.Control,PRJNA387040,cGAS_WT.Etoposide_vs_cGAS_WT.Control
PRJNA387040.cGAS_KO.Etoposide_vs_cGAS_WT.Control,PRJNA387040,cGAS_KO.Etoposide_vs_cGAS_WT.Control
PRJNA387040.Etoposide_vs_Control,PRJNA387040,Etoposide_vs_Control
PRJNA391270.A498.4GY_vs_A498.Control,PRJNA391270,A498.4GY_vs_A498.Control
PRJNA391270.A549.4GY_vs_A549.Control,PRJNA391270,A549.4GY_vs_A549.Control
PRJNA391270.A549.Nutlin_vs_A549.Control,PRJNA391270,A549.Nutlin_vs_A549.Control
PRJNA391270.A549.TGFB_vs_A549.Control,PRJNA391270,A549.TGFB_vs_A549.Control
PRJNA391270.A549.TGFB_Nutlin_vs_A549.Control,PRJNA391270,A549.TGFB_Nutlin_vs_A549.Control
PRJNA391270.H460.4GY_vs_H460.Control,PRJNA391270,H460.4GY_vs_H460.Control
PRJNA391270.HCT116.4GY_vs_HCT116.Control,PRJNA391270,HCT116.4GY_vs_HCT116.Control
PRJNA391270.LOXIMVI.4GY_vs_LOXIMVI.Control,PRJNA391270,LOXIMVI.4GY_vs_LOXIMVI.Control
PRJNA391270.MALME3.4GY_vs_MALME3.Control,PRJNA391270,MALME3.4GY_vs_MALME3.Control
PRJNA391270.MCF7.4GY_vs_MCF7.Control,PRJNA391270,MCF7.4GY_vs_MCF7.Control
PRJNA391270.SKMEL5.4GY_vs_SKMEL5.Control,PRJNA391270,SKMEL5.4GY_vs_SKMEL5.Control
PRJNA391270.U2OS.4GY_vs_U2OS.Control,PRJNA391270,U2OS.4GY_vs_U2OS.Control
PRJNA391270.UACC257.4GY_vs_UACC257.Control,PRJNA391270,UACC257.4GY_vs_UACC257.Control
PRJNA391270.UO31.4GY_vs_UO31.Control,PRJNA391270,UO31.4GY_vs_UO31.Control
PRJNA391270.x4GY_vs_Control,PRJNA391270,x4GY_vs_Control
PRJNA392914.PC9_DTP.TSA_vs_PC9_DTP.Untreated,PRJNA392914,PC9_DTP.TSA_vs_PC9_DTP.Untreated
PRJNA392914.PC9.Carboplatin_vs_DMSO,PRJNA392914,PC9.Carboplatin_vs_DMSO
PRJNA392914.PC9.Erlotinib_vs_DMSO,PRJNA392914,PC9.Erlotinib_vs_DMSO
PRJNA392914.PC9.TSA_vs_DMSO,PRJNA392914,PC9.TSA_vs_DMSO
PRJNA392914.PC9_DTP.Untreated_vs_DMSO,PRJNA392914,PC9_DTP.Untreated_vs_DMSO
PRJNA395584.HL_60.BI00894999.35nM_vs_HL_60.DMSO,PRJNA395584,HL_60.BI00894999.35nM_vs_HL_60.DMSO
PRJNA395584.KASUMI_1.BI00894999.35nM_vs_KASUMI_1.DMSO,PRJNA395584,KASUMI_1.BI00894999.35nM_vs_KASUMI_1.DMSO
PRJNA395584.MOLM_13.BI00894999.35nM_vs_OLM_13.DMSO,PRJNA395584,MOLM_13.BI00894999.35nM_vs_OLM_13.DMSO
PRJNA395584.NCI_H2171.BI00894999.100nM_vs_NCI_H2171.DMSO,PRJNA395584,NCI_H2171.BI00894999.100nM_vs_NCI_H2171.DMSO
PRJNA395584.OCI_AML3.BI00894999.35nM_vs_OCI_AML3.DMSO,PRJNA395584,OCI_AML3.BI00894999.35nM_vs_OCI_AML3.DMSO
PRJNA395584.MV_4_11_B.BI00894999.1000nM_vs_MV_4_11_B.DMSO,PRJNA395584,MV_4_11_B.BI00894999.1000nM_vs_MV_4_11_B.DMSO
PRJNA395584.MV_4_11_B.BI00894999.100nM_vs_MV_4_11_B.DMSO,PRJNA395584,MV_4_11_B.BI00894999.100nM_vs_MV_4_11_B.DMSO
PRJNA395584.MV_4_11_B.BI00894999.1nM_vs_MV_4_11_B.DMSO,PRJNA395584,MV_4_11_B.BI00894999.1nM_vs_MV_4_11_B.DMSO
PRJNA395584.MV_4_11_B.BI00894999.35nM_vs_MV_4_11_B.DMSO,PRJNA395584,MV_4_11_B.BI00894999.35nM_vs_MV_4_11_B.DMSO
PRJNA395584.MV_4_11_B.BI00894999_EX00101218.35nM_5uM_vs_MV_4_11_B.DMSO,PRJNA395584,MV_4_11_B.BI00894999_EX00101218.35nM_5uM_vs_MV_4_11_B.DMSO
PRJNA395584.MV_4_11_B.EX00101218.5uM_vs_MV_4_11_B.DMSO,PRJNA395584,MV_4_11_B.EX00101218.5uM_vs_MV_4_11_B.DMSO
PRJNA400080.BI00894999.1nM_vs_DMSO_4hr,PRJNA400080,BI00894999.1nM_vs_DMSO_4hr
PRJNA400080.BI00894999.1nM_vs_DMSO_24hr,PRJNA400080,BI00894999.1nM_vs_DMSO_24hr
PRJNA400080.BI00894999.35nM_vs_DMSO_4hr,PRJNA400080,BI00894999.35nM_vs_DMSO_4hr
PRJNA400080.BI00894999.35nM_vs_DMSO_24hr,PRJNA400080,BI00894999.35nM_vs_DMSO_24hr
PRJNA400080.BI00894999_Volasertib.1nM_20nM_vs_DMSO_4hr,PRJNA400080,BI00894999_Volasertib.1nM_20nM_vs_DMSO_4hr
PRJNA400080.BI00894999_Volasertib.1nM_20nM_vs_DMSO_24hr,PRJNA400080,BI00894999_Volasertib.1nM_20nM_vs_DMSO_24hr
PRJNA400080.BI00894999_Volasertib.35nM_20nM_vs_DMSO_4hr,PRJNA400080,BI00894999_Volasertib.35nM_20nM_vs_DMSO_4hr
PRJNA400080.BI00894999_Volasertib.35nM_20nM_vs_DMSO_24hr,PRJNA400080,BI00894999_Volasertib.35nM_20nM_vs_DMSO_24hr
PRJNA400080.Volasertib.20nM_vs_DMSO_4hr,PRJNA400080,Volasertib.20nM_vs_DMSO_4hr
PRJNA400080.Volasertib.20nM_vs_DMSO_24hr,PRJNA400080,Volasertib.20nM_vs_DMSO_24hr
PRJNA417314.x5FU_vs_Untreated,PRJNA417314,x5FU_vs_Untreated
PRJNA422779.KRAS_G12V.MS275_vs_KRAS_G12V.DMSO_1hr,PRJNA422779,KRAS_G12V.MS275_vs_KRAS_G12V.DMSO_1hr
PRJNA422779.KRAS_G12V.MS275_vs_KRAS_G12V.DMSO_6hr,PRJNA422779,KRAS_G12V.MS275_vs_KRAS_G12V.DMSO_6hr
PRJNA422779.KRAS_G12V.MS275_vs_KRAS_G12V.DMSO_24hr,PRJNA422779,KRAS_G12V.MS275_vs_KRAS_G12V.DMSO_24hr
PRJNA422779.KRAS_G12V.MS275_vs_KRAS_G12V.DMSO_72hr,PRJNA422779,KRAS_G12V.MS275_vs_KRAS_G12V.DMSO_72hr
PRJNA422779.KRAS_WT.MS275_vs_KRAS_WT.DMSO_1hr,PRJNA422779,KRAS_WT.MS275_vs_KRAS_WT.DMSO_1hr
PRJNA422779.KRAS_WT.MS275_vs_KRAS_WT.DMSO_6hr,PRJNA422779,KRAS_WT.MS275_vs_KRAS_WT.DMSO_6hr
PRJNA422779.KRAS_WT.MS275_vs_KRAS_WT.DMSO_24hr,PRJNA422779,KRAS_WT.MS275_vs_KRAS_WT.DMSO_24hr
PRJNA422779.KRAS_WT.MS275_vs_KRAS_WT.DMSO_72hr,PRJNA422779,KRAS_WT.MS275_vs_KRAS_WT.DMSO_72hr
PRJNA471642.MEC1_vs_GM12878,PRJNA471642,MEC1_vs_GM12878
PRJNA471642.SD6.2hr_vs_SD6.0hr,PRJNA471642,SD6.2hr_vs_SD6.0hr
PRJNA471642.SD6.6hr_vs_SD6.0hr,PRJNA471642,SD6.6hr_vs_SD6.0hr
PRJNA471642.SD6.24hr_vs_SD6.0hr,PRJNA471642,SD6.24hr_vs_SD6.0hr
PRJNA474537.CC122_vs_DMSO_5hr,PRJNA474537,CC122_vs_DMSO_5hr
PRJNA474537.LEN_vs_DMSO_5hr,PRJNA474537,LEN_vs_DMSO_5hr
PRJNA474537.CC122_vs_DMSO_24hr,PRJNA474537,CC122_vs_DMSO_24hr
PRJNA474537.LEN_vs_DMSO_24hr,PRJNA474537,LEN_vs_DMSO_24hr
PRJNA477352.J4.THZ1.250nM_vs_J4.DMSO_6hr,PRJNA477352,J4.THZ1.250nM_vs_J4.DMSO_6hr
PRJNA477352.J4.THZ1.50nM_vs_J4.DMSO_6hr,PRJNA477352,J4.THZ1.50nM_vs_J4.DMSO_6hr
PRJNA477352.L10.THZ1.250nM_vs_L10.DMSO_6hr,PRJNA477352,L10.THZ1.250nM_vs_L10.DMSO_6hr
PRJNA477352.L10.THZ1.50nM_vs_L10.DMSO_6hr,PRJNA477352,L10.THZ1.50nM_vs_L10.DMSO_6hr
PRJNA477352.L20.THZ1.250nM_vs_L20.DMSO_6hr,PRJNA477352,L20.THZ1.250nM_vs_L20.DMSO_6hr
PRJNA477352.L20.THZ1.50nM_vs_L20.DMSO_6hr,PRJNA477352,L20.THZ1.50nM_vs_L20.DMSO_6hr
PRJNA477352.PAR.THZ1.250nM_vs_PAR.DMSO_6hr,PRJNA477352,PAR.THZ1.250nM_vs_PAR.DMSO_6hr
PRJNA477352.PAR.THZ1.50nM_vs_PAR.DMSO_6hr,PRJNA477352,PAR.THZ1.50nM_vs_PAR.DMSO_6hr
PRJNA477352.THZ1.250nM_vs_DMSO_6hr,PRJNA477352,THZ1.250nM_vs_DMSO_6hr
PRJNA477352.THZ1.50nM_vs_DMSO_6hr,PRJNA477352,THZ1.50nM_vs_DMSO_6hr
PRJNA479415.Venetoclax_Azacitidine_vs_DMSO_6hr,PRJNA479415,Venetoclax_Azacitidine_vs_DMSO_6hr
PRJNA497893.HPV16_E2_vs_Control,PRJNA497893,HPV16_E2_vs_Control
PRJNA497893.HPV16_vs_Control,PRJNA497893,HPV16_vs_Control
PRJNA533647.PCIA.Busulfan_Cyclophosphamide_vs_Control,PRJNA533647,PCIA.Busulfan_Cyclophosphamide_vs_Control
PRJNA533647.PCIA.Busulfan_vs_Control,PRJNA533647,PCIA.Busulfan_vs_Control
PRJNA555350.Doxorubicin_Cytabine_Decitabine_vs_Control,PRJNA555350,Doxorubicin_Cytabine_Decitabine_vs_Control
PRJNA555350.Doxorubicin_Cytabine_vs_Control,PRJNA555350,Doxorubicin_Cytabine_vs_Control
PRJNA555350.Doxorubicin_vs_Control,PRJNA555350,Doxorubicin_vs_Control
PRJNA560975.Tedizolid.5uM_vs_DMSO,PRJNA560975,Tedizolid.5uM_vs_DMSO
PRJNA560975.Venetoclax.500nM_vs_DMSO,PRJNA560975,Venetoclax.500nM_vs_DMSO
PRJNA560975.Venetoclax.500nM_Tedizolid.5uM_vs_DMSO,PRJNA560975,Venetoclax.500nM_Tedizolid.5uM_vs_DMSO
PRJNA596778.HKC.Decitabine.300nM_vs_HKC.DMSO,PRJNA596778,HKC.Decitabine.300nM_vs_HKC.DMSO
PRJNA596778.HKC.Decitabine.100nM_vs_HKC.DMSO,PRJNA596778,HKC.Decitabine.100nM_vs_HKC.DMSO
PRJNA596778.x786.Decitabine.300nM_vs_786.DMSO,PRJNA596778,x786.Decitabine.300nM_vs_786.DMSO
PRJNA596778.x786.Decitabine.100nM_vs_786.DMSO,PRJNA596778,x786.Decitabine.100nM_vs_786.DMSO
PRJNA596778.Decitabine.300nM_vs_DMSO,PRJNA596778,Decitabine.300nM_vs_DMSO
PRJNA596778.Decitabine.100nM_vs_DMSO,PRJNA596778,Decitabine.100nM_vs_DMSO
PRJNA596778.Decitabine_vs_DMSO,PRJNA596778,Decitabine_vs_DMSO
PRJNA603369.Kasumi.ABBV_075.100nM_vs_Kasumi.DMSO,PRJNA603369,Kasumi.ABBV_075.100nM_vs_Kasumi.DMSO
PRJNA603369.Kasumi.ABBV_744.200nM_vs_Kasumi.DMSO,PRJNA603369,Kasumi.ABBV_744.200nM_vs_Kasumi.DMSO
PRJNA603369.MV411B.ABBV_075.100nM_vs_MV411B.DMSO,PRJNA603369,MV411B.ABBV_075.100nM_vs_MV411B.DMSO
PRJNA603369.MV411B.ABBV_744.200nM_vs_MV411B.DMSO,PRJNA603369,MV411B.ABBV_744.200nM_vs_MV411B.DMSO
PRJNA603369.NCI_H1299.ABBV_075.100nM_vs_NCI_H1299.DMSO,PRJNA603369,NCI_H1299.ABBV_075.100nM_vs_NCI_H1299.DMSO
PRJNA603369.NCI_H1299.ABVV_744.200nM_vs_NCI_H1299.DMSO,PRJNA603369,NCI_H1299.ABVV_744.200nM_vs_NCI_H1299.DMSO
PRJNA603369.SKM.ABBV_075.100nM_vs_SKM.DMSO,PRJNA603369,SKM.ABBV_075.100nM_vs_SKM.DMSO
PRJNA603369.SKM.ABBV_744.200nM_vs_SKM.DMSO,PRJNA603369,SKM.ABBV_744.200nM_vs_SKM.DMSO
PRJNA603369.ABBV_075.100nM_vs_DMSO,PRJNA603369,ABBV_075.100nM_vs_DMSO
PRJNA603369.ABBV_744.200nM_vs_DMSO,PRJNA603369,ABBV_744.200nM_vs_DMSO
PRJNA607909.Decitabine_vs_PBS,PRJNA607909,Decitabine_vs_PBS
PRJNA610784.Azacitidine_vs_Vehicle,PRJNA610784,Azacitidine_vs_Vehicle
PRJNA610784.BAY1436032_vs_Vehicle,PRJNA610784,BAY1436032_vs_Vehicle
PRJNA610784.BAY1436032_Azacitidine_seq_vs_Vehicle,PRJNA610784,BAY1436032_Azacitidine_seq_vs_Vehicle
PRJNA610784.BAY1436032_Azacitidine_sim_vs_Vehicle,PRJNA610784,BAY1436032_Azacitidine_sim_vs_Vehicle
PRJNA614994.Decitabine_TCR105_vs_Decitabine_IgG,PRJNA614994,Decitabine_TCR105_vs_Decitabine_IgG
PRJNA636096.x5637.Mitomycin_C_vs_5637.No_Treatment,PRJNA636096,x5637.Mitomycin_C_vs_5637.No_Treatment
PRJNA636096.CLS_439.Mitomycin_C_vs_CLS_439.No_Treatment,PRJNA636096,CLS_439.Mitomycin_C_vs_CLS_439.No_Treatment
PRJNA636096.T24.Mitomycin_C_vs_T24.No_Treatment,PRJNA636096,T24.Mitomycin_C_vs_T24.No_Treatment
