experiment,contrast,cell_type,drug,dose,time_hr
PRJNA379584,ku_0063794.6,H-STS NET,ku_0063794,ED20 + 0.1,6
PRJNA379584,ku_0063794,H-STS NET,ku_0063794,ED20 + 0.1,
PRJNA379584,kw.6,H-STS NET,kw,ED20 + 0.1,6
PRJNA379584,kw_2449.24,H-STS NET,kw_2449,ED20 + 0.1,24
PRJNA379584,kw_2449.6,H-STS NET,kw_2449,ED20 + 0.1,6
PRJNA379584,kw_2449,H-STS NET,kw_2449,ED20 + 0.1,
PRJNA379584,kx2.24,H-STS NET,kx2,ED20 + 0.1,24
PRJNA379584,kx2_391.24,H-STS NET,kx2_391,ED20 + 0.1,24
PRJNA379584,kx2_391.6,H-STS NET,kx2_391,ED20 + 0.1,6
PRJNA379584,kx2_391,H-STS NET,kx2_391,ED20 + 0.1,
PRJNA379584,ldk378.24,H-STS NET,ldk378,ED20 + 0.1,24
PRJNA379584,ldk378.6,H-STS NET,ldk378,ED20 + 0.1,6
PRJNA379584,ldk378,H-STS NET,ldk378,ED20 + 0.1,
PRJNA379584,lee011.24,H-STS NET,lee011,ED20 + 0.1,24
PRJNA379584,lee011.6,H-STS NET,lee011,ED20 + 0.1,6
PRJNA379584,lee011,H-STS NET,lee011,ED20 + 0.1,
PRJNA379584,leptomycin_b_in_ethanol.24,H-STS NET,leptomycin_b_in_ethanol,ED20 + 0.1,24
PRJNA379584,leptomycin_b_in_ethanol.6,H-STS NET,leptomycin_b_in_ethanol,ED20 + 0.1,6
PRJNA379584,leptomycin_b_in_ethanol,H-STS NET,leptomycin_b_in_ethanol,ED20 + 0.1,
PRJNA379584,linifanib.24,H-STS NET,linifanib,ED20 + 0.1,24
PRJNA379584,linifanib.6,H-STS NET,linifanib,ED20 + 0.1,6
PRJNA379584,linifanib,H-STS NET,linifanib,ED20 + 0.1,
PRJNA379584,ly.6,H-STS NET,ly,ED20 + 0.1,6
PRJNA379584,ly_2183240.24,H-STS NET,ly_2183240,ED20 + 0.1,24
PRJNA379584,ly_2183240.6,H-STS NET,ly_2183240,ED20 + 0.1,6
PRJNA379584,ly_2183240,H-STS NET,ly_2183240,ED20 + 0.1,
PRJNA379584,manumycin_a.24,H-STS NET,manumycin_a,ED20 + 0.1,24
PRJNA379584,manumycin_a.6,H-STS NET,manumycin_a,ED20 + 0.1,6
PRJNA379584,manumycin_a,H-STS NET,manumycin_a,ED20 + 0.1,
PRJNA379584,methanol.24,H-STS NET,methanol,ED20 + 0.1,24
PRJNA379584,methanol.6,H-STS NET,methanol,ED20 + 0.1,6
PRJNA379584,methanol,H-STS NET,methanol,ED20 + 0.1,
PRJNA379584,methylstat.24,H-STS NET,methylstat,ED20 + 0.1,24
PRJNA379584,methylstat.6,H-STS NET,methylstat,ED20 + 0.1,6
PRJNA379584,methylstat,H-STS NET,methylstat,ED20 + 0.1,
PRJNA379584,mg.6,H-STS NET,mg,ED20 + 0.1,6
PRJNA379584,mg_132.24,H-STS NET,mg_132,ED20 + 0.1,24
PRJNA379584,mg_132.6,H-STS NET,mg_132,ED20 + 0.1,6
PRJNA379584,mg_132,H-STS NET,mg_132,ED20 + 0.1,
PRJNA379584,mithramycin_a.24,H-STS NET,mithramycin_a,ED20 + 0.1,24
PRJNA379584,mithramycin_a.6,H-STS NET,mithramycin_a,ED20 + 0.1,6
PRJNA379584,mithramycin_a,H-STS NET,mithramycin_a,ED20 + 0.1,
PRJNA379584,mitomycin_c.24,H-STS NET,mitomycin_c,ED20 + 0.1,24
PRJNA379584,mitomycin_c.6,H-STS NET,mitomycin_c,ED20 + 0.1,6
PRJNA379584,mitomycin_c,H-STS NET,mitomycin_c,ED20 + 0.1,
PRJNA379584,mk.24,H-STS NET,mk,ED20 + 0.1,24
PRJNA379584,mk.6,H-STS NET,mk,ED20 + 0.1,6
PRJNA379584,mk,H-STS NET,mk,ED20 + 0.1,
PRJNA379584,mk_1775.24,H-STS NET,mk_1775,ED20 + 0.1,24
PRJNA379584,mk_1775.6,H-STS NET,mk_1775,ED20 + 0.1,6
PRJNA379584,mk_1775,H-STS NET,mk_1775,ED20 + 0.1,
PRJNA379584,mk_2206.24,H-STS NET,mk_2206,ED20 + 0.1,24
PRJNA379584,mk_2206.6,H-STS NET,mk_2206,ED20 + 0.1,6
PRJNA379584,mk_2206,H-STS NET,mk_2206,ED20 + 0.1,
PRJNA379584,ml210.24,H-STS NET,ml210,ED20 + 0.1,24
PRJNA379584,ml210.6,H-STS NET,ml210,ED20 + 0.1,6
PRJNA379584,ml210,H-STS NET,ml210,ED20 + 0.1,
PRJNA379584,mst.6,H-STS NET,mst,ED20 + 0.1,6
PRJNA379584,mst_312.24,H-STS NET,mst_312,ED20 + 0.1,24
PRJNA379584,mst_312.6,H-STS NET,mst_312,ED20 + 0.1,6
PRJNA379584,mst_312,H-STS NET,mst_312,ED20 + 0.1,
PRJNA379584,n_ilotinib.24,H-STS NET,n_ilotinib,ED20 + 0.1,24
PRJNA379584,n_ilotinib.6,H-STS NET,n_ilotinib,ED20 + 0.1,6
PRJNA379584,n_ilotinib,H-STS NET,n_ilotinib,ED20 + 0.1,
PRJNA379584,necrosulfonamide.24,H-STS NET,necrosulfonamide,ED20 + 0.1,24
PRJNA379584,necrosulfonamide.6,H-STS NET,necrosulfonamide,ED20 + 0.1,6
PRJNA379584,necrosulfonamide,H-STS NET,necrosulfonamide,ED20 + 0.1,
PRJNA379584,neratinib.24,H-STS NET,neratinib,ED20 + 0.1,24
PRJNA379584,neratinib.6,H-STS NET,neratinib,ED20 + 0.1,6
PRJNA379584,neratinib,H-STS NET,neratinib,ED20 + 0.1,
PRJNA379584,nutlin.6,H-STS NET,nutlin,ED20 + 0.1,6
PRJNA379584,nutlin_3.24,H-STS NET,nutlin_3,ED20 + 0.1,24
PRJNA379584,nutlin_3.6,H-STS NET,nutlin_3,ED20 + 0.1,6
PRJNA379584,nutlin_3,H-STS NET,nutlin_3,ED20 + 0.1,
PRJNA379584,nvp.6,H-STS NET,nvp,ED20 + 0.1,6
PRJNA379584,nvp_231.24,H-STS NET,nvp_231,ED20 + 0.1,24
PRJNA379584,nvp_231.6,H-STS NET,nvp_231,ED20 + 0.1,6
PRJNA379584,nvp_231,H-STS NET,nvp_231,ED20 + 0.1,
PRJNA379584,obatoclax.24,H-STS NET,obatoclax,ED20 + 0.1,24
PRJNA379584,obatoclax.6,H-STS NET,obatoclax,ED20 + 0.1,6
PRJNA379584,obatoclax,H-STS NET,obatoclax,ED20 + 0.1,
PRJNA379584,pac.24,H-STS NET,pac,ED20 + 0.1,24
PRJNA379584,pac_1.24,H-STS NET,pac_1,ED20 + 0.1,24
PRJNA379584,pac_1.6,H-STS NET,pac_1,ED20 + 0.1,6
PRJNA379584,pac_1,H-STS NET,pac_1,ED20 + 0.1,
PRJNA379584,paclitaxel.24,H-STS NET,paclitaxel,ED20 + 0.1,24
PRJNA379584,paclitaxel.6,H-STS NET,paclitaxel,ED20 + 0.1,6
PRJNA379584,paclitaxel,H-STS NET,paclitaxel,ED20 + 0.1,
PRJNA379584,panobinostat.24,H-STS NET,panobinostat,ED20 + 0.1,24
PRJNA379584,panobinostat.6,H-STS NET,panobinostat,ED20 + 0.1,6
PRJNA379584,panobinostat,H-STS NET,panobinostat,ED20 + 0.1,
PRJNA379584,parbendazole.24,H-STS NET,parbendazole,ED20 + 0.1,24
PRJNA379584,parbendazole.6,H-STS NET,parbendazole,ED20 + 0.1,6
PRJNA379584,parbendazole,H-STS NET,parbendazole,ED20 + 0.1,
PRJNA379584,parthenolide.24,H-STS NET,parthenolide,ED20 + 0.1,24
PRJNA379584,parthenolide.6,H-STS NET,parthenolide,ED20 + 0.1,6
PRJNA379584,parthenolide,H-STS NET,parthenolide,ED20 + 0.1,
PRJNA379584,pf.6,H-STS NET,pf,ED20 + 0.1,6
PRJNA379584,pf_3758309.24,H-STS NET,pf_3758309,ED20 + 0.1,24
PRJNA379584,pf_3758309.6,H-STS NET,pf_3758309,ED20 + 0.1,6
PRJNA379584,pf_3758309,H-STS NET,pf_3758309,ED20 + 0.1,
PRJNA379584,pf_573228.24,H-STS NET,pf_573228,ED20 + 0.1,24
PRJNA379584,pf_573228.6,H-STS NET,pf_573228,ED20 + 0.1,6
PRJNA379584,pf_573228,H-STS NET,pf_573228,ED20 + 0.1,
PRJNA379584,pha.6,H-STS NET,pha,ED20 + 0.1,6
PRJNA379584,pha_665752.24,H-STS NET,pha_665752,ED20 + 0.1,24
PRJNA379584,pha_665752.6,H-STS NET,pha_665752,ED20 + 0.1,6
PRJNA379584,pha_665752,H-STS NET,pha_665752,ED20 + 0.1,
PRJNA379584,piperlongumine.24,H-STS NET,piperlongumine,ED20 + 0.1,24
PRJNA379584,piperlongumine.6,H-STS NET,piperlongumine,ED20 + 0.1,6
PRJNA379584,piperlongumine,H-STS NET,piperlongumine,ED20 + 0.1,
PRJNA379584,pkc412.24,H-STS NET,pkc412,ED20 + 0.1,24
PRJNA379584,pkc412.6,H-STS NET,pkc412,ED20 + 0.1,6
PRJNA379584,pkc412,H-STS NET,pkc412,ED20 + 0.1,
PRJNA379584,pluripotin.24,H-STS NET,pluripotin,ED20 + 0.1,24
PRJNA379584,pluripotin.6,H-STS NET,pluripotin,ED20 + 0.1,6
PRJNA379584,pluripotin,H-STS NET,pluripotin,ED20 + 0.1,
PRJNA379584,rad001.24,H-STS NET,rad001,ED20 + 0.1,24
PRJNA379584,rad001.6,H-STS NET,rad001,ED20 + 0.1,6
PRJNA379584,rad001,H-STS NET,rad001,ED20 + 0.1,
PRJNA379584,rigosertib.24,H-STS NET,rigosertib,ED20 + 0.1,24
PRJNA379584,rigosertib.6,H-STS NET,rigosertib,ED20 + 0.1,6
PRJNA379584,rigosertib,H-STS NET,rigosertib,ED20 + 0.1,
PRJNA379584,rosiglitazone.24,H-STS NET,rosiglitazone,ED20 + 0.1,24
PRJNA379584,rosiglitazone.6,H-STS NET,rosiglitazone,ED20 + 0.1,6
PRJNA379584,rosiglitazone,H-STS NET,rosiglitazone,ED20 + 0.1,
PRJNA379584,sb.6,H-STS NET,sb,ED20 + 0.1,6
PRJNA379584,sb_225002.24,H-STS NET,sb_225002,ED20 + 0.1,24
PRJNA379584,sb_225002.6,H-STS NET,sb_225002,ED20 + 0.1,6
PRJNA379584,sb_225002,H-STS NET,sb_225002,ED20 + 0.1,
PRJNA379584,sb_743921.24,H-STS NET,sb_743921,ED20 + 0.1,24
PRJNA379584,sb_743921.6,H-STS NET,sb_743921,ED20 + 0.1,6
PRJNA379584,sb_743921,H-STS NET,sb_743921,ED20 + 0.1,
PRJNA379584,sch.24,H-STS NET,sch,ED20 + 0.1,24
PRJNA379584,sch.6,H-STS NET,sch,ED20 + 0.1,6
PRJNA379584,sch,H-STS NET,sch,ED20 + 0.1,
PRJNA379584,sch_529074.24,H-STS NET,sch_529074,ED20 + 0.1,24
PRJNA379584,sch_529074.6,H-STS NET,sch_529074,ED20 + 0.1,6
PRJNA379584,sch_529074,H-STS NET,sch_529074,ED20 + 0.1,
PRJNA379584,sch_79797.24,H-STS NET,sch_79797,ED20 + 0.1,24
PRJNA379584,sch_79797.6,H-STS NET,sch_79797,ED20 + 0.1,6
PRJNA379584,sch_79797,H-STS NET,sch_79797,ED20 + 0.1,
PRJNA379584,snx.6,H-STS NET,snx,ED20 + 0.1,6
PRJNA379584,snx_2112.24,H-STS NET,snx_2112,ED20 + 0.1,24
PRJNA379584,snx_2112.6,H-STS NET,snx_2112,ED20 + 0.1,6
PRJNA379584,snx_2112,H-STS NET,snx_2112,ED20 + 0.1,
PRJNA379584,sorafenib.24,H-STS NET,sorafenib,ED20 + 0.1,24
PRJNA379584,sorafenib.6,H-STS NET,sorafenib,ED20 + 0.1,6
PRJNA379584,sorafenib,H-STS NET,sorafenib,ED20 + 0.1,
PRJNA379584,su11274.24,H-STS NET,su11274,ED20 + 0.1,24
PRJNA379584,su11274.6,H-STS NET,su11274,ED20 + 0.1,6
PRJNA379584,su11274,H-STS NET,su11274,ED20 + 0.1,
PRJNA379584,sunitinib.24,H-STS NET,sunitinib,ED20 + 0.1,24
PRJNA379584,sunitinib.6,H-STS NET,sunitinib,ED20 + 0.1,6
PRJNA379584,sunitinib,H-STS NET,sunitinib,ED20 + 0.1,
PRJNA379584,tivantinib.24,H-STS NET,tivantinib,ED20 + 0.1,24
PRJNA379584,tivantinib.6,H-STS NET,tivantinib,ED20 + 0.1,6
PRJNA379584,tivantinib,H-STS NET,tivantinib,ED20 + 0.1,
PRJNA379584,topotecan.24,H-STS NET,topotecan,ED20 + 0.1,24
PRJNA379584,topotecan.6,H-STS NET,topotecan,ED20 + 0.1,6
PRJNA379584,topotecan,H-STS NET,topotecan,ED20 + 0.1,
PRJNA379584,tw.6,H-STS NET,tw,ED20 + 0.1,6
PRJNA379584,tw_37.24,H-STS NET,tw_37,ED20 + 0.1,24
PRJNA379584,tw_37.6,H-STS NET,tw_37,ED20 + 0.1,6
PRJNA379584,tw_37,H-STS NET,tw_37,ED20 + 0.1,
PRJNA379584,vincristine.24,H-STS NET,vincristine,ED20 + 0.1,24
PRJNA379584,vincristine.6,H-STS NET,vincristine,ED20 + 0.1,6
PRJNA379584,vincristine,H-STS NET,vincristine,ED20 + 0.1,
PRJNA379584,vorinostat.24,H-STS NET,vorinostat,ED20 + 0.1,24
PRJNA379584,vorinostat.6,H-STS NET,vorinostat,ED20 + 0.1,6
PRJNA379584,vorinostat,H-STS NET,vorinostat,ED20 + 0.1,
PRJNA379584,x5z_7_oxozeanol.24,H-STS NET,x5z_7_oxozeanol,ED20 + 0.1,24
PRJNA379584,x5z_7_oxozeanol.6,H-STS NET,x5z_7_oxozeanol,ED20 + 0.1,6
PRJNA379584,x5z_7_oxozeanol,H-STS NET,x5z_7_oxozeanol,ED20 + 0.1,
PRJNA379584,y.6,H-STS NET,y,ED20 + 0.1,6
PRJNA379584,y_27632.24,H-STS NET,y_27632,ED20 + 0.1,24
PRJNA379584,y_27632.6,H-STS NET,y_27632,ED20 + 0.1,6
PRJNA379584,y_27632,H-STS NET,y_27632,ED20 + 0.1,
PRJNA379584,yk_4.6,H-STS NET,yk_4,ED20 + 0.1,6
PRJNA379584,yk_4_279.24,H-STS NET,yk_4_279,ED20 + 0.1,24
PRJNA379584,yk_4_279.6,H-STS NET,yk_4_279,ED20 + 0.1,6
PRJNA379584,yk_4_279,H-STS NET,yk_4_279,ED20 + 0.1,
PRJNA379584,ym.6,H-STS NET,ym,ED20 + 0.1,6
PRJNA379584,ym_155.24,H-STS NET,ym_155,ED20 + 0.1,24
PRJNA379584,ym_155.6,H-STS NET,ym_155,ED20 + 0.1,6
PRJNA379584,ym_155,H-STS NET,ym_155,ED20 + 0.1,
