BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	source_name	timepoint	treatment	group
SAMN02796597	SRR1294366	2016-06-30T16:21:07Z	2014-05-21T14:52:14Z	16827997	1682799700	16827997	100	1082		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294366/SRR1294366.1	SRX548980		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616830	simple	9606	Homo sapiens	GSM1395388							no					GEO	SRA166611		public	47221D0D22BC2FA4A975980C7BE66C43	25D8565A592E1F0CB2C29B2D70267F68	2796597	mock_vorinostat_4hr rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616830	GSM1395388	vorinostat-resistant HCT116	colorectal carcinoma cell line	4hr	mock vorinostat	mock.vorinostat.4hr
SAMN02796609	SRR1294367	2016-06-30T16:21:07Z	2014-05-21T14:57:36Z	19419100	1941910000	19419100	100	1211		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294367/SRR1294367.1	SRX548981		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616831	simple	9606	Homo sapiens	GSM1395389							no					GEO	SRA166611		public	C9C624F3B3D940BEBD2AD3E11F0417BB	C1DFCEDF2E0A551426E82B23325BCF0B	2796609	mock_vorinostat_8hr rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616831	GSM1395389	vorinostat-resistant HCT116	colorectal carcinoma cell line	8hr	mock vorinostat	mock.vorinostat.8hr
SAMN02796606	SRR1294368	2016-06-30T16:21:07Z	2014-05-21T14:42:29Z	19805999	1980599900	19805999	100	1244		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294368/SRR1294368.1	SRX548982		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616832	simple	9606	Homo sapiens	GSM1395390							no					GEO	SRA166611		public	766915515BC7F376CD2BB9D9C6464A14	6BFD53451D9600350717DC56405FC667	2796606	mock_vorinostat_12hr rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616832	GSM1395390	vorinostat-resistant HCT116	colorectal carcinoma cell line	12hr	mock vorinostat	mock.vorinostat.12hr
SAMN02796598	SRR1294369	2016-06-30T16:21:07Z	2014-05-21T14:52:45Z	17460161	1746016100	17460161	100	1118		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294369/SRR1294369.1	SRX548983		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616833	simple	9606	Homo sapiens	GSM1395391							no					GEO	SRA166611		public	06A153E1243F28C28525098D6513722D	1404209D77DC6DA42542288C0898B228	2796598	siGLI1_DMSO_4hr rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616833	GSM1395391	vorinostat-resistant HCT116	colorectal carcinoma cell line	4hr	siGLI1 DMSO	siGLI1.DMSO.4hr
SAMN02796602	SRR1294370	2016-06-30T16:21:07Z	2014-05-21T14:43:09Z	17673604	1767360400	17673604	100	1123		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294370/SRR1294370.1	SRX548984		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616834	simple	9606	Homo sapiens	GSM1395392							no					GEO	SRA166611		public	259AA0951C59C49D6B39C076F3AB9324	06A7E782448816EA2A427E658DFB6E86	2796602	siGLI1_DMSO_8hr rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616834	GSM1395392	vorinostat-resistant HCT116	colorectal carcinoma cell line	8hr	siGLI1 DMSO	siGLI1.DMSO.8hr
SAMN02796599	SRR1294371	2016-06-30T16:21:07Z	2014-05-21T14:45:58Z	18701516	1870151600	18701516	100	1169		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294371/SRR1294371.1	SRX548985		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616835	simple	9606	Homo sapiens	GSM1395393							no					GEO	SRA166611		public	D97EC2E4962EBCAE8FA1DFFFDB4D309A	49A5600F19E1521CCF22417A236A48BF	2796599	siGLI1_vorinostat_4hr rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616835	GSM1395393	vorinostat-resistant HCT116	colorectal carcinoma cell line	4hr	siGLI1 vorinostat	siGLI1.vorinostat.4hr
SAMN02796605	SRR1294372	2016-06-30T16:21:07Z	2014-05-21T14:54:41Z	22622835	2262283500	22622835	100	1444		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294372/SRR1294372.1	SRX548986		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616836	simple	9606	Homo sapiens	GSM1395394							no					GEO	SRA166611		public	092AC0FFB382D9756F98593EE0F3FABF	601CF68D4FD940FC1B4F794B9B6F2532	2796605	siGLI1_vorinostat_8hr rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616836	GSM1395394	vorinostat-resistant HCT116	colorectal carcinoma cell line	8hr	siGLI1 vorinostat	siGLI1.vorinostat.8hr
SAMN02796611	SRR1294373	2016-06-30T16:21:07Z	2014-05-21T14:45:34Z	19330810	1933081000	19330810	100	1233		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294373/SRR1294373.1	SRX548987		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616837	simple	9606	Homo sapiens	GSM1395395							no					GEO	SRA166611		public	19EEB8707567869E5390F1D62A195B66	ABA53C72DF0F1D031FA45064BBFA7B54	2796611	siPSMD13_DMSO_8hr rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616837	GSM1395395	vorinostat-resistant HCT116	colorectal carcinoma cell line	8hr	siPSMD13 DMSO	siPSMD13.DMSO.8hr
SAMN02796610	SRR1294374	2016-06-30T16:21:07Z	2014-05-21T14:51:55Z	17729801	1772980100	17729801	100	1139		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294374/SRR1294374.1	SRX548988		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616838	simple	9606	Homo sapiens	GSM1395396							no					GEO	SRA166611		public	091A374EDCA11AE4D6525564F291DC8A	D2D4EDADBB9F44A5F6611232F8E72359	2796610	siPSDM13_DMSO_12hr rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616838	GSM1395396	vorinostat-resistant HCT116	colorectal carcinoma cell line	12hr	siPSDM13 DMSO	siPSDM13.DMSO.12hr
SAMN02796608	SRR1294375	2016-06-30T16:21:07Z	2014-05-21T14:53:14Z	20205307	2020530700	20205307	100	1264		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294375/SRR1294375.1	SRX548989		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616839	simple	9606	Homo sapiens	GSM1395397							no					GEO	SRA166611		public	0AA23F656714808EECD26936A359FB93	FF412C90F2A661D43696EE43D9D54B3B	2796608	siPSMD13_vorinostat_8hr rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616839	GSM1395397	vorinostat-resistant HCT116	colorectal carcinoma cell line	8hr	siPSMD13 vorinostat	siPSMD13.vorinostat.8hr
SAMN02796613	SRR1294376	2016-06-30T16:21:07Z	2014-05-21T14:43:30Z	20131938	2013193800	20131938	100	1259		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR1294376/SRR1294376.1	SRX548990		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP042158	PRJNA248301	2	248301	SRS616840	simple	9606	Homo sapiens	GSM1395398							no					GEO	SRA166611		public	E70CF8F9CE7AAFC0A02D510B01A6091B	CF990FE8B1275C0103F22BA4672CA782	2796613	siPSMD13_vorinostat_12hr rep3	Gene Regulation Laboratory, Research Division, Peter MacCallum Cancer Centre	9606	SRS616840	GSM1395398	vorinostat-resistant HCT116	colorectal carcinoma cell line	12hr	siPSMD13 vorinostat	siPSMD13.vorinostat.12hr
