BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	cell type	source_name	treatment compound	treatment time	tumor type	group
SAMN10719207	SRR8424305	2019-09-03T16:10:06Z	2020-02-22T10:24:00Z	33561523	3356152300	0	100	628	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8424305/SRR8424305.2	SRX5233035		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236461	simple	9606	Homo sapiens	GSM3557226							no					GEO	SRA832338		public	ECBD646F28C17AE4EB668EBD01596AF1	A2EFC851426391240C20567AF0258C94	10719207	MKL2_L1	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236461	GSM3557226	MKL-2	tumor derived cancer cell line	MKL-2	CPI-670242	1 day	Merkel cell carcinoma	MKL_2.CPI_670242.1
SAMN10719208	SRR8424304	2019-09-03T16:10:06Z	2020-02-22T10:29:01Z	32238062	3223806200	0	100	591	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8424304/SRR8424304.2	SRX5233034		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236460	simple	9606	Homo sapiens	GSM3557225							no					GEO	SRA832338		public	9EB51CFF5B6CE9EB6B4E8F4F44F8B18A	06463A346D666DFDDCD3480D81529E99	10719208	MKL2_D3	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236460	GSM3557225	MKL-2	tumor derived cancer cell line	MKL-2	Control	1 day	Merkel cell carcinoma	MKL_2.Control.1
SAMN10719209	SRR8424303	2019-09-03T16:10:06Z	2020-02-22T10:24:48Z	36889088	3688908800	0	100	658	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8424303/SRR8424303.2	SRX5233033		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236459	simple	9606	Homo sapiens	GSM3557224							no					GEO	SRA832338		public	38B1908F6511973EF693CFDB3B695BC0	E7F0B1468AB2C37C4674069D412C82DD	10719209	MKL2_D2	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236459	GSM3557224	MKL-2	tumor derived cancer cell line	MKL-2	Control	1 day	Merkel cell carcinoma	MKL_2.Control.1
SAMN10719210	SRR8424302	2019-09-03T16:10:06Z	2020-02-22T10:28:55Z	40261574	4026157400	0	100	722	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8424302/SRR8424302.2	SRX5233032		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236458	simple	9606	Homo sapiens	GSM3557223							no					GEO	SRA832338		public	CEE9F065CF6AEB2D9E5EDB0943D302D2	FE470DD9A8C4B10579424D1AB27778FE	10719210	MKL2_D1	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236458	GSM3557223	MKL-2	tumor derived cancer cell line	MKL-2	Control	1 day	Merkel cell carcinoma	MKL_2.Control.1
SAMN10719211	SRR8424301	2019-09-03T16:10:06Z	2020-02-22T10:29:39Z	41699189	6254878350	0	150	1067	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8424301/SRR8424301.2	SRX5233031		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236457	simple	9606	Homo sapiens	GSM3557222							no					GEO	SRA832338		public	3597B1EAF95B0157153CDFE58DFBA799	0462C7BBB4DDB992AD3BD8FD6D479790	10719211	MKL1_L3	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236457	GSM3557222	MKL-1	tumor derived cancer cell line	MKL-1	GSK-LSD1 0.1uM	3 days	Merkel cell carcinoma	MKL_1.GSK_LSD10.1uM.3
SAMN10719212	SRR8424300	2019-09-03T16:10:06Z	2020-02-22T10:28:08Z	40724368	6108655200	0	150	1049	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8424300/SRR8424300.2	SRX5233030		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236456	simple	9606	Homo sapiens	GSM3557221							no					GEO	SRA832338		public	9A35396A853ED5F8325E23E0D1B78E48	0BF54C490768495F340F5B5FD08DDC98	10719212	MKL1_L2	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236456	GSM3557221	MKL-1	tumor derived cancer cell line	MKL-1	GSK-LSD1 0.1uM	3 days	Merkel cell carcinoma	MKL_1.GSK_LSD10.1uM.3
SAMN10719213	SRR8424299	2019-09-03T16:10:06Z	2020-02-22T10:24:47Z	32325520	4848828000	0	150	836	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8424299/SRR8424299.2	SRX5233029		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236455	simple	9606	Homo sapiens	GSM3557220							no					GEO	SRA832338		public	933A063B2397FAE2544CC8C6114FCF9A	768A5A61E648F1E14454748BA1DA1A37	10719213	MKL1_L1	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236455	GSM3557220	MKL-1	tumor derived cancer cell line	MKL-1	GSK-LSD1 0.1uM	3 days	Merkel cell carcinoma	MKL_1.GSK_LSD10.1uM.3
SAMN10719214	SRR8424298	2019-09-03T16:10:06Z	2020-02-22T10:27:06Z	39948370	5992255500	0	150	1035	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8424298/SRR8424298.2	SRX5233028		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236454	simple	9606	Homo sapiens	GSM3557219							no					GEO	SRA832338		public	82037B7292739852D2BCC1788EB59369	94A261A8CDFBE6F9AE31D1EF7DAE4186	10719214	MKL1_D3	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236454	GSM3557219	MKL-1	tumor derived cancer cell line	MKL-1	Control	3 days	Merkel cell carcinoma	MKL_1.Control.3
SAMN10719215	SRR8424297	2019-09-03T16:10:06Z	2020-02-22T10:24:44Z	27837181	4175577150	0	150	729	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8424297/SRR8424297.2	SRX5233027		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236453	simple	9606	Homo sapiens	GSM3557218							no					GEO	SRA832338		public	02B35739A536B7DC33E884E485960074	8EF50C1D7D7AC20F16CA6EC71370678C	10719215	MKL1_D2	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236453	GSM3557218	MKL-1	tumor derived cancer cell line	MKL-1	Control	3 days	Merkel cell carcinoma	MKL_1.Control.3
SAMN10719216	SRR8424296	2019-09-03T16:10:06Z	2020-02-22T10:23:19Z	42961765	6444264750	0	150	1114	GCA_000001405.13	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8424296/SRR8424296.2	SRX5233026		RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	NextSeq 500	SRP178113	PRJNA514037	3	514037	SRS4236452	simple	9606	Homo sapiens	GSM3557217							no					GEO	SRA832338		public	38EF1D4E7328E40853D11D6615DD1ABC	90F188787561D123AF574A5E46C3B65E	10719216	MKL1_D1	James DeCaprio, Medical oncology, Dana-Farber Cancer Institute	9606	SRS4236452	GSM3557217	MKL-1	tumor derived cancer cell line	MKL-1	Control	3 days	Merkel cell carcinoma	MKL_1.Control.3
