BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	culture condition	source_name	treatment	cell_line	group
SAMN13412948	SRR10545449	2020-01-08T16:18:14Z	2019-11-27T22:40:22Z	8250296	1134255020	8250296	137	480		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10545449/SRR10545449.1	SRX7228552		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729277	simple	9606	Homo sapiens	GSM4195189							no					GEO	SRA1003760		public	8B7B7E43906B99CA89B544F77395FBB8	8E209FFEAFDDC102D5337B102CDF1192	13412948	PDAC2_VEH_1	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729277	GSM4195189	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	DMSO	PDAC2	PDAC2.DMSO
SAMN13412947	SRR10545450	2020-01-08T16:18:14Z	2019-11-27T22:53:22Z	13461212	1850980534	13461212	137	784		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10545450/SRR10545450.1	SRX7228553		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729278	simple	9606	Homo sapiens	GSM4195190							no					GEO	SRA1003760		public	606E7B093F3249EB05D0EEE1B44C42BE	BB27E1DE6AF42C88D4DB43A823F11B6C	13412947	PDAC2_VITD_1	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729278	GSM4195190	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	Calcitriol	PDAC2	PDAC2.Calcitriol
SAMN13412946	SRR10545451	2020-01-08T16:18:14Z	2019-11-27T22:39:58Z	5766063	867679338	5766063	150	341		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10545451/SRR10545451.1	SRX7228554		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729279	simple	9606	Homo sapiens	GSM4195191							no					GEO	SRA1003760		public	FF2199DE5583101679ACF5A2E688550C	16996E676B06968E41E153A3F2032E17	13412946	PDAC2_VEH_2	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729279	GSM4195191	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	DMSO	PDAC2	PDAC2.DMSO
SAMN13412945	SRR10545452	2020-01-08T16:18:14Z	2019-11-27T22:39:54Z	5989499	901521176	5989499	150	344		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10545452/SRR10545452.1	SRX7228555		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729280	simple	9606	Homo sapiens	GSM4195192							no					GEO	SRA1003760		public	A08905B0C9E9A9CFDC689E87B4BDE9B2	539A56F97BCC881CA97FC55C780C33B1	13412945	PDAC2_VITD_2	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729280	GSM4195192	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	Calcitriol	PDAC2	PDAC2.Calcitriol
SAMN13412944	SRR10545453	2020-01-08T16:18:14Z	2019-11-27T23:03:34Z	61438187	9246084314	61438187	150	3596		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10545453/SRR10545453.1	SRX7228556		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729281	simple	9606	Homo sapiens	GSM4195193							no					GEO	SRA1003760		public	D1B970DE519FEA18C795D055AF75CF96	4341A7FE9C4F308C5F06F278059D85E4	13412944	PDAC2_VEH_3	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729281	GSM4195193	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	DMSO	PDAC2	PDAC2.DMSO
SAMN13412943	SRR10545454	2020-01-08T16:18:14Z	2019-11-27T22:40:05Z	5800293	874260549	5800293	150	333		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10545454/SRR10545454.1	SRX7228557		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729282	simple	9606	Homo sapiens	GSM4195194							no					GEO	SRA1003760		public	2D83DB50B7A74085A987BA72B7662527	410F70A8E921BA201BF7E881D10FF58C	13412943	PDAC2_VITD_3	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729282	GSM4195194	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	Calcitriol	PDAC2	PDAC2.Calcitriol
SAMN13412942	SRR10545455	2020-01-08T16:18:14Z	2019-11-27T23:00:37Z	15789053	2263015378	15789053	143	942		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10545455/SRR10545455.1	SRX7228558		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729283	simple	9606	Homo sapiens	GSM4195195							no					GEO	SRA1003760		public	848518DA2302FB7A34B0740419B51DDF	479DD74DF662848B62F463B772AE8A6E	13412942	PDAC3_VEH_1	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729283	GSM4195195	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	DMSO	PDAC3	PDAC3.DMSO
SAMN13412941	SRR10545456	2020-01-08T16:18:14Z	2019-11-27T22:43:59Z	15184204	2204502023	15184204	145	899		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10545456/SRR10545456.1	SRX7228559		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729284	simple	9606	Homo sapiens	GSM4195196							no					GEO	SRA1003760		public	5E6822D2DDED5EE2E86B849A7D7405D4	D9244BF8BDE157591F9DCF5E711AC12F	13412941	PDAC3_VITD_1	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729284	GSM4195196	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	Calcitriol	PDAC3	PDAC3.Calcitriol
SAMN13412940	SRR10545457	2020-01-08T16:18:14Z	2019-11-27T22:39:47Z	5532147	832863053	5532147	150	317		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10545457/SRR10545457.1	SRX7228560		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729285	simple	9606	Homo sapiens	GSM4195197							no					GEO	SRA1003760		public	0EDEC3D1D7DA542638E4B67C5563A9F2	1D6F4E835E58E2920A8834D037AFD5C2	13412940	PDAC3_VEH_2	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729285	GSM4195197	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	DMSO	PDAC3	PDAC3.DMSO
SAMN13412939	SRR10545458	2020-01-08T16:18:14Z	2019-11-27T22:39:18Z	4811384	725639818	4811384	150	276		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1054545/SRR10545458.1	SRX7228561		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729286	simple	9606	Homo sapiens	GSM4195198							no					GEO	SRA1003760		public	89D99C1AC4357ABF0AA191BD9658709A	0CE95BE96D05EA37D641B898CE3F2727	13412939	PDAC3_VITD_2	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729286	GSM4195198	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	Calcitriol	PDAC3	PDAC3.Calcitriol
SAMN13412938	SRR10545459	2020-01-08T16:18:14Z	2019-11-27T22:57:44Z	56156159	8454154480	56156159	150	3215		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10545459/SRR10545459.1	SRX7228562		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729287	simple	9606	Homo sapiens	GSM4195199							no					GEO	SRA1003760		public	AC9BA6B175034236C9D4DE52656AD23C	9384EF276D080C311CD0E4F43A162F0E	13412938	PDAC3_VEH_3	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729287	GSM4195199	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	DMSO	PDAC3	PDAC3.DMSO
SAMN13412937	SRR10545460	2020-01-08T16:18:14Z	2019-11-27T22:39:40Z	4977954	750354817	4977954	150	285		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10545460/SRR10545460.1	SRX7228563		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729288	simple	9606	Homo sapiens	GSM4195200							no					GEO	SRA1003760		public	FACFBD3310E59EEDA0DF29A4DC1431EF	AF71C0857802760A3B88E736A1E4981C	13412937	PDAC3_VITD_3	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729288	GSM4195200	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	Calcitriol	PDAC3	PDAC3.Calcitriol
SAMN13412936	SRR10545461	2020-01-08T16:18:14Z	2019-11-27T22:46:09Z	6062016	839012624	6062016	138	349		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1054546/SRR10545461.1	SRX7228564		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729289	simple	9606	Homo sapiens	GSM4195201							no					GEO	SRA1003760		public	A5F34612F5708B05A85EEDB303E67632	044E9E2AFDB2630BE4A36660D630BE71	13412936	PDAC5_VEH_1	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729289	GSM4195201	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	DMSO	PDAC5	PDAC5.DMSO
SAMN13412935	SRR10545462	2020-01-08T16:18:14Z	2019-11-27T22:52:34Z	10969586	1574434311	10969586	143	685		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10545462/SRR10545462.1	SRX7228565		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729290	simple	9606	Homo sapiens	GSM4195202							no					GEO	SRA1003760		public	D5E639A6701BB33BD92CF10E8D8905D2	994411867AF5481D0FB123291FE25259	13412935	PDAC5_VITD_1	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729290	GSM4195202	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	Calcitriol	PDAC5	PDAC5.Calcitriol
SAMN13412934	SRR10545463	2020-01-08T16:18:14Z	2019-11-27T22:39:48Z	5950066	895819342	5950066	150	354		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1054546/SRR10545463.1	SRX7228566		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729291	simple	9606	Homo sapiens	GSM4195203							no					GEO	SRA1003760		public	193ABD80CFA6591F3863ECA687BFD62D	1375FB0383B71D51CEFE84C5FC145829	13412934	PDAC5_VEH_2	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729291	GSM4195203	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	DMSO	PDAC5	PDAC5.DMSO
SAMN13412933	SRR10545464	2020-01-08T16:18:14Z	2019-11-27T22:39:47Z	5682649	855271157	5682649	150	325		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10545464/SRR10545464.1	SRX7228567		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729292	simple	9606	Homo sapiens	GSM4195204							no					GEO	SRA1003760		public	588033D2D6345A9A6E5F39876B48B09B	78175D74D6A156664CFE770B327D98EE	13412933	PDAC5_VITD_2	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729292	GSM4195204	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	Calcitriol	PDAC5	PDAC5.Calcitriol
SAMN13412932	SRR10545465	2020-01-08T16:18:14Z	2019-11-27T23:11:43Z	80254657	12084279717	80254657	150	4629		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1054546/SRR10545465.1	SRX7228568		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729293	simple	9606	Homo sapiens	GSM4195205							no					GEO	SRA1003760		public	5C83382C118AFF0D4A1E8CBCC96D27E6	B46D501C198D553A2B333CD4606B6089	13412932	PDAC5_VEH_3	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729293	GSM4195205	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	DMSO	PDAC5	PDAC5.DMSO
SAMN13412931	SRR10545466	2020-01-08T16:18:14Z	2019-11-27T22:40:23Z	6063461	913085033	6063461	150	353		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10545466/SRR10545466.1	SRX7228569		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729294	simple	9606	Homo sapiens	GSM4195206							no					GEO	SRA1003760		public	BE145DC07B7B23ACB82499A37485AED2	F03120E530E234995AD6EBB1D7CBA7AF	13412931	PDAC5_VITD_3	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729294	GSM4195206	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	Calcitriol	PDAC5	PDAC5.Calcitriol
SAMN13412930	SRR10545467	2020-01-08T16:18:14Z	2019-11-28T01:27:11Z	15984560	2321708066	15984560	145	964		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1054546/SRR10545467.1	SRX7228570		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729295	simple	9606	Homo sapiens	GSM4195207							no					GEO	SRA1003760		public	C723C5EE64668418118C09D2EC1600F5	F8D82EA8647B9E3D929D9C3A907FB907	13412930	PDAC6_VEH_1	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729295	GSM4195207	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	DMSO	PDAC6	PDAC6.DMSO
SAMN13412929	SRR10545468	2020-01-08T16:18:14Z	2019-11-27T22:45:35Z	6228503	873133347	6228503	140	360		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10545468/SRR10545468.1	SRX7228571		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729297	simple	9606	Homo sapiens	GSM4195208							no					GEO	SRA1003760		public	AF29AAD48D2498C80BA6247BD6418699	EBDF0F1F732216FC6745974DA2E91431	13412929	PDAC6_VITD_1	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729297	GSM4195208	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	Calcitriol	PDAC6	PDAC6.Calcitriol
SAMN13412928	SRR10545469	2020-01-08T16:18:14Z	2019-11-27T22:40:09Z	5197846	781711534	5197846	150	303		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR10545469/SRR10545469.1	SRX7228572		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729296	simple	9606	Homo sapiens	GSM4195209							no					GEO	SRA1003760		public	CE73CF000549DFCDCBEC73673FE4E5D9	B52FE2328B34490EB9DE63CF7C61BDB4	13412928	PDAC6_VEH_2	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729296	GSM4195209	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	DMSO	PDAC6	PDAC6.DMSO
SAMN13412927	SRR10545470	2020-01-08T16:18:14Z	2019-11-27T22:39:29Z	3478512	523690704	3478512	150	199		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10545470/SRR10545470.1	SRX7228573		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729298	simple	9606	Homo sapiens	GSM4195210							no					GEO	SRA1003760		public	12CF7D2C462CBCEC48DB6AEA555F01DF	2570ADB45D7C089451818B7E814121A7	13412927	PDAC6_VITD_2	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729298	GSM4195210	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	Calcitriol	PDAC6	PDAC6.Calcitriol
SAMN13412926	SRR10545471	2020-01-08T16:18:14Z	2019-11-27T22:53:49Z	36606976	5511122740	36606976	150	2114		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10545471/SRR10545471.1	SRX7228574		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729299	simple	9606	Homo sapiens	GSM4195211							no					GEO	SRA1003760		public	4B272719EF7FB4EEB41A25CD2A3FE7CB	8F614A5176619473B6E475F38581AD36	13412926	PDAC6_VEH_3	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729299	GSM4195211	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	DMSO	PDAC6	PDAC6.DMSO
SAMN13412925	SRR10545472	2020-01-08T16:18:14Z	2019-11-27T22:40:10Z	5033019	757138418	5033019	150	311		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10545472/SRR10545472.1	SRX7228575		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729301	simple	9606	Homo sapiens	GSM4195212							no					GEO	SRA1003760		public	B873534E628AF9B16F6D31BA5850EE1F	6255A2F3426E6225247E88AFDEA555BF	13412925	PDAC6_VITD_3	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729301	GSM4195212	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	Calcitriol	PDAC6	PDAC6.Calcitriol
SAMN13413001	SRR10545473	2020-01-08T16:18:14Z	2019-11-27T22:46:09Z	3789032	575932864	3789032	152	214		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1054547/SRR10545473.1	SRX7228576		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729300	simple	9606	Homo sapiens	GSM4195213							no					GEO	SRA1003760		public	D5E141575092CD6B6CA8A69DB12E7532	1231E297B0CCA4B869A6250FCF2F23AD	13413001	PDAC8_VEH_1	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729300	GSM4195213	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	DMSO	PDAC8	PDAC8.DMSO
SAMN13412970	SRR10545474	2020-01-08T16:18:14Z	2019-11-27T22:41:03Z	6861040	1042878080	6861040	152	358		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1054547/SRR10545474.1	SRX7228577		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729302	simple	9606	Homo sapiens	GSM4195214							no					GEO	SRA1003760		public	695C6C923E698B88776F01EA5233DE6E	88570455F39B33C59B4C69DAAD8C10BC	13412970	PDAC8_VITD_1	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729302	GSM4195214	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	Calcitriol	PDAC8	PDAC8.Calcitriol
SAMN13412969	SRR10545475	2020-01-08T16:18:14Z	2019-11-27T22:40:18Z	5502427	829993298	5502427	150	314		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10545475/SRR10545475.1	SRX7228578		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729303	simple	9606	Homo sapiens	GSM4195215							no					GEO	SRA1003760		public	9A386D3184B27936B869C756CD349BEB	E33DDE90C7E555B542D2C8F9D01BA24D	13412969	PDAC8_VEH_2	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729303	GSM4195215	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	DMSO	PDAC8	PDAC8.DMSO
SAMN13412968	SRR10545476	2020-01-08T16:18:14Z	2019-11-27T22:40:12Z	5006033	753628974	5006033	150	288		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1054547/SRR10545476.1	SRX7228579		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729304	simple	9606	Homo sapiens	GSM4195216							no					GEO	SRA1003760		public	C295846AC124DD48F1E792647A19CCB4	BC22978D07CDD1D58A2B4C258750783F	13412968	PDAC8_VITD_2	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729304	GSM4195216	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	Calcitriol	PDAC8	PDAC8.Calcitriol
SAMN13412967	SRR10545477	2020-01-08T16:18:15Z	2019-11-27T22:40:12Z	4716578	710850391	4716578	150	271		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10545477/SRR10545477.1	SRX7228580		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729305	simple	9606	Homo sapiens	GSM4195217							no					GEO	SRA1003760		public	58DBD2863E65C47FC44848FF77766A3E	587F6F3EB0F79DB1A451076675F64AF3	13412967	PDAC8_VEH_3	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729305	GSM4195217	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	DMSO	PDAC8	PDAC8.DMSO
SAMN13412966	SRR10545478	2020-01-08T16:18:15Z	2019-11-27T22:40:32Z	5517540	830024138	5517540	150	322		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR10545478/SRR10545478.1	SRX7228581		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729306	simple	9606	Homo sapiens	GSM4195218							no					GEO	SRA1003760		public	F17DBD9BB688DA0E1B9675C9DB094F07	2E9C17A9FA920439BBF9DE8B9927290B	13412966	PDAC8_VITD_3	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729306	GSM4195218	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	Calcitriol	PDAC8	PDAC8.Calcitriol
SAMN13412965	SRR10545479	2020-01-08T16:18:15Z	2019-11-27T22:48:59Z	5120071	778250792	5120071	152	258		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1054547/SRR10545479.1	SRX7228582		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729307	simple	9606	Homo sapiens	GSM4195219							no					GEO	SRA1003760		public	DC3AC4CAB3E132A43497207AE29F1B45	5C5E467E4B8CDFBD657AB8B91045655A	13412965	PDAC9_VEH_1	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729307	GSM4195219	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	DMSO	PDAC9	PDAC9.DMSO
SAMN13412964	SRR10545480	2020-01-08T16:18:15Z	2019-11-27T22:40:15Z	6335978	963068656	6335978	152	334		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1054548/SRR10545480.1	SRX7228583		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729308	simple	9606	Homo sapiens	GSM4195220							no					GEO	SRA1003760		public	3751DC03C9DB2E3612A0BBC21FA88F43	8EA50905B03BBB8493C32EF359D5C274	13412964	PDAC9_VITD_1	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729308	GSM4195220	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	Calcitriol	PDAC9	PDAC9.Calcitriol
SAMN13412963	SRR10545481	2020-01-08T16:18:15Z	2019-11-27T22:40:14Z	4835641	728054534	4835641	150	291		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-15/SRR1054548/SRR10545481.1	SRX7228584		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729309	simple	9606	Homo sapiens	GSM4195221							no					GEO	SRA1003760		public	1D8878CF8F8407C9F9446595FF409388	AFCA0807BBBB5216790D7F614AAF76F3	13412963	PDAC9_VEH_2	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729309	GSM4195221	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	DMSO	PDAC9	PDAC9.DMSO
SAMN13412962	SRR10545482	2020-01-08T16:18:15Z	2019-11-27T22:40:41Z	6390934	959736263	6390934	150	367		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR10545482/SRR10545482.1	SRX7228585		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	NextSeq 500	SRP233497	PRJNA592159	3	592159	SRS5729310	simple	9606	Homo sapiens	GSM4195222							no					GEO	SRA1003760		public	37A7AD85E24A814EF94113411884B13C	EF3D5D8E3F26E9CDE39070E7ED720B75	13412962	PDAC9_VITD_2	Ting Lab, Cancer Center, Massachusetts General Hospital	9606	SRS5729310	GSM4195222	3D tumorsphere	primary pancreatic ductal adenocarcinoma cell line	Calcitriol	PDAC9	PDAC9.Calcitriol
