BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	cell line	source_name	time	treatment	tumor type	group
SAMN10830574	SRR8495262	2019-05-29T16:28:06Z	2019-01-28T10:36:30Z	24566438	7369931400	24566438	300	2666		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8495262/SRR8495262.1	SRX5299777		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298733	simple	9606	Homo sapiens	GSM3581394							no					GEO	SRA840282		public	546DF1D85C288F2FB218F9CE887B874C	B0A865454B725B5FDDCB4C067A6344A8	10830574	48h_2mg_N_Tri3_Rep3_Batch2	Adelson, University of Adelaide	9606	SRS4298733	GSM3581394	MDA-MB-231	total RNAs, cell line	48h	N_Tri	breast cancer	MDA_MB_231.N_Tri.48h
SAMN10830575	SRR8495261	2019-05-29T16:28:06Z	2019-01-28T10:39:33Z	28547872	8564361600	28547872	300	3092		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8495261/SRR8495261.1	SRX5299776		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298732	simple	9606	Homo sapiens	GSM3581393							no					GEO	SRA840282		public	8D8EDCCE8238CF6C07C03414C7F4AE40	243A2637748C98E69CA393D3C398AB2E	10830575	48h_2mg_N_Tri2_Rep2_Batch2	Adelson, University of Adelaide	9606	SRS4298732	GSM3581393	MDA-MB-231	total RNAs, cell line	48h	N_Tri	breast cancer	MDA_MB_231.N_Tri.48h
SAMN10830576	SRR8495260	2019-05-29T16:28:06Z	2019-01-28T10:36:57Z	20652813	6195843900	20652813	300	2230		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8495260/SRR8495260.1	SRX5299775		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298731	simple	9606	Homo sapiens	GSM3581392							no					GEO	SRA840282		public	093D49CC21A4A872C6567E4B648046A3	0A71E5FC907DB23E40C9CD19257CDA10	10830576	48h_2mg_N_Tri1_Rep1_Batch2	Adelson, University of Adelaide	9606	SRS4298731	GSM3581392	MDA-MB-231	total RNAs, cell line	48h	N_Tri	breast cancer	MDA_MB_231.N_Tri.48h
SAMN10830577	SRR8495259	2019-05-29T16:28:06Z	2019-01-28T10:37:00Z	22456297	6736889100	22456297	300	2476		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8495259/SRR8495259.1	SRX5299774		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298730	simple	9606	Homo sapiens	GSM3581391							no					GEO	SRA840282		public	B68E06FB718CF718405E04E67E8CE728	A2C306D073C5E0E84338C99BAB721F23	10830577	48h_2mg_N_Omt3_Rep3_Batch2	Adelson, University of Adelaide	9606	SRS4298730	GSM3581391	MDA-MB-231	total RNAs, cell line	48h	N_Omt	breast cancer	MDA_MB_231.N_Omt.48h
SAMN10830578	SRR8495258	2019-05-29T16:28:06Z	2019-01-28T10:37:45Z	27211384	8163415200	27211384	300	2911		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8495258/SRR8495258.1	SRX5299773		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298729	simple	9606	Homo sapiens	GSM3581390							no					GEO	SRA840282		public	11ABD3736922085B1C2B85A2F31706CE	845FEE43FCFF76D7A9FE69B14AF5D0B7	10830578	48h_2mg_N_Omt2_Rep2_Batch2	Adelson, University of Adelaide	9606	SRS4298729	GSM3581390	MDA-MB-231	total RNAs, cell line	48h	N_Omt	breast cancer	MDA_MB_231.N_Omt.48h
SAMN10830579	SRR8495257	2019-05-29T16:28:06Z	2019-01-28T10:38:38Z	26617692	7985307600	26617692	300	2817		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8495257/SRR8495257.1	SRX5299772		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298728	simple	9606	Homo sapiens	GSM3581389							no					GEO	SRA840282		public	3370E467D2A20ACF1D145461991F902A	215D9BB8B2AB9402A2A2CDB427F2E86C	10830579	48h_2mg_N_Omt1_Rep1_Batch2	Adelson, University of Adelaide	9606	SRS4298728	GSM3581389	MDA-MB-231	total RNAs, cell line	48h	N_Omt	breast cancer	MDA_MB_231.N_Omt.48h
SAMN10830580	SRR8495256	2019-05-29T16:28:06Z	2019-01-28T10:54:48Z	28718289	8615486700	28718289	300	3104		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8495256/SRR8495256.1	SRX5299771		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298727	simple	9606	Homo sapiens	GSM3581388							no					GEO	SRA840282		public	E499D6F07AE2722F1F76CC03F9E397F1	CEFE03DFCA20831167332DA0E89BD9D5	10830580	48h_2mg_N_Nme3_Rep3_Batch2	Adelson, University of Adelaide	9606	SRS4298727	GSM3581388	MDA-MB-231	total RNAs, cell line	48h	N_Nme	breast cancer	MDA_MB_231.N_Nme.48h
SAMN10830581	SRR8495255	2019-05-29T16:28:06Z	2019-01-28T10:36:08Z	24076318	7222895400	24076318	300	2565		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8495255/SRR8495255.1	SRX5299770		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298726	simple	9606	Homo sapiens	GSM3581387							no					GEO	SRA840282		public	28C5994F3537DBF91F0B258957EB5591	9CE66363D9F7D8CD262EC7CCA8DF563A	10830581	48h_2mg_N_Nme2_Rep2_Batch2	Adelson, University of Adelaide	9606	SRS4298726	GSM3581387	MDA-MB-231	total RNAs, cell line	48h	N_Nme	breast cancer	MDA_MB_231.N_Nme.48h
SAMN10830582	SRR8495254	2019-05-29T16:28:06Z	2019-01-28T10:37:58Z	26347775	7904332500	26347775	300	2795		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8495254/SRR8495254.1	SRX5299769		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298725	simple	9606	Homo sapiens	GSM3581386							no					GEO	SRA840282		public	EB178814F4173C73111660447F2C340B	1CD5228A21540D348E76C867BCDFDAEA	10830582	48h_2mg_N_Nme1_Rep1_Batch2	Adelson, University of Adelaide	9606	SRS4298725	GSM3581386	MDA-MB-231	total RNAs, cell line	48h	N_Nme	breast cancer	MDA_MB_231.N_Nme.48h
SAMN10830583	SRR8495253	2019-05-29T16:28:06Z	2019-01-28T10:41:35Z	25735208	7720562400	25735208	300	2714		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8495253/SRR8495253.1	SRX5299768		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298724	simple	9606	Homo sapiens	GSM3581385							no					GEO	SRA840282		public	32B717B8DB11739A38A1A60385CEF811	3EF1949B28EC60987CF957CAC9C538C3	10830583	48h_2mg_N_Mac3_Rep3_Batch2	Adelson, University of Adelaide	9606	SRS4298724	GSM3581385	MDA-MB-231	total RNAs, cell line	48h	N_Mac	breast cancer	MDA_MB_231.N_Mac.48h
SAMN10830584	SRR8495252	2019-05-29T16:28:06Z	2019-01-28T10:38:26Z	24262562	7278768600	24262562	300	2555		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8495252/SRR8495252.1	SRX5299767		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298723	simple	9606	Homo sapiens	GSM3581384							no					GEO	SRA840282		public	264108A49AE9BA4C35230CC804D61477	C5047FBE5C696B333859997B326E2D20	10830584	48h_2mg_N_Mac2_Rep2_Batch2	Adelson, University of Adelaide	9606	SRS4298723	GSM3581384	MDA-MB-231	total RNAs, cell line	48h	N_Mac	breast cancer	MDA_MB_231.N_Mac.48h
SAMN10830585	SRR8495251	2019-05-29T16:28:06Z	2019-01-28T10:36:27Z	25381606	7614481800	25381606	300	2688		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8495251/SRR8495251.1	SRX5299766		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298722	simple	9606	Homo sapiens	GSM3581383							no					GEO	SRA840282		public	73F901C8533D1B76C62B7D12F64EB3EF	49BB08C6E5FE99B6B6B5435D92A43240	10830585	48h_2mg_N_Mac1_Rep1_Batch2	Adelson, University of Adelaide	9606	SRS4298722	GSM3581383	MDA-MB-231	total RNAs, cell line	48h	N_Mac	breast cancer	MDA_MB_231.N_Mac.48h
SAMN10830586	SRR8495250	2019-05-29T16:28:06Z	2019-01-28T10:37:05Z	25378307	7613492100	25378307	300	2714		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8495250/SRR8495250.1	SRX5299765		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298721	simple	9606	Homo sapiens	GSM3581382							no					GEO	SRA840282		public	16E921F825302436C1DA5BCB7729496C	B41628D923C96CC0F8E0C40D799E73AD	10830586	48h_2mg_CKI3_Rep3_Batch2	Adelson, University of Adelaide	9606	SRS4298721	GSM3581382	MDA-MB-231	total RNAs, cell line	48h	CKI	breast cancer	MDA_MB_231.CKI.48h
SAMN10830587	SRR8495249	2019-05-29T16:28:06Z	2019-01-28T10:41:04Z	25259459	7577837700	25259459	300	2716		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8495249/SRR8495249.1	SRX5299764		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298720	simple	9606	Homo sapiens	GSM3581381							no					GEO	SRA840282		public	0D0C967A024ACAA485C1AA4DC03D7297	E4B3A77AA0331CACAC84373EA53273DD	10830587	48h_2mg_CKI2_Rep2_Batch2	Adelson, University of Adelaide	9606	SRS4298720	GSM3581381	MDA-MB-231	total RNAs, cell line	48h	CKI	breast cancer	MDA_MB_231.CKI.48h
SAMN10830588	SRR8495248	2019-05-29T16:28:06Z	2019-01-28T10:36:21Z	22088324	6626497200	22088324	300	2377		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8495248/SRR8495248.1	SRX5299763		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298719	simple	9606	Homo sapiens	GSM3581380							no					GEO	SRA840282		public	AE9FFF7B3D74413B48B50317C61D0DDA	2E13BD6A74AA508579E80AB01BBC23E8	10830588	48h_2mg_CKI1_Rep1_Batch2	Adelson, University of Adelaide	9606	SRS4298719	GSM3581380	MDA-MB-231	total RNAs, cell line	48h	CKI	breast cancer	MDA_MB_231.CKI.48h
SAMN10830589	SRR8495241	2019-05-29T16:28:05Z	2019-01-28T10:41:54Z	26443675	7933102500	26443675	300	2927		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8495241/SRR8495241.1	SRX5299756		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298712	simple	9606	Homo sapiens	GSM3581373							no					GEO	SRA840282		public	E030EF9BEAF6FD63FB20CBDC70E786FA	AC35B09BA302C8A3BD21774E95FAB8D0	10830589	48h_2mg_OO_3_Rep3_Batch1	Adelson, University of Adelaide	9606	SRS4298712	GSM3581373	MDA-MB-231	total RNAs, cell line	48h	OO	breast cancer	MDA_MB_231.OO.48h
SAMN10830590	SRR8495240	2019-05-29T16:28:05Z	2019-01-28T10:41:26Z	26461629	7938488700	26461629	300	3001		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8495240/SRR8495240.1	SRX5299755		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298711	simple	9606	Homo sapiens	GSM3581372							no					GEO	SRA840282		public	37684818CAED786F26B7BE245ED6D975	1CF05FCD8C53A239FC1F83B7997A4782	10830590	48h_2mg_OO_2_Rep2_Batch1	Adelson, University of Adelaide	9606	SRS4298711	GSM3581372	MDA-MB-231	total RNAs, cell line	48h	OO	breast cancer	MDA_MB_231.OO.48h
SAMN10830591	SRR8495247	2019-05-29T16:28:06Z	2019-01-28T10:39:24Z	27704949	8311484700	27704949	300	2969		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8495247/SRR8495247.1	SRX5299762		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298718	simple	9606	Homo sapiens	GSM3581379							no					GEO	SRA840282		public	3DEACE16D3657831559C9ED329C74664	BF216BE57D6FCE964CBCCCBBB759BABD	10830591	48h_UT3_Rep3_Batch2	Adelson, University of Adelaide	9606	SRS4298718	GSM3581379	MDA-MB-231	total RNAs, cell line	48h	UT	breast cancer	MDA_MB_231.UT.48h
SAMN10830592	SRR8495246	2019-05-29T16:28:06Z	2019-01-28T10:42:35Z	27042921	8112876300	27042921	300	2914		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8495246/SRR8495246.1	SRX5299761		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298717	simple	9606	Homo sapiens	GSM3581378							no					GEO	SRA840282		public	36AEBA884219223262D804799EFEC103	D8D4CA63ADB883F705FDA4D177925C2C	10830592	48h_UT2_Rep2_Batch2	Adelson, University of Adelaide	9606	SRS4298717	GSM3581378	MDA-MB-231	total RNAs, cell line	48h	UT	breast cancer	MDA_MB_231.UT.48h
SAMN10830593	SRR8495245	2019-05-29T16:28:06Z	2019-01-28T10:38:36Z	28847970	8654391000	28847970	300	3103		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8495245/SRR8495245.1	SRX5299760		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298716	simple	9606	Homo sapiens	GSM3581377							no					GEO	SRA840282		public	FF03DBA61779D34E1E3B0A49AD5AF594	114CB1E7B70455AAB5FC191E697DB3BD	10830593	48h_UT1_Rep1_Batch2	Adelson, University of Adelaide	9606	SRS4298716	GSM3581377	MDA-MB-231	total RNAs, cell line	48h	UT	breast cancer	MDA_MB_231.UT.48h
SAMN10830594	SRR8495244	2019-05-29T16:28:06Z	2019-01-28T10:52:09Z	25532216	7659664800	25532216	300	2822		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8495244/SRR8495244.1	SRX5299759		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	HiSeq X Ten	SRP182663	PRJNA517432	3	517432	SRS4298715	simple	9606	Homo sapiens	GSM3581376							no					GEO	SRA840282		public	A0359DB100765DDEB61D8F419ED49E3C	44A719AA53D5849863EBFAA3410E6751	10830594	48h_2mg_MOO_3_Rep3_Batch1	Adelson, University of Adelaide	9606	SRS4298715	GSM3581376	MDA-MB-231	total RNAs, cell line	48h	MOO	breast cancer	MDA_MB_231.MOO.48h
