accession	uid	title	organization	taxonomy	sra	geo	age	biomaterial_provider	cell_line	cell_subtype	disease	isolate	sex	tissue	treatment
SAMN19551057	19551057	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: DR2_1_1	SRA: SRS9131606	Adult	Jason Sheltzer lab	DLD1	CDK11B-G579S	Adenocarcinoma; Colorectal; Dukes' type C	DLD1, CDK11B-G579S	male	Colon	DLD1 G579S 25nM OTS964 1hr #1
SAMN19551058	19551058	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: DR2_1_2	SRA: SRS9131605	Adult	Jason Sheltzer lab	DLD1	CDK11B-G579S	Adenocarcinoma; Colorectal; Dukes' type C	DLD1, CDK11B-G579S	male	Colon	DLD1 G579S 25nM OTS964 1hr #2
SAMN19551059	19551059	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: DR3_1_1	SRA: SRS9131437	Adult	Jason Sheltzer lab	DLD1	CDK11B-G579S	Adenocarcinoma; Colorectal; Dukes' type C	DLD1, CDK11B-G579S	male	Colon	DLD1 G579S 100nM OTS964 1hr #1
SAMN19551060	19551060	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: DR3_1_2	SRA: SRS9131439	Adult	Jason Sheltzer lab	DLD1	CDK11B-G579S	Adenocarcinoma; Colorectal; Dukes' type C	DLD1, CDK11B-G579S	male	Colon	DLD1 G579S 100nM OTS964 1hr #2
SAMN19551061	19551061	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: DR0_6_1	SRA: SRS9131440	Adult	Jason Sheltzer lab	DLD1	CDK11B-G579S	Adenocarcinoma; Colorectal; Dukes' type C	DLD1, CDK11B-G579S	male	Colon	DLD1 G579S DMSO 6hr #1
SAMN19551062	19551062	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: DR0_6_2	SRA: SRS9131604	Adult	Jason Sheltzer lab	DLD1	CDK11B-G579S	Adenocarcinoma; Colorectal; Dukes' type C	DLD1, CDK11B-G579S	male	Colon	DLD1 G579S DMSO 6hr #2
SAMN19551063	19551063	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: DR2_6_1	SRA: SRS9131602	Adult	Jason Sheltzer lab	DLD1	CDK11B-G579S	Adenocarcinoma; Colorectal; Dukes' type C	DLD1, CDK11B-G579S	male	Colon	DLD1 G579S 25nM OTS964 6hr #1
SAMN19551064	19551064	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: DR2_6_2	SRA: SRS9131441	Adult	Jason Sheltzer lab	DLD1	CDK11B-G579S	Adenocarcinoma; Colorectal; Dukes' type C	DLD1, CDK11B-G579S	male	Colon	DLD1 G579S 25nM OTS964 6hr #2
SAMN19551065	19551065	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: DR3_6_1	SRA: SRS9131442	Adult	Jason Sheltzer lab	DLD1	CDK11B-G579S	Adenocarcinoma; Colorectal; Dukes' type C	DLD1, CDK11B-G579S	male	Colon	DLD1 G579S 100nM OTS964 6hr #1
SAMN19551066	19551066	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: DR3_6_2	SRA: SRS9131443	Adult	Jason Sheltzer lab	DLD1	CDK11B-G579S	Adenocarcinoma; Colorectal; Dukes' type C	DLD1, CDK11B-G579S	male	Colon	DLD1 G579S 100nM OTS964 6hr #2
SAMN19551067	19551067	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: DR0_24_1	SRA: SRS9131598	Adult	Jason Sheltzer lab	DLD1	CDK11B-G579S	Adenocarcinoma; Colorectal; Dukes' type C	DLD1, CDK11B-G579S	male	Colon	DLD1 G579S DMSO 24hr #1
SAMN19551068	19551068	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: DR0_24_2	SRA: SRS9131601	Adult	Jason Sheltzer lab	DLD1	CDK11B-G579S	Adenocarcinoma; Colorectal; Dukes' type C	DLD1, CDK11B-G579S	male	Colon	DLD1 G579S DMSO 24hr #2
SAMN19551069	19551069	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: DR2_24_1	SRA: SRS9131444	Adult	Jason Sheltzer lab	DLD1	CDK11B-G579S	Adenocarcinoma; Colorectal; Dukes' type C	DLD1, CDK11B-G579S	male	Colon	DLD1 G579S 25nM OTS964 24hr #1
SAMN19551070	19551070	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: DR2_24_2	SRA: SRS9131445	Adult	Jason Sheltzer lab	DLD1	CDK11B-G579S	Adenocarcinoma; Colorectal; Dukes' type C	DLD1, CDK11B-G579S	male	Colon	DLD1 G579S 25nM OTS964 24hr #2
SAMN19551071	19551071	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: DR3_24_1	SRA: SRS9131446	Adult	Jason Sheltzer lab	DLD1	CDK11B-G579S	Adenocarcinoma; Colorectal; Dukes' type C	DLD1, CDK11B-G579S	male	Colon	DLD1 G579S 100nM OTS964 24hr #1
SAMN19551072	19551072	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: DR3_24_2	SRA: SRS9131599	Adult	Jason Sheltzer lab	DLD1	CDK11B-G579S	Adenocarcinoma; Colorectal; Dukes' type C	DLD1, CDK11B-G579S	male	Colon	DLD1 G579S 100nM OTS964 24hr #2
SAMN19551073	19551073	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: S1	SRA: SRS9131597	73	Jason Sheltzer lab	Suit2	CDK11B-G579S, OE	Pancreatic ductal adenocarcinoma	Suit2, CDK11B-G579S OE	male	pancreas	SUIT2 cas9 G579S 0hr #1
SAMN19551074	19551074	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: S2	SRA: SRS9131447	73	Jason Sheltzer lab	Suit2	CDK11B-G579S, OE	Pancreatic ductal adenocarcinoma	Suit2, CDK11B-G579S OE	male	pancreas	SUIT2 cas9 G579S 0hr #2
SAMN19551075	19551075	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: S3	SRA: SRS9131448	73	Jason Sheltzer lab	Suit2	CDK11B-G579S, OE	Pancreatic ductal adenocarcinoma	Suit2, CDK11B-G579S OE	male	pancreas	SUIT2 cas9 G579S 6hr DMSO #1
SAMN19551076	19551076	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: S4	SRA: SRS9131449	73	Jason Sheltzer lab	Suit2	CDK11B-G579S, OE	Pancreatic ductal adenocarcinoma	Suit2, CDK11B-G579S OE	male	pancreas	SUIT2 cas9 G579S 6hr DMSO #2
SAMN19551077	19551077	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: S5	SRA: SRS9131450	73	Jason Sheltzer lab	Suit2	CDK11B-G579S, OE	Pancreatic ductal adenocarcinoma	Suit2, CDK11B-G579S OE	male	pancreas	SUIT2 cas9 G579S 6hr + OTS964 #1
SAMN19551078	19551078	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: S6	SRA: SRS9131596	73	Jason Sheltzer lab	Suit2	CDK11B-G579S, OE	Pancreatic ductal adenocarcinoma	Suit2, CDK11B-G579S OE	male	pancreas	SUIT2 cas9 G579S 6hr + OTS964 #2
SAMN19551079	19551079	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: S7	SRA: SRS9131595	73	Jason Sheltzer lab	Suit2	Empty vector	Pancreatic ductal adenocarcinoma	Suit2	male	pancreas	SUIT2 cas9 EV 0hr #1
SAMN19551080	19551080	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: S8	SRA: SRS9131593	73	Jason Sheltzer lab	Suit2	Empty vector	Pancreatic ductal adenocarcinoma	Suit2	male	pancreas	SUIT2 cas9 EV 0hr #2
SAMN19551081	19551081	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: S9	SRA: SRS9131594	73	Jason Sheltzer lab	Suit2	Empty vector	Pancreatic ductal adenocarcinoma	Suit2	male	pancreas	SUIT2 cas9 EV 6hr DMSO #1
SAMN19551082	19551082	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: S10	SRA: SRS9131591	73	Jason Sheltzer lab	Suit2	Empty vector	Pancreatic ductal adenocarcinoma	Suit2	male	pancreas	SUIT2 cas9 EV 6hr DMSO #2
SAMN19551083	19551083	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: S11	SRA: SRS9131590	73	Jason Sheltzer lab	Suit2	Empty vector	Pancreatic ductal adenocarcinoma	Suit2	male	pancreas	SUIT2 cas9 EV 6hr + OTS964 #1
SAMN19551084	19551084	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: S12	SRA: SRS9131588	73	Jason Sheltzer lab	Suit2	Empty vector	Pancreatic ductal adenocarcinoma	Suit2	male	pancreas	SUIT2 cas9 EV 6hr + OTS964 #2
SAMN19551085	19551085	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: M1	SRA: SRS9131589	51	Jason Sheltzer lab	MDA-MB-231	CDK11B-G579S, OE	breast adenocarcinoma	MDA-MB-231, CDK11B-G579S OE	female	breast	MDAMB231 G579S 0hr #1
SAMN19551086	19551086	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: M2	SRA: SRS9131587	51	Jason Sheltzer lab	MDA-MB-231	CDK11B-G579S, OE	breast adenocarcinoma	MDA-MB-231, CDK11B-G579S OE	female	breast	MDAMB231 G579S 0hr #2
SAMN19551087	19551087	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: M3	SRA: SRS9131586	51	Jason Sheltzer lab	MDA-MB-231	CDK11B-G579S, OE	breast adenocarcinoma	MDA-MB-231, CDK11B-G579S OE	female	breast	MDAMB231 G579S 6hr DMSO #1
SAMN19551088	19551088	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: M4	SRA: SRS9131585	51	Jason Sheltzer lab	MDA-MB-231	CDK11B-G579S, OE	breast adenocarcinoma	MDA-MB-231, CDK11B-G579S OE	female	breast	MDAMB231 G579S 6hr DMSO #2
SAMN19551089	19551089	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: M5	SRA: SRS9131584	51	Jason Sheltzer lab	MDA-MB-231	CDK11B-G579S, OE	breast adenocarcinoma	MDA-MB-231, CDK11B-G579S OE	female	breast	MDAMB231 G579S 6hr + OTS964 #1
SAMN19551090	19551090	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: M6	SRA: SRS9131582	51	Jason Sheltzer lab	MDA-MB-231	CDK11B-G579S, OE	breast adenocarcinoma	MDA-MB-231, CDK11B-G579S OE	female	breast	MDAMB231 G579S 6hr + OTS964 #2
SAMN19551091	19551091	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: M7	SRA: SRS9131581	51	Jason Sheltzer lab	MDA-MB-231	Empty vector	breast adenocarcinoma	MDA-MB-231	female	breast	MDAMB231 EV 0hr #1
SAMN19551092	19551092	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: M8	SRA: SRS9131583	51	Jason Sheltzer lab	MDA-MB-231	Empty vector	breast adenocarcinoma	MDA-MB-231	female	breast	MDAMB231 EV 0hr #2
SAMN19551093	19551093	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: M9	SRA: SRS9131579	51	Jason Sheltzer lab	MDA-MB-231	Empty vector	breast adenocarcinoma	MDA-MB-231	female	breast	MDAMB231 EV 6hr DMSO #1
SAMN19551094	19551094	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: M10	SRA: SRS9131578	51	Jason Sheltzer lab	MDA-MB-231	Empty vector	breast adenocarcinoma	MDA-MB-231	female	breast	MDAMB231 EV 6hr DMSO #2
SAMN19551095	19551095	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: M11	SRA: SRS9131577	51	Jason Sheltzer lab	MDA-MB-231	Empty vector	breast adenocarcinoma	MDA-MB-231	female	breast	MDAMB231 EV 6hr + OTS964 #1
SAMN19551096	19551096	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: M12	SRA: SRS9131576	51	Jason Sheltzer lab	MDA-MB-231	Empty vector	breast adenocarcinoma	MDA-MB-231	female	breast	MDAMB231 EV 6hr + OTS964 #2
SAMN19551097	19551097	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: Sc1	SRA: SRS9131575	73	Jason Sheltzer lab	Suit2	CDK11B, OE	Pancreatic ductal adenocarcinoma	Suit2, CDK11B OE	male	pancreas	SUIT2 cas9 CDK11B/1346 #1
SAMN19551098	19551098	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: Sc2	SRA: SRS9131574	73	Jason Sheltzer lab	Suit2	CDK11B, OE	Pancreatic ductal adenocarcinoma	Suit2, CDK11B OE	male	pancreas	SUIT2 cas9 CDK11B/1346 #2
SAMN19551099	19551099	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: Sc3	SRA: SRS9131573	73	Jason Sheltzer lab	Suit2	CDK11B, OE	Pancreatic ductal adenocarcinoma	Suit2, CDK11B OE	male	pancreas	SUIT2 cas9 CDK11B/1347 #1
SAMN19551100	19551100	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: Sc4	SRA: SRS9131572	73	Jason Sheltzer lab	Suit2	CDK11B, OE	Pancreatic ductal adenocarcinoma	Suit2, CDK11B OE	male	pancreas	SUIT2 cas9 CDK11B/1347 #2
SAMN19551101	19551101	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: Sc5	SRA: SRS9131571	73	Jason Sheltzer lab	Suit2	CDK11B, OE	Pancreatic ductal adenocarcinoma	Suit2, CDK11B OE	male	pancreas	SUIT2 cas9 CDK11B/1348 #1
SAMN19551102	19551102	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: Sc6	SRA: SRS9131570	73	Jason Sheltzer lab	Suit2	CDK11B, OE	Pancreatic ductal adenocarcinoma	Suit2, CDK11B OE	male	pancreas	SUIT2 cas9 CDK11B/1348 #2
SAMN19551103	19551103	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: Sc7	SRA: SRS9131568	73	Jason Sheltzer lab	Suit2	CDK11B, OE	Pancreatic ductal adenocarcinoma	Suit2, CDK11B OE	male	pancreas	SUIT2 cas9 CDK11B/1349 #1
SAMN19551104	19551104	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: Sc8	SRA: SRS9131567	73	Jason Sheltzer lab	Suit2	CDK11B, OE	Pancreatic ductal adenocarcinoma	Suit2, CDK11B OE	male	pancreas	SUIT2 cas9 CDK11B/1349 #2
SAMN19551105	19551105	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: Sc9	SRA: SRS9131566	73	Jason Sheltzer lab	Suit2	Empty vector	Pancreatic ductal adenocarcinoma	Suit2	male	pancreas	SUIT2 cas9 EV/1346 #1
SAMN19551106	19551106	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: Sc10	SRA: SRS9131565	73	Jason Sheltzer lab	Suit2	Empty vector	Pancreatic ductal adenocarcinoma	Suit2	male	pancreas	SUIT2 cas9 EV/1346 #2
SAMN19551107	19551107	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: Sc11	SRA: SRS9131563	73	Jason Sheltzer lab	Suit2	Empty vector	Pancreatic ductal adenocarcinoma	Suit2	male	pancreas	SUIT2 cas9 EV/1347 #1
SAMN19551108	19551108	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: Sc12	SRA: SRS9131561	73	Jason Sheltzer lab	Suit2	Empty vector	Pancreatic ductal adenocarcinoma	Suit2	male	pancreas	SUIT2 cas9 EV/1347 #2
SAMN19551109	19551109	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: Sc13	SRA: SRS9131562	73	Jason Sheltzer lab	Suit2	Empty vector	Pancreatic ductal adenocarcinoma	Suit2	male	pancreas	SUIT2 cas9 EV/1348 #1
SAMN19551110	19551110	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: Sc14	SRA: SRS9131564	73	Jason Sheltzer lab	Suit2	Empty vector	Pancreatic ductal adenocarcinoma	Suit2	male	pancreas	SUIT2 cas9 EV/1348 #2
SAMN19551111	19551111	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: Sc15	SRA: SRS9131560	73	Jason Sheltzer lab	Suit2	Empty vector	Pancreatic ductal adenocarcinoma	Suit2	male	pancreas	SUIT2 cas9 EV/1349 #1
SAMN19551112	19551112	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: Sc16	SRA: SRS9131559	73	Jason Sheltzer lab	Suit2	Empty vector	Pancreatic ductal adenocarcinoma	Suit2	male	pancreas	SUIT2 cas9 EV/1349 #2
SAMN19551113	19551113	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: Mc1	SRA: SRS9131557	51	Jason Sheltzer lab	MDA-MB-231	CDK11B, OE	breast adenocarcinoma	MDA-MB-231, CDK11B OE	female	breast	MDAMB231 cas9 CDK11B/1346 #1
SAMN19551114	19551114	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: Mc2	SRA: SRS9131555	51	Jason Sheltzer lab	MDA-MB-231	CDK11B, OE	breast adenocarcinoma	MDA-MB-231, CDK11B OE	female	breast	MDAMB231 cas9 CDK11B/1346 #2
SAMN19551115	19551115	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: Mc3	SRA: SRS9131556	51	Jason Sheltzer lab	MDA-MB-231	CDK11B, OE	breast adenocarcinoma	MDA-MB-231, CDK11B OE	female	breast	MDAMB231 cas9 CDK11B/1347 #1
SAMN19551116	19551116	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: Mc4	SRA: SRS9131554	51	Jason Sheltzer lab	MDA-MB-231	CDK11B, OE	breast adenocarcinoma	MDA-MB-231, CDK11B OE	female	breast	MDAMB231 cas9 CDK11B/1347 #2
SAMN19551117	19551117	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: Mc5	SRA: SRS9131553	51	Jason Sheltzer lab	MDA-MB-231	CDK11B, OE	breast adenocarcinoma	MDA-MB-231, CDK11B OE	female	breast	MDAMB231 cas9 CDK11B/1348 #1
SAMN19551118	19551118	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: Mc6	SRA: SRS9131552	51	Jason Sheltzer lab	MDA-MB-231	CDK11B, OE	breast adenocarcinoma	MDA-MB-231, CDK11B OE	female	breast	MDAMB231 cas9 CDK11B/1348 #2
SAMN19551119	19551119	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: Mc7	SRA: SRS9131551	51	Jason Sheltzer lab	MDA-MB-231	CDK11B, OE	breast adenocarcinoma	MDA-MB-231, CDK11B OE	female	breast	MDAMB231 cas9 CDK11B/1349 #1
SAMN19551120	19551120	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: Mc8	SRA: SRS9131550	51	Jason Sheltzer lab	MDA-MB-231	CDK11B, OE	breast adenocarcinoma	MDA-MB-231, CDK11B OE	female	breast	MDAMB231 cas9 CDK11B/1349 #2
SAMN19551121	19551121	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: Mc9	SRA: SRS9131549	51	Jason Sheltzer lab	MDA-MB-231	Empty vector	breast adenocarcinoma	MDA-MB-231	female	breast	MDAMB231 cas9 EV/1346 #1
SAMN19551122	19551122	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: Mc10	SRA: SRS9131548	51	Jason Sheltzer lab	MDA-MB-231	Empty vector	breast adenocarcinoma	MDA-MB-231	female	breast	MDAMB231 cas9 EV/1346 #2
SAMN19551123	19551123	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: Mc11	SRA: SRS9131546	51	Jason Sheltzer lab	MDA-MB-231	Empty vector	breast adenocarcinoma	MDA-MB-231	female	breast	MDAMB231 cas9 EV/1347 #1
SAMN19551124	19551124	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: Mc12	SRA: SRS9131545	51	Jason Sheltzer lab	MDA-MB-231	Empty vector	breast adenocarcinoma	MDA-MB-231	female	breast	MDAMB231 cas9 EV/1347 #2
SAMN19551125	19551125	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: Mc13	SRA: SRS9131544	51	Jason Sheltzer lab	MDA-MB-231	Empty vector	breast adenocarcinoma	MDA-MB-231	female	breast	MDAMB231 cas9 EV/1348 #1
SAMN19551126	19551126	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: Mc14	SRA: SRS9131542	51	Jason Sheltzer lab	MDA-MB-231	Empty vector	breast adenocarcinoma	MDA-MB-231	female	breast	MDAMB231 cas9 EV/1348 #2
SAMN19551127	19551127	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: Mc15	SRA: SRS9131543	51	Jason Sheltzer lab	MDA-MB-231	Empty vector	breast adenocarcinoma	MDA-MB-231	female	breast	MDAMB231 cas9 EV/1349 #1
SAMN19551128	19551128	Human sample from Homo sapiens	Cold Spring Harbor	9606	Sample name: Mc16	SRA: SRS9131541	51	Jason Sheltzer lab	MDA-MB-231	Empty vector	breast adenocarcinoma	MDA-MB-231	female	breast	MDAMB231 cas9 EV/1349 #2
