accession	uid	title	organization	taxonomy	sra	geo	Sex	age	cell line	collection_date	geo_loc_name	provider	source_name	treatment	vendor id
SAMN27109169	27109169	lncap_LNCAPPS3B_B3_AMG900_2.5_24	Department of Systems Biology, Columbia University	9606	SRS13705070	GSM5986259	male	50	LNCaP	missing	missing	ATCC	prostate cancer	AMG900	CRL-1740
SAMN27109170	27109170	lncap_LNCAPPS3B_A3_AEE788_0.17_24	Department of Systems Biology, Columbia University	9606	SRS13705069	GSM5986258	male	50	LNCaP	missing	missing	ATCC	prostate cancer	AEE788	CRL-1740
SAMN27109171	27109171	lncap_LNCAPPS3B_H2_Icotinib_5.5_24	Department of Systems Biology, Columbia University	9606	SRS13705068	GSM5986257	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Icotinib	CRL-1740
SAMN27109172	27109172	lncap_LNCAPPS3B_G2_Banoxantrone_5.5_24	Department of Systems Biology, Columbia University	9606	SRS13705067	GSM5986256	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Banoxantrone	CRL-1740
SAMN27109173	27109173	lncap_LNCAPPS3B_F2_ARN509_5_24	Department of Systems Biology, Columbia University	9606	SRS13705066	GSM5986255	male	50	LNCaP	missing	missing	ATCC	prostate cancer	ARN509	CRL-1740
SAMN27109174	27109174	lncap_LNCAPPS3B_E2_Valproic acid_2_24	Department of Systems Biology, Columbia University	9606	SRS13705065	GSM5986254	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Valproic acid	CRL-1740
SAMN27109175	27109175	lncap_LNCAPPS3B_D2_UNTREATED_0_24	Department of Systems Biology, Columbia University	9606	SRS13705064	GSM5986253	male	50	LNCaP	missing	missing	ATCC	prostate cancer	UNTREATED	CRL-1740
SAMN27109176	27109176	lncap_LNCAPPS3B_C2_UNTREATED_0_24	Department of Systems Biology, Columbia University	9606	SRS13705063	GSM5986252	male	50	LNCaP	missing	missing	ATCC	prostate cancer	UNTREATED	CRL-1740
SAMN27109177	27109177	lncap_LNCAPPS3B_B2_DMSO_0_24	Department of Systems Biology, Columbia University	9606	SRS13705062	GSM5986251	male	50	LNCaP	missing	missing	ATCC	prostate cancer	DMSO	CRL-1740
SAMN27109178	27109178	lncap_LNCAPPS3B_A2_DMSO_0_24	Department of Systems Biology, Columbia University	9606	SRS13705061	GSM5986250	male	50	LNCaP	missing	missing	ATCC	prostate cancer	DMSO	CRL-1740
SAMN27109179	27109179	lncap_LNCAPPS3B_H1_Phenelzine_1_24	Department of Systems Biology, Columbia University	9606	SRS13705059	GSM5986249	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Phenelzine	CRL-1740
SAMN27109180	27109180	lncap_LNCAPPS3B_G1_Berberine_7_24	Department of Systems Biology, Columbia University	9606	SRS13705060	GSM5986248	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Berberine	CRL-1740
SAMN27109181	27109181	lncap_LNCAPPS3B_F1_Aminopterin_1_24	Department of Systems Biology, Columbia University	9606	SRS13705058	GSM5986247	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Aminopterin	CRL-1740
SAMN27109182	27109182	lncap_LNCAPPS3B_E1_Tacrolimus_10_24	Department of Systems Biology, Columbia University	9606	SRS13705057	GSM5986246	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Tacrolimus	CRL-1740
SAMN27109183	27109183	lncap_LNCAPPS3B_D1_Cyclosporine_10_24	Department of Systems Biology, Columbia University	9606	SRS13705056	GSM5986245	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Cyclosporine	CRL-1740
SAMN27109184	27109184	lncap_LNCAPPS3B_C1_Aspirin_10_24	Department of Systems Biology, Columbia University	9606	SRS13705055	GSM5986244	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Aspirin	CRL-1740
SAMN27109185	27109185	lncap_LNCAPPS3B_B1_Hydroxychloroquine_0.5_24	Department of Systems Biology, Columbia University	9606	SRS13705054	GSM5986243	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Hydroxychloroquine	CRL-1740
SAMN27109186	27109186	lncap_LNCAPPS3B_A1_Mycophenolate_6.5_24	Department of Systems Biology, Columbia University	9606	SRS13705053	GSM5986242	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Mycophenolate	CRL-1740
SAMN27109187	27109187	lncap_LNCAPPS3A_H12_Vatalanib_0.115_24	Department of Systems Biology, Columbia University	9606	SRS13705052	GSM5986241	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Vatalanib	CRL-1740
SAMN27109188	27109188	lncap_LNCAPPS3A_G12_Cyproterone_0.165_24	Department of Systems Biology, Columbia University	9606	SRS13705051	GSM5986240	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Cyproterone	CRL-1740
SAMN27109189	27109189	lncap_LNCAPPS3A_F12_Cilengitide_0.0003_24	Department of Systems Biology, Columbia University	9606	SRS13705050	GSM5986239	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Cilengitide	CRL-1740
SAMN27109190	27109190	lncap_LNCAPPS3A_E12_Sotrastaurin_3_24	Department of Systems Biology, Columbia University	9606	SRS13705049	GSM5986238	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Sotrastaurin	CRL-1740
SAMN27109191	27109191	lncap_LNCAPPS3A_D12_SAR245409_0.00025_24	Department of Systems Biology, Columbia University	9606	SRS13705048	GSM5986237	male	50	LNCaP	missing	missing	ATCC	prostate cancer	SAR 245409.00	CRL-1740
SAMN27109192	27109192	lncap_LNCAPPS3A_C12_Volasertib_0.015_24	Department of Systems Biology, Columbia University	9606	SRS13705047	GSM5986236	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Volasertib	CRL-1740
SAMN27109193	27109193	lncap_LNCAPPS3A_B12_Calcitriol_0.0001_24	Department of Systems Biology, Columbia University	9606	SRS13705045	GSM5986235	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Calcitriol	CRL-1740
SAMN27109194	27109194	lncap_LNCAPPS3A_A12_Duvelisib_0.02_24	Department of Systems Biology, Columbia University	9606	SRS13705046	GSM5986234	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Duvelisib	CRL-1740
SAMN27109195	27109195	lncap_LNCAPPS3A_H11_UNTREATED_0_24	Department of Systems Biology, Columbia University	9606	SRS13705044	GSM5986233	male	50	LNCaP	missing	missing	ATCC	prostate cancer	UNTREATED	CRL-1740
SAMN27109196	27109196	lncap_LNCAPPS3A_G11_UNTREATED_0_24	Department of Systems Biology, Columbia University	9606	SRS13705042	GSM5986232	male	50	LNCaP	missing	missing	ATCC	prostate cancer	UNTREATED	CRL-1740
SAMN27109197	27109197	lncap_LNCAPPS3A_F11_DMSO_0_24	Department of Systems Biology, Columbia University	9606	SRS13705043	GSM5986231	male	50	LNCaP	missing	missing	ATCC	prostate cancer	DMSO	CRL-1740
SAMN27109198	27109198	lncap_LNCAPPS3A_E11_DMSO_0_24	Department of Systems Biology, Columbia University	9606	SRS13705041	GSM5986230	male	50	LNCaP	missing	missing	ATCC	prostate cancer	DMSO	CRL-1740
SAMN27109199	27109199	lncap_LNCAPPS3A_D11_MK0752_0.0003_24	Department of Systems Biology, Columbia University	9606	SRS13705039	GSM5986229	male	50	LNCaP	missing	missing	ATCC	prostate cancer	MK0752	CRL-1740
SAMN27109200	27109200	lncap_LNCAPPS3A_C11_Momelotinib_1.5_24	Department of Systems Biology, Columbia University	9606	SRS13705040	GSM5986228	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Momelotinib	CRL-1740
SAMN27109201	27109201	lncap_LNCAPPS3A_B11_LY3023414_0.00095_24	Department of Systems Biology, Columbia University	9606	SRS13705038	GSM5986227	male	50	LNCaP	missing	missing	ATCC	prostate cancer	LY3023414	CRL-1740
SAMN27109202	27109202	lncap_LNCAPPS3A_A11_Pracinostat_0.13_24	Department of Systems Biology, Columbia University	9606	SRS13705037	GSM5986226	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Pracinostat	CRL-1740
SAMN27109203	27109203	lncap_LNCAPPS3A_H10_CC223_0.0003_24	Department of Systems Biology, Columbia University	9606	SRS13705036	GSM5986225	male	50	LNCaP	missing	missing	ATCC	prostate cancer	CC223	CRL-1740
SAMN27109204	27109204	lncap_LNCAPPS3A_G10_INK128_0.005_24	Department of Systems Biology, Columbia University	9606	SRS13705035	GSM5986224	male	50	LNCaP	missing	missing	ATCC	prostate cancer	INK128	CRL-1740
SAMN27109205	27109205	lncap_LNCAPPS3A_F10_MLN2480_6.5_24	Department of Systems Biology, Columbia University	9606	SRS13705034	GSM5986223	male	50	LNCaP	missing	missing	ATCC	prostate cancer	MLN2480	CRL-1740
SAMN27109206	27109206	lncap_LNCAPPS3A_E10_RO4929097_1_24	Department of Systems Biology, Columbia University	9606	SRS13705033	GSM5986222	male	50	LNCaP	missing	missing	ATCC	prostate cancer	RO4929097	CRL-1740
SAMN27109207	27109207	lncap_LNCAPPS3A_D10_Enasidenib_1_24	Department of Systems Biology, Columbia University	9606	SRS13705032	GSM5986221	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Enasidenib	CRL-1740
SAMN27109208	27109208	lncap_LNCAPPS3A_C10_Linsitinib_9.5_24	Department of Systems Biology, Columbia University	9606	SRS13705031	GSM5986220	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Linsitinib	CRL-1740
SAMN27109209	27109209	lncap_LNCAPPS3A_B10_AMG337_9.5_24	Department of Systems Biology, Columbia University	9606	SRS13705030	GSM5986219	male	50	LNCaP	missing	missing	ATCC	prostate cancer	AMG337	CRL-1740
SAMN27109210	27109210	lncap_LNCAPPS3A_A10_Mocetinostat_0.185_24	Department of Systems Biology, Columbia University	9606	SRS13705029	GSM5986218	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Mocetinostat	CRL-1740
SAMN27109211	27109211	lncap_LNCAPPS3A_H9_AZ13064550_0.0003_24	Department of Systems Biology, Columbia University	9606	SRS13705028	GSM5986217	male	50	LNCaP	missing	missing	ATCC	prostate cancer	AZ13064550	CRL-1740
SAMN27109212	27109212	lncap_LNCAPPS3A_G9_AZ12609721_0.02_24	Department of Systems Biology, Columbia University	9606	SRS13705027	GSM5986216	male	50	LNCaP	missing	missing	ATCC	prostate cancer	AZ12609721	CRL-1740
SAMN27109213	27109213	lncap_LNCAPPS3A_F9_Tacedinaline_1_24	Department of Systems Biology, Columbia University	9606	SRS13705026	GSM5986215	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Tacedinaline	CRL-1740
SAMN27109214	27109214	lncap_LNCAPPS3A_E9_CPI613_10_24	Department of Systems Biology, Columbia University	9606	SRS13705025	GSM5986214	male	50	LNCaP	missing	missing	ATCC	prostate cancer	CPI613	CRL-1740
SAMN27109215	27109215	lncap_LNCAPPS3A_D9_AZ12456623_0.02_24	Department of Systems Biology, Columbia University	9606	SRS13705024	GSM5986213	male	50	LNCaP	missing	missing	ATCC	prostate cancer	AZ12456623	CRL-1740
SAMN27109216	27109216	lncap_LNCAPPS3A_C9_Rucaparib_3_24	Department of Systems Biology, Columbia University	9606	SRS13705023	GSM5986212	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Rucaparib	CRL-1740
SAMN27109217	27109217	lncap_LNCAPPS3A_B9_Azacitidine_1_24	Department of Systems Biology, Columbia University	9606	SRS13705022	GSM5986211	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Azacitidine	CRL-1740
SAMN27109218	27109218	lncap_LNCAPPS3A_A9_GDC0068_0.005_24	Department of Systems Biology, Columbia University	9606	SRS13705021	GSM5986210	male	50	LNCaP	missing	missing	ATCC	prostate cancer	GDC0068	CRL-1740
SAMN27109219	27109219	lncap_LNCAPPS3A_H8_Triciribine_1_24	Department of Systems Biology, Columbia University	9606	SRS13705020	GSM5986209	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Triciribine	CRL-1740
SAMN27109220	27109220	lncap_LNCAPPS3A_G8_AZ12419304_0.001_24	Department of Systems Biology, Columbia University	9606	SRS13705019	GSM5986208	male	50	LNCaP	missing	missing	ATCC	prostate cancer	AZ12419304	CRL-1740
SAMN27109221	27109221	lncap_LNCAPPS3A_F8_AZ12823138_0.02_24	Department of Systems Biology, Columbia University	9606	SRS13705018	GSM5986207	male	50	LNCaP	missing	missing	ATCC	prostate cancer	AZ12823138	CRL-1740
SAMN27109222	27109222	lncap_LNCAPPS3A_E8_Quizartinib_0.5_24	Department of Systems Biology, Columbia University	9606	SRS13705016	GSM5986206	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Quizartinib	CRL-1740
SAMN27109223	27109223	lncap_LNCAPPS3A_D8_Galunisertib_2.5_24	Department of Systems Biology, Columbia University	9606	SRS13705017	GSM5986205	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Galunisertib	CRL-1740
SAMN27109224	27109224	lncap_LNCAPPS3A_C8_MGCD265_1_24	Department of Systems Biology, Columbia University	9606	SRS13705015	GSM5986204	male	50	LNCaP	missing	missing	ATCC	prostate cancer	MGCD265	CRL-1740
SAMN27109225	27109225	lncap_LNCAPPS3A_B8_Enzastaurin_0.12_24	Department of Systems Biology, Columbia University	9606	SRS13705872	GSM5986203	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Enzastaurin	CRL-1740
SAMN27109226	27109226	lncap_LNCAPPS3A_A8_Dovitinib_0.5_24	Department of Systems Biology, Columbia University	9606	SRS13705871	GSM5986202	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Dovitinib	CRL-1740
SAMN27109227	27109227	lncap_LNCAPPS3A_H7_PF04691502_0.035_24	Department of Systems Biology, Columbia University	9606	SRS13705870	GSM5986201	male	50	LNCaP	missing	missing	ATCC	prostate cancer	PF04691502	CRL-1740
SAMN27109228	27109228	lncap_LNCAPPS3A_G7_LY2603618_1_24	Department of Systems Biology, Columbia University	9606	SRS13705869	GSM5986200	male	50	LNCaP	missing	missing	ATCC	prostate cancer	LY2603618	CRL-1740
SAMN27109229	27109229	lncap_LNCAPPS3A_F7_Rocilinostat_0.16_24	Department of Systems Biology, Columbia University	9606	SRS13705868	GSM5986199	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Rocilinostat	CRL-1740
SAMN27109230	27109230	lncap_LNCAPPS3A_E7_Ganetespib_0.015_24	Department of Systems Biology, Columbia University	9606	SRS13705867	GSM5986198	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Ganetespib	CRL-1740
SAMN27109231	27109231	lncap_LNCAPPS3A_D7_Crenolanib_0.145_24	Department of Systems Biology, Columbia University	9606	SRS13705865	GSM5986197	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Crenolanib	CRL-1740
SAMN27109232	27109232	lncap_LNCAPPS3A_C7_Lonafarnib_1_24	Department of Systems Biology, Columbia University	9606	SRS13705866	GSM5986196	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Lonafarnib	CRL-1740
SAMN27109233	27109233	lncap_LNCAPPS3A_B7_Copanlisib_0.16_24	Department of Systems Biology, Columbia University	9606	SRS13705864	GSM5986195	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Copanlisib	CRL-1740
SAMN27109234	27109234	lncap_LNCAPPS3A_A7_Pimasertib_1_24	Department of Systems Biology, Columbia University	9606	SRS13705862	GSM5986194	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Pimasertib	CRL-1740
SAMN27109235	27109235	lncap_LNCAPPS3A_H6_Tivozanib_0.175_24	Department of Systems Biology, Columbia University	9606	SRS13705863	GSM5986193	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Tivozanib	CRL-1740
SAMN27109236	27109236	lncap_LNCAPPS3A_G6_Nintedanib_0.135_24	Department of Systems Biology, Columbia University	9606	SRS13705861	GSM5986192	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Nintedanib	CRL-1740
SAMN27109237	27109237	lncap_LNCAPPS3A_F6_UNTREATED_0_24	Department of Systems Biology, Columbia University	9606	SRS13705860	GSM5986191	male	50	LNCaP	missing	missing	ATCC	prostate cancer	UNTREATED	CRL-1740
SAMN27109238	27109238	lncap_LNCAPPS3A_E6_UNTREATED_0_24	Department of Systems Biology, Columbia University	9606	SRS13705859	GSM5986190	male	50	LNCaP	missing	missing	ATCC	prostate cancer	UNTREATED	CRL-1740
SAMN27109239	27109239	lncap_LNCAPPS3A_D6_DMSO_0_24	Department of Systems Biology, Columbia University	9606	SRS13705857	GSM5986189	male	50	LNCaP	missing	missing	ATCC	prostate cancer	DMSO	CRL-1740
SAMN27109240	27109240	lncap_LNCAPPS3A_C6_DMSO_0_24	Department of Systems Biology, Columbia University	9606	SRS13705858	GSM5986188	male	50	LNCaP	missing	missing	ATCC	prostate cancer	DMSO	CRL-1740
SAMN27109241	27109241	lncap_LNCAPPS3A_B6_RAF265_0.005_24	Department of Systems Biology, Columbia University	9606	SRS13705856	GSM5986187	male	50	LNCaP	missing	missing	ATCC	prostate cancer	RAF265	CRL-1740
SAMN27109242	27109242	lncap_LNCAPPS3A_A6_Saridegib_1_24	Department of Systems Biology, Columbia University	9606	SRS13705854	GSM5986186	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Saridegib	CRL-1740
SAMN27109243	27109243	lncap_LNCAPPS3A_H5_Apremilast_0.5_24	Department of Systems Biology, Columbia University	9606	SRS13705855	GSM5986185	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Apremilast	CRL-1740
SAMN27109244	27109244	lncap_LNCAPPS3A_G5_CP724714_10_24	Department of Systems Biology, Columbia University	9606	SRS13705853	GSM5986184	male	50	LNCaP	missing	missing	ATCC	prostate cancer	CP724714	CRL-1740
SAMN27109245	27109245	lncap_LNCAPPS3A_F5_Eniluracil_4_24	Department of Systems Biology, Columbia University	9606	SRS13705852	GSM5986183	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Eniluracil	CRL-1740
SAMN27109246	27109246	lncap_LNCAPPS3A_E5_AT9283_1_24	Department of Systems Biology, Columbia University	9606	SRS13705851	GSM5986182	male	50	LNCaP	missing	missing	ATCC	prostate cancer	AT9283	CRL-1740
SAMN27109247	27109247	lncap_LNCAPPS3A_D5_Varlitinib_1_24	Department of Systems Biology, Columbia University	9606	SRS13705850	GSM5986181	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Varlitinib	CRL-1740
SAMN27109248	27109248	lncap_LNCAPPS3A_C5_Cediranib_0.2_24	Department of Systems Biology, Columbia University	9606	SRS13705848	GSM5986180	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Cediranib	CRL-1740
SAMN27109249	27109249	lncap_LNCAPPS3A_B5_TAK700_10_24	Department of Systems Biology, Columbia University	9606	SRS13705849	GSM5986179	male	50	LNCaP	missing	missing	ATCC	prostate cancer	TAK700	CRL-1740
SAMN27109250	27109250	lncap_LNCAPPS3A_A5_EpothiloneD_0.04_24	Department of Systems Biology, Columbia University	9606	SRS13705846	GSM5986178	male	50	LNCaP	missing	missing	ATCC	prostate cancer	EpothiloneD	CRL-1740
SAMN27109251	27109251	lncap_LNCAPPS3A_H4_Zibotentan_1.5_24	Department of Systems Biology, Columbia University	9606	SRS13705847	GSM5986177	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Zibotentan	CRL-1740
SAMN27109252	27109252	lncap_LNCAPPS3A_G4_Givinostat_0.08_24	Department of Systems Biology, Columbia University	9606	SRS13705845	GSM5986176	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Givinostat	CRL-1740
SAMN27109253	27109253	lncap_LNCAPPS3A_F4_Brigatinib_3.5_24	Department of Systems Biology, Columbia University	9606	SRS13705843	GSM5986175	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Brigatinib	CRL-1740
SAMN27109254	27109254	lncap_LNCAPPS3A_E4_Dacomitinib_0.05_24	Department of Systems Biology, Columbia University	9606	SRS13705844	GSM5986174	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Dacomitinib	CRL-1740
SAMN27109255	27109255	lncap_LNCAPPS3A_D4_Combretastatin_0.2_24	Department of Systems Biology, Columbia University	9606	SRS13705841	GSM5986173	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Combretastatin	CRL-1740
SAMN27109256	27109256	lncap_LNCAPPS3A_C4_Telatinib_1_24	Department of Systems Biology, Columbia University	9606	SRS13705842	GSM5986172	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Telatinib	CRL-1740
SAMN27109257	27109257	lncap_LNCAPPS3A_B4_Amonafide_1_24	Department of Systems Biology, Columbia University	9606	SRS13705840	GSM5986171	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Amonafide	CRL-1740
SAMN27109258	27109258	lncap_LNCAPPS3A_A4_ABT888_10_24	Department of Systems Biology, Columbia University	9606	SRS13705839	GSM5986170	male	50	LNCaP	missing	missing	ATCC	prostate cancer	ABT888	CRL-1740
SAMN27109259	27109259	lncap_LNCAPPS3A_H3_Onalespib_0.01_24	Department of Systems Biology, Columbia University	9606	SRS13705838	GSM5986169	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Onalespib	CRL-1740
SAMN27109260	27109260	lncap_LNCAPPS3A_G3_ABT751_1_24	Department of Systems Biology, Columbia University	9606	SRS13705837	GSM5986168	male	50	LNCaP	missing	missing	ATCC	prostate cancer	ABT751	CRL-1740
SAMN27109261	27109261	lncap_LNCAPPS3A_F3_Ispinesib_0.025_24	Department of Systems Biology, Columbia University	9606	SRS13705836	GSM5986167	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Ispinesib	CRL-1740
SAMN27109262	27109262	lncap_LNCAPPS3A_E3_Acalabrutinib_1.5_24	Department of Systems Biology, Columbia University	9606	SRS13705835	GSM5986166	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Acalabrutinib	CRL-1740
SAMN27109263	27109263	lncap_LNCAPPS3A_D3_TAK733_0.265_24	Department of Systems Biology, Columbia University	9606	SRS13705834	GSM5986165	male	50	LNCaP	missing	missing	ATCC	prostate cancer	TAK733	CRL-1740
SAMN27109264	27109264	lncap_LNCAPPS3A_C3_AZD5069_7_24	Department of Systems Biology, Columbia University	9606	SRS13705833	GSM5986164	male	50	LNCaP	missing	missing	ATCC	prostate cancer	AZD5069	CRL-1740
SAMN27109265	27109265	lncap_LNCAPPS3A_B3_AMG900_2.5_24	Department of Systems Biology, Columbia University	9606	SRS13705832	GSM5986163	male	50	LNCaP	missing	missing	ATCC	prostate cancer	AMG900	CRL-1740
SAMN27109266	27109266	lncap_LNCAPPS3A_A3_AEE788_0.17_24	Department of Systems Biology, Columbia University	9606	SRS13705831	GSM5986162	male	50	LNCaP	missing	missing	ATCC	prostate cancer	AEE788	CRL-1740
SAMN27109267	27109267	lncap_LNCAPPS3A_H2_Icotinib_5.5_24	Department of Systems Biology, Columbia University	9606	SRS13705830	GSM5986161	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Icotinib	CRL-1740
SAMN27109268	27109268	lncap_LNCAPPS3A_G2_Banoxantrone_5.5_24	Department of Systems Biology, Columbia University	9606	SRS13705829	GSM5986160	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Banoxantrone	CRL-1740
SAMN27109269	27109269	lncap_LNCAPPS3A_F2_ARN509_5_24	Department of Systems Biology, Columbia University	9606	SRS13705828	GSM5986159	male	50	LNCaP	missing	missing	ATCC	prostate cancer	ARN509	CRL-1740
SAMN27109270	27109270	lncap_LNCAPPS3A_E2_Valproic acid_2_24	Department of Systems Biology, Columbia University	9606	SRS13705827	GSM5986158	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Valproic acid	CRL-1740
SAMN27109271	27109271	lncap_LNCAPPS3A_D2_UNTREATED_0_24	Department of Systems Biology, Columbia University	9606	SRS13705826	GSM5986157	male	50	LNCaP	missing	missing	ATCC	prostate cancer	UNTREATED	CRL-1740
SAMN27109272	27109272	lncap_LNCAPPS3A_C2_UNTREATED_0_24	Department of Systems Biology, Columbia University	9606	SRS13705825	GSM5986156	male	50	LNCaP	missing	missing	ATCC	prostate cancer	UNTREATED	CRL-1740
SAMN27109273	27109273	lncap_LNCAPPS3A_B2_DMSO_0_24	Department of Systems Biology, Columbia University	9606	SRS13705824	GSM5986155	male	50	LNCaP	missing	missing	ATCC	prostate cancer	DMSO	CRL-1740
SAMN27109274	27109274	lncap_LNCAPPS3A_A2_DMSO_0_24	Department of Systems Biology, Columbia University	9606	SRS13705823	GSM5986154	male	50	LNCaP	missing	missing	ATCC	prostate cancer	DMSO	CRL-1740
SAMN27109275	27109275	lncap_LNCAPPS3A_H1_Phenelzine_1_24	Department of Systems Biology, Columbia University	9606	SRS13705822	GSM5986153	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Phenelzine	CRL-1740
SAMN27109276	27109276	lncap_LNCAPPS3A_G1_Berberine_7_24	Department of Systems Biology, Columbia University	9606	SRS13705821	GSM5986152	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Berberine	CRL-1740
SAMN27109277	27109277	lncap_LNCAPPS3A_F1_Aminopterin_1_24	Department of Systems Biology, Columbia University	9606	SRS13705820	GSM5986151	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Aminopterin	CRL-1740
SAMN27109278	27109278	lncap_LNCAPPS3A_E1_Tacrolimus_10_24	Department of Systems Biology, Columbia University	9606	SRS13705819	GSM5986150	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Tacrolimus	CRL-1740
SAMN27109279	27109279	lncap_LNCAPPS3A_D1_Cyclosporine_10_24	Department of Systems Biology, Columbia University	9606	SRS13705818	GSM5986149	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Cyclosporine	CRL-1740
SAMN27109280	27109280	lncap_LNCAPPS3A_C1_Aspirin_10_24	Department of Systems Biology, Columbia University	9606	SRS13705817	GSM5986148	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Aspirin	CRL-1740
SAMN27109281	27109281	lncap_LNCAPPS3A_B1_Hydroxychloroquine_0.5_24	Department of Systems Biology, Columbia University	9606	SRS13705816	GSM5986147	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Hydroxychloroquine	CRL-1740
SAMN27109282	27109282	lncap_LNCAPPS3A_A1_Mycophenolate_6.5_24	Department of Systems Biology, Columbia University	9606	SRS13705815	GSM5986146	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Mycophenolate	CRL-1740
SAMN27109283	27109283	lncap_LNCAPPS2B_H12_Dactinomycin_0.00175_24	Department of Systems Biology, Columbia University	9606	SRS13705814	GSM5986145	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Dactinomycin	CRL-1740
SAMN27109284	27109284	lncap_LNCAPPS2B_G12_Erlotinib_0.01_24	Department of Systems Biology, Columbia University	9606	SRS13705813	GSM5986144	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Erlotinib	CRL-1740
SAMN27109285	27109285	lncap_LNCAPPS2B_F12_Idarubicin_0.02_24	Department of Systems Biology, Columbia University	9606	SRS13705812	GSM5986143	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Idarubicin	CRL-1740
SAMN27109286	27109286	lncap_LNCAPPS2B_E12_Vorinostat_0.28_24	Department of Systems Biology, Columbia University	9606	SRS13705811	GSM5986142	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Vorinostat	CRL-1740
SAMN27109287	27109287	lncap_LNCAPPS2B_D12_Daunorubicin_0.045_24	Department of Systems Biology, Columbia University	9606	SRS13705810	GSM5986141	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Daunorubicin	CRL-1740
SAMN27109288	27109288	lncap_LNCAPPS2B_C12_Thiotepa_0.02_24	Department of Systems Biology, Columbia University	9606	SRS13705808	GSM5986140	male	50	LNCaP	missing	missing	ATCC	prostate cancer	Thiotepa	CRL-1740
