accession	uid	title	organization	taxonomy	sra	geo	cell line	cell type	drug treatment	source_name
SAMN10760327	10760327	TAGATA: HCC1806_Palbociclib_3.16	Harvard Medical School	9606	SRS4257179	GSM3565466	HCC1806	HCC1806 breast cancer cell line	Palbociclib	HCC1806
SAMN10760328	10760328	TAGAAT: HCC1806_Ribociclib_1.0	Harvard Medical School	9606	SRS4257178	GSM3565465	HCC1806	HCC1806 breast cancer cell line	Ribociclib	HCC1806
SAMN10760329	10760329	TACATT: HCC1806_Abemaciclib_0.1	Harvard Medical School	9606	SRS4257177	GSM3565464	HCC1806	HCC1806 breast cancer cell line	Abemaciclib	HCC1806
SAMN10760330	10760330	TACAAA: PDX1258_Palbociclib_3.16	Harvard Medical School	9606	SRS4257176	GSM3565463	PDX1258	PDX1258 breast cancer PDX	Palbociclib	PDX1258
SAMN10760331	10760331	TAATCT: PDX1258_Ribociclib_1.0	Harvard Medical School	9606	SRS4257175	GSM3565462	PDX1258	PDX1258 breast cancer PDX	Ribociclib	PDX1258
SAMN10760332	10760332	TAATAG: PDX1258_Abemaciclib_0.1	Harvard Medical School	9606	SRS4257174	GSM3565461	PDX1258	PDX1258 breast cancer PDX	Abemaciclib	PDX1258
SAMN10760333	10760333	TAACTT: BT549_Palbociclib_3.16	Harvard Medical School	9606	SRS4257173	GSM3565460	BT549	BT549 breast cancer cell line	Palbociclib	BT549
SAMN10760334	10760334	TAACAA: BT549_Ribociclib_1.0	Harvard Medical School	9606	SRS4257172	GSM3565459	BT549	BT549 breast cancer cell line	Ribociclib	BT549
SAMN10760335	10760335	TAAACA: BT549_Abemaciclib_0.1	Harvard Medical School	9606	SRS4257171	GSM3565458	BT549	BT549 breast cancer cell line	Abemaciclib	BT549
SAMN10760336	10760336	TGAAAT: T47D_Abemaciclib_0.3	Harvard Medical School	9606	SRS4257170	GSM3565457	T47D	T47D breast cancer cell line	Abemaciclib	T47D
SAMN10760337	10760337	TCTTAA: T47D_DMSO_0.0	Harvard Medical School	9606	SRS4257169	GSM3565456	T47D	T47D breast cancer cell line	DMSO	T47D
SAMN10760338	10760338	TCATTA: T47D_Abemaciclib_3.16	Harvard Medical School	9606	SRS4257168	GSM3565455	T47D	T47D breast cancer cell line	Abemaciclib	T47D
SAMN10760339	10760339	TCATAT: PDXHCI002_Abemaciclib_0.3	Harvard Medical School	9606	SRS4257167	GSM3565454	PDXHCI002	PDXHCI002 breast cancer PDX	Abemaciclib	PDXHCI002
SAMN10760340	10760340	TATTTG: PDXHCI002_DMSO_0.0	Harvard Medical School	9606	SRS4257166	GSM3565453	PDXHCI002	PDXHCI002 breast cancer PDX	DMSO	PDXHCI002
SAMN10760341	10760341	TATTGT: PDXHCI002_Abemaciclib_3.16	Harvard Medical School	9606	SRS4257165	GSM3565452	PDXHCI002	PDXHCI002 breast cancer PDX	Abemaciclib	PDXHCI002
SAMN10760342	10760342	TATGTT: MCF7_Abemaciclib_0.3	Harvard Medical School	9606	SRS4257164	GSM3565451	MCF7	MCF7 breast cancer cell line	Abemaciclib	MCF7
SAMN10760343	10760343	TATGAA: MCF7_DMSO_0.0	Harvard Medical School	9606	SRS4257163	GSM3565450	MCF7	MCF7 breast cancer cell line	DMSO	MCF7
SAMN10760344	10760344	TATATC: MCF7_Abemaciclib_3.16	Harvard Medical School	9606	SRS4257162	GSM3565449	MCF7	MCF7 breast cancer cell line	Abemaciclib	MCF7
SAMN10760345	10760345	TATAGA: Hs578T_Abemaciclib_0.3	Harvard Medical School	9606	SRS4257161	GSM3565448	Hs578T	Hs578T breast cancer cell line	Abemaciclib	Hs578T
SAMN10760346	10760346	GCCGAC: MCF7_Ribociclib_1.0	Harvard Medical School	9606	SRS4257332	GSM3565619	MCF7	MCF7 breast cancer cell line	Ribociclib	MCF7
SAMN10760347	10760347	GCCCTC: MCF7_Alvocidib_1.0	Harvard Medical School	9606	SRS4257331	GSM3565618	MCF7	MCF7 breast cancer cell line	Alvocidib	MCF7
SAMN10760348	10760348	CAGCGC: T47D_Abemaciclib_1.0	Harvard Medical School	9606	SRS4257274	GSM3565561	T47D	T47D breast cancer cell line	Abemaciclib	T47D
SAMN10760349	10760349	CACGCG: T47D_Abemaciclib_3.16	Harvard Medical School	9606	SRS4257273	GSM3565560	T47D	T47D breast cancer cell line	Abemaciclib	T47D
SAMN10760350	10760350	CACCGG: PDXHCI002_DMSO_0.0	Harvard Medical School	9606	SRS4257272	GSM3565559	PDXHCI002	PDXHCI002 breast cancer PDX	DMSO	PDXHCI002
SAMN10760351	10760351	AGGGCG: PDXHCI002_Abemaciclib_1.0	Harvard Medical School	9606	SRS4257271	GSM3565558	PDXHCI002	PDXHCI002 breast cancer PDX	Abemaciclib	PDXHCI002
SAMN10760352	10760352	AGGCGG: PDXHCI002_Abemaciclib_3.16	Harvard Medical School	9606	SRS4257270	GSM3565557	PDXHCI002	PDXHCI002 breast cancer PDX	Abemaciclib	PDXHCI002
SAMN10760353	10760353	AGCGCC: MCF7_DMSO_0.0	Harvard Medical School	9606	SRS4257269	GSM3565556	MCF7	MCF7 breast cancer cell line	DMSO	MCF7
SAMN10760354	10760354	AGCCGC: MCF7_Abemaciclib_1.0	Harvard Medical School	9606	SRS4257268	GSM3565555	MCF7	MCF7 breast cancer cell line	Abemaciclib	MCF7
SAMN10760355	10760355	ACGGCC: MCF7_Abemaciclib_3.16	Harvard Medical School	9606	SRS4257267	GSM3565554	MCF7	MCF7 breast cancer cell line	Abemaciclib	MCF7
SAMN10760356	10760356	ACGCGC: Hs578T_DMSO_0.0	Harvard Medical School	9606	SRS4257266	GSM3565553	Hs578T	Hs578T breast cancer cell line	DMSO	Hs578T
SAMN10760357	10760357	ACCGCG: Hs578T_Abemaciclib_1.0	Harvard Medical School	9606	SRS4257265	GSM3565552	Hs578T	Hs578T breast cancer cell line	Abemaciclib	Hs578T
SAMN10760358	10760358	ACCCGG: Hs578T_Abemaciclib_3.16	Harvard Medical School	9606	SRS4257264	GSM3565551	Hs578T	Hs578T breast cancer cell line	Abemaciclib	Hs578T
SAMN10760359	10760359	GGACCA: HCC1806_DMSO_0.0	Harvard Medical School	9606	SRS4257263	GSM3565550	HCC1806	HCC1806 breast cancer cell line	DMSO	HCC1806
SAMN10760360	10760360	CTCTCC: HCC1806_Abemaciclib_1.0	Harvard Medical School	9606	SRS4257262	GSM3565549	HCC1806	HCC1806 breast cancer cell line	Abemaciclib	HCC1806
SAMN10760361	10760361	TTTGGC: HCC1806_Abemaciclib_3.16	Harvard Medical School	9606	SRS4257261	GSM3565548	HCC1806	HCC1806 breast cancer cell line	Abemaciclib	HCC1806
SAMN10760362	10760362	TTGTCC: PDX1258_DMSO_0.0	Harvard Medical School	9606	SRS4257260	GSM3565547	PDX1258	PDX1258 breast cancer PDX	DMSO	PDX1258
SAMN10760363	10760363	TCGAAG: PDX1258_Abemaciclib_1.0	Harvard Medical School	9606	SRS4257259	GSM3565546	PDX1258	PDX1258 breast cancer PDX	Abemaciclib	PDX1258
SAMN10760364	10760364	TCCAAC: PDX1258_Abemaciclib_3.16	Harvard Medical School	9606	SRS4257258	GSM3565545	PDX1258	PDX1258 breast cancer PDX	Abemaciclib	PDX1258
SAMN10760365	10760365	GTGACT: BT549_DMSO_0.0	Harvard Medical School	9606	SRS4257257	GSM3565544	BT549	BT549 breast cancer cell line	DMSO	BT549
SAMN10760366	10760366	GTCAAG: BT549_Abemaciclib_1.0	Harvard Medical School	9606	SRS4257256	GSM3565543	BT549	BT549 breast cancer cell line	Abemaciclib	BT549
SAMN10760367	10760367	GGCAAT: BT549_Abemaciclib_3.16	Harvard Medical School	9606	SRS4257255	GSM3565542	BT549	BT549 breast cancer cell line	Abemaciclib	BT549
SAMN10760368	10760368	CAGCCG: T47D_Alvocidib_1.0	Harvard Medical School	9606	SRS4257254	GSM3565541	T47D	T47D breast cancer cell line	Alvocidib	T47D
SAMN10760369	10760369	CACGGC: T47D_DMSO_0.0	Harvard Medical School	9606	SRS4257253	GSM3565540	T47D	T47D breast cancer cell line	DMSO	T47D
SAMN10760370	10760370	CACCCC: T47D_Ribociclib_1.0	Harvard Medical School	9606	SRS4257252	GSM3565539	T47D	T47D breast cancer cell line	Ribociclib	T47D
SAMN10760371	10760371	AGGGGC: PDXHCI002_Alvocidib_1.0	Harvard Medical School	9606	SRS4257251	GSM3565538	PDXHCI002	PDXHCI002 breast cancer PDX	Alvocidib	PDXHCI002
SAMN10760372	10760372	TAGTTT: Hs578T_DMSO_0.0	Harvard Medical School	9606	SRS4257160	GSM3565447	Hs578T	Hs578T breast cancer cell line	DMSO	Hs578T
SAMN10760373	10760373	TAGTAA: Hs578T_Abemaciclib_3.16	Harvard Medical School	9606	SRS4257159	GSM3565446	Hs578T	Hs578T breast cancer cell line	Abemaciclib	Hs578T
SAMN10760374	10760374	TACTTA: HCC1806_Abemaciclib_0.3	Harvard Medical School	9606	SRS4257158	GSM3565445	HCC1806	HCC1806 breast cancer cell line	Abemaciclib	HCC1806
SAMN10760375	10760375	TACTAT: HCC1806_DMSO_0.0	Harvard Medical School	9606	SRS4257157	GSM3565444	HCC1806	HCC1806 breast cancer cell line	DMSO	HCC1806
SAMN10760376	10760376	TAATTC: HCC1806_Abemaciclib_3.16	Harvard Medical School	9606	SRS4257156	GSM3565443	HCC1806	HCC1806 breast cancer cell line	Abemaciclib	HCC1806
SAMN10760377	10760377	TAATGA: PDX1258_Abemaciclib_0.3	Harvard Medical School	9606	SRS4257155	GSM3565442	PDX1258	PDX1258 breast cancer PDX	Abemaciclib	PDX1258
SAMN10760378	10760378	TAAGTA: PDX1258_DMSO_0.0	Harvard Medical School	9606	SRS4257154	GSM3565441	PDX1258	PDX1258 breast cancer PDX	DMSO	PDX1258
SAMN10760379	10760379	TAAGAT: PDX1258_Abemaciclib_3.16	Harvard Medical School	9606	SRS4257153	GSM3565440	PDX1258	PDX1258 breast cancer PDX	Abemaciclib	PDX1258
SAMN10760380	10760380	TAAATG: BT549_Abemaciclib_0.3	Harvard Medical School	9606	SRS4257152	GSM3565439	BT549	BT549 breast cancer cell line	Abemaciclib	BT549
SAMN10760381	10760381	TAAAGT: BT549_DMSO_0.0	Harvard Medical School	9606	SRS4257151	GSM3565438	BT549	BT549 breast cancer cell line	DMSO	BT549
SAMN10760382	10760382	GTTTTA: BT549_Abemaciclib_3.16	Harvard Medical School	9606	SRS4257150	GSM3565437	BT549	BT549 breast cancer cell line	Abemaciclib	BT549
SAMN10760383	10760383	GTAAAT: T47D_Alvocidib_1.0	Harvard Medical School	9606	SRS4257149	GSM3565436	T47D	T47D breast cancer cell line	Alvocidib	T47D
SAMN10760384	10760384	GATTAA: T47D_Palbociclib_0.1	Harvard Medical School	9606	SRS4257148	GSM3565435	T47D	T47D breast cancer cell line	Palbociclib	T47D
SAMN10760385	10760385	GAATTA: T47D_Ribociclib_3.16	Harvard Medical School	9606	SRS4257147	GSM3565434	T47D	T47D breast cancer cell line	Ribociclib	T47D
SAMN10760386	10760386	GAATAT: PDXHCI002_Alvocidib_1.0	Harvard Medical School	9606	SRS4257146	GSM3565433	PDXHCI002	PDXHCI002 breast cancer PDX	Alvocidib	PDXHCI002
SAMN10760387	10760387	CTTATA: PDXHCI002_Palbociclib_0.1	Harvard Medical School	9606	SRS4257145	GSM3565432	PDXHCI002	PDXHCI002 breast cancer PDX	Palbociclib	PDXHCI002
SAMN10760388	10760388	CTTAAT: PDXHCI002_Ribociclib_3.16	Harvard Medical School	9606	SRS4257144	GSM3565431	PDXHCI002	PDXHCI002 breast cancer PDX	Ribociclib	PDXHCI002
SAMN10760389	10760389	CTAATT: MCF7_Alvocidib_1.0	Harvard Medical School	9606	SRS4257143	GSM3565430	MCF7	MCF7 breast cancer cell line	Alvocidib	MCF7
SAMN10760390	10760390	CTAAAA: MCF7_Palbociclib_0.1	Harvard Medical School	9606	SRS4257142	GSM3565429	MCF7	MCF7 breast cancer cell line	Palbociclib	MCF7
SAMN10760391	10760391	CATATT: MCF7_Ribociclib_3.16	Harvard Medical School	9606	SRS4257141	GSM3565428	MCF7	MCF7 breast cancer cell line	Ribociclib	MCF7
SAMN10760392	10760392	CATAAA: Hs578T_Alvocidib_1.0	Harvard Medical School	9606	SRS4257140	GSM3565427	Hs578T	Hs578T breast cancer cell line	Alvocidib	Hs578T
SAMN10760393	10760393	CAAAAT: Hs578T_Palbociclib_0.1	Harvard Medical School	9606	SRS4257139	GSM3565426	Hs578T	Hs578T breast cancer cell line	Palbociclib	Hs578T
SAMN10760394	10760394	ATTTTG: Hs578T_Ribociclib_3.16	Harvard Medical School	9606	SRS4257138	GSM3565425	Hs578T	Hs578T breast cancer cell line	Ribociclib	Hs578T
SAMN10760395	10760395	ATTTAC: HCC1806_Alvocidib_1.0	Harvard Medical School	9606	SRS4257137	GSM3565424	HCC1806	HCC1806 breast cancer cell line	Alvocidib	HCC1806
SAMN10760396	10760396	ATTGTT: HCC1806_Palbociclib_0.1	Harvard Medical School	9606	SRS4257136	GSM3565423	HCC1806	HCC1806 breast cancer cell line	Palbociclib	HCC1806
SAMN10760397	10760397	ATTCAT: HCC1806_Ribociclib_3.16	Harvard Medical School	9606	SRS4257135	GSM3565422	HCC1806	HCC1806 breast cancer cell line	Ribociclib	HCC1806
SAMN10760398	10760398	ATTATC: PDX1258_Alvocidib_1.0	Harvard Medical School	9606	SRS4257134	GSM3565421	PDX1258	PDX1258 breast cancer PDX	Alvocidib	PDX1258
SAMN10760399	10760399	ATTAAG: PDX1258_Palbociclib_0.1	Harvard Medical School	9606	SRS4257133	GSM3565420	PDX1258	PDX1258 breast cancer PDX	Palbociclib	PDX1258
SAMN10760400	10760400	ATGTAA: PDX1258_Ribociclib_3.16	Harvard Medical School	9606	SRS4257132	GSM3565419	PDX1258	PDX1258 breast cancer PDX	Ribociclib	PDX1258
SAMN10760401	10760401	ATCTTA: BT549_Alvocidib_1.0	Harvard Medical School	9606	SRS4257131	GSM3565418	BT549	BT549 breast cancer cell line	Alvocidib	BT549
SAMN10760402	10760402	ATCTAT: BT549_Palbociclib_0.1	Harvard Medical School	9606	SRS4257130	GSM3565417	BT549	BT549 breast cancer cell line	Palbociclib	BT549
SAMN10760403	10760403	ATATTC: BT549_Ribociclib_3.16	Harvard Medical School	9606	SRS4257129	GSM3565416	BT549	BT549 breast cancer cell line	Ribociclib	BT549
SAMN10760404	10760404	GATATA: T47D_DMSO_0.0	Harvard Medical School	9606	SRS4257128	GSM3565415	T47D	T47D breast cancer cell line	DMSO	T47D
SAMN10760405	10760405	GATAAT: T47D_Abemaciclib_3.16	Harvard Medical School	9606	SRS4257127	GSM3565414	T47D	T47D breast cancer cell line	Abemaciclib	T47D
SAMN10760406	10760406	GAAATT: T47D_Ribociclib_3.16	Harvard Medical School	9606	SRS4257126	GSM3565413	T47D	T47D breast cancer cell line	Ribociclib	T47D
SAMN10760407	10760407	CTTTAA: PDXHCI002_DMSO_0.0	Harvard Medical School	9606	SRS4257125	GSM3565412	PDXHCI002	PDXHCI002 breast cancer PDX	DMSO	PDXHCI002
SAMN10760408	10760408	CTATTA: PDXHCI002_Abemaciclib_3.16	Harvard Medical School	9606	SRS4257124	GSM3565411	PDXHCI002	PDXHCI002 breast cancer PDX	Abemaciclib	PDXHCI002
SAMN10760409	10760409	CTATAT: PDXHCI002_Ribociclib_3.16	Harvard Medical School	9606	SRS4257123	GSM3565410	PDXHCI002	PDXHCI002 breast cancer PDX	Ribociclib	PDXHCI002
SAMN10760410	10760410	CCGAGG: PDX1258_Abemaciclib_0.3	Harvard Medical School	9606	SRS4257280	GSM3565567	PDX1258	PDX1258 breast cancer PDX	Abemaciclib	PDX1258
SAMN10760411	10760411	CCCTGG: PDX1258_Palbociclib_1.0	Harvard Medical School	9606	SRS4257279	GSM3565566	PDX1258	PDX1258 breast cancer PDX	Palbociclib	PDX1258
SAMN10760412	10760412	CCCCTG: BT549_Ribociclib_3.16	Harvard Medical School	9606	SRS4257278	GSM3565565	BT549	BT549 breast cancer cell line	Ribociclib	BT549
SAMN10760413	10760413	CCCCGT: BT549_Abemaciclib_0.3	Harvard Medical School	9606	SRS4257277	GSM3565564	BT549	BT549 breast cancer cell line	Abemaciclib	BT549
SAMN10760414	10760414	CCCAGC: BT549_Palbociclib_1.0	Harvard Medical School	9606	SRS4257276	GSM3565563	BT549	BT549 breast cancer cell line	Palbociclib	BT549
SAMN10760415	10760415	CAGGCC: T47D_DMSO_0.0	Harvard Medical School	9606	SRS4257275	GSM3565562	T47D	T47D breast cancer cell line	DMSO	T47D
SAMN10760416	10760416	TTGTTA: HCC1806_Palbociclib_0.1	Harvard Medical School	9606	SRS4257220	GSM3565507	HCC1806	HCC1806 breast cancer cell line	Palbociclib	HCC1806
SAMN10760417	10760417	TTCTAA: HCC1806_Alvocidib_0.1	Harvard Medical School	9606	SRS4257219	GSM3565506	HCC1806	HCC1806 breast cancer cell line	Alvocidib	HCC1806
SAMN10760418	10760418	TTCATA: PDX1258_Abemaciclib_0.1	Harvard Medical School	9606	SRS4257218	GSM3565505	PDX1258	PDX1258 breast cancer PDX	Abemaciclib	PDX1258
SAMN10760419	10760419	TTATGT: PDX1258_Palbociclib_0.1	Harvard Medical School	9606	SRS4257217	GSM3565504	PDX1258	PDX1258 breast cancer PDX	Palbociclib	PDX1258
SAMN10760420	10760420	TTATCA: PDX1258_Alvocidib_0.1	Harvard Medical School	9606	SRS4257216	GSM3565503	PDX1258	PDX1258 breast cancer PDX	Alvocidib	PDX1258
SAMN10760421	10760421	TTAGAA: BT549_Abemaciclib_0.1	Harvard Medical School	9606	SRS4257215	GSM3565502	BT549	BT549 breast cancer cell line	Abemaciclib	BT549
SAMN10760422	10760422	TTACTA: BT549_Palbociclib_0.1	Harvard Medical School	9606	SRS4257214	GSM3565501	BT549	BT549 breast cancer cell line	Palbociclib	BT549
SAMN10760423	10760423	TTAAGA: BT549_Alvocidib_0.1	Harvard Medical School	9606	SRS4257213	GSM3565500	BT549	BT549 breast cancer cell line	Alvocidib	BT549
SAMN10760424	10760424	CCGATT: T47D_Palbociclib_1.0	Harvard Medical School	9606	SRS4257212	GSM3565499	T47D	T47D breast cancer cell line	Palbociclib	T47D
SAMN10760425	10760425	CCACAT: T47D_Palbociclib_3.16	Harvard Medical School	9606	SRS4257211	GSM3565498	T47D	T47D breast cancer cell line	Palbociclib	T47D
SAMN10760426	10760426	CAGTCA: T47D_Ribociclib_0.1	Harvard Medical School	9606	SRS4257210	GSM3565497	T47D	T47D breast cancer cell line	Ribociclib	T47D
SAMN10760427	10760427	CACCAA: PDXHCI002_Palbociclib_1.0	Harvard Medical School	9606	SRS4257209	GSM3565496	PDXHCI002	PDXHCI002 breast cancer PDX	Palbociclib	PDXHCI002
SAMN10760428	10760428	AGGGAT: PDXHCI002_Palbociclib_3.16	Harvard Medical School	9606	SRS4257208	GSM3565495	PDXHCI002	PDXHCI002 breast cancer PDX	Palbociclib	PDXHCI002
SAMN10760429	10760429	AGACCT: PDXHCI002_Ribociclib_0.1	Harvard Medical School	9606	SRS4257207	GSM3565494	PDXHCI002	PDXHCI002 breast cancer PDX	Ribociclib	PDXHCI002
SAMN10760430	10760430	TCTTTC: MCF7_Palbociclib_1.0	Harvard Medical School	9606	SRS4257206	GSM3565493	MCF7	MCF7 breast cancer cell line	Palbociclib	MCF7
SAMN10760431	10760431	TTTTGA: MCF7_Palbociclib_3.16	Harvard Medical School	9606	SRS4257205	GSM3565492	MCF7	MCF7 breast cancer cell line	Palbociclib	MCF7
SAMN10760432	10760432	TTTGTA: MCF7_Ribociclib_0.1	Harvard Medical School	9606	SRS4257204	GSM3565491	MCF7	MCF7 breast cancer cell line	Ribociclib	MCF7
SAMN10760433	10760433	TTTCTT: Hs578T_Palbociclib_1.0	Harvard Medical School	9606	SRS4257203	GSM3565490	Hs578T	Hs578T breast cancer cell line	Palbociclib	Hs578T
SAMN10760434	10760434	TTTAGT: Hs578T_Palbociclib_3.16	Harvard Medical School	9606	SRS4257202	GSM3565489	Hs578T	Hs578T breast cancer cell line	Palbociclib	Hs578T
SAMN10760435	10760435	TTTACA: Hs578T_Ribociclib_0.1	Harvard Medical School	9606	SRS4257201	GSM3565488	Hs578T	Hs578T breast cancer cell line	Ribociclib	Hs578T
SAMN10760436	10760436	TTGATT: HCC1806_Palbociclib_1.0	Harvard Medical School	9606	SRS4257200	GSM3565487	HCC1806	HCC1806 breast cancer cell line	Palbociclib	HCC1806
SAMN10760437	10760437	TTGAAA: HCC1806_Palbociclib_3.16	Harvard Medical School	9606	SRS4257199	GSM3565486	HCC1806	HCC1806 breast cancer cell line	Palbociclib	HCC1806
SAMN10760438	10760438	TTCAAT: HCC1806_Ribociclib_0.1	Harvard Medical School	9606	SRS4257198	GSM3565485	HCC1806	HCC1806 breast cancer cell line	Ribociclib	HCC1806
SAMN10760439	10760439	TTATTG: PDX1258_Palbociclib_1.0	Harvard Medical School	9606	SRS4257197	GSM3565484	PDX1258	PDX1258 breast cancer PDX	Palbociclib	PDX1258
SAMN10760440	10760440	TTATAC: PDX1258_Palbociclib_3.16	Harvard Medical School	9606	SRS4257196	GSM3565483	PDX1258	PDX1258 breast cancer PDX	Palbociclib	PDX1258
SAMN10760441	10760441	TTAGTT: PDX1258_Ribociclib_0.1	Harvard Medical School	9606	SRS4257195	GSM3565482	PDX1258	PDX1258 breast cancer PDX	Ribociclib	PDX1258
SAMN10760442	10760442	TTACAT: BT549_Palbociclib_1.0	Harvard Medical School	9606	SRS4257194	GSM3565481	BT549	BT549 breast cancer cell line	Palbociclib	BT549
SAMN10760443	10760443	TTAAAG: BT549_Ribociclib_0.1	Harvard Medical School	9606	SRS4257192	GSM3565479	BT549	BT549 breast cancer cell line	Ribociclib	BT549
SAMN10760444	10760444	TGATAA: T47D_Palbociclib_3.16	Harvard Medical School	9606	SRS4257191	GSM3565478	T47D	T47D breast cancer cell line	Palbociclib	T47D
SAMN10760445	10760445	TGAATA: T47D_Ribociclib_1.0	Harvard Medical School	9606	SRS4257190	GSM3565477	T47D	T47D breast cancer cell line	Ribociclib	T47D
SAMN10760446	10760446	GGCCAC: PDX1258_Palbociclib_0.1	Harvard Medical School	9606	SRS4257362	GSM3565650	PDX1258	PDX1258 breast cancer PDX	Palbociclib	PDX1258
SAMN10760447	10760447	GGAGGG: BT549_DMSO_0.0	Harvard Medical School	9606	SRS4257363	GSM3565649	BT549	BT549 breast cancer cell line	DMSO	BT549
SAMN10760448	10760448	GGAGCC: BT549_Ribociclib_0.1	Harvard Medical School	9606	SRS4257361	GSM3565648	BT549	BT549 breast cancer cell line	Ribociclib	BT549
SAMN10760449	10760449	GCTGCC: BT549_Palbociclib_0.1	Harvard Medical School	9606	SRS4257360	GSM3565647	BT549	BT549 breast cancer cell line	Palbociclib	BT549
SAMN10760450	10760450	GCGGGA: T47D_Ribociclib_0.1	Harvard Medical School	9606	SRS4257359	GSM3565646	T47D	T47D breast cancer cell line	Ribociclib	T47D
SAMN10760451	10760451	GCGGCT: T47D_Abemaciclib_1.0	Harvard Medical School	9606	SRS4257358	GSM3565645	T47D	T47D breast cancer cell line	Abemaciclib	T47D
SAMN10760452	10760452	GCGCGT: T47D_Palbociclib_0.3	Harvard Medical School	9606	SRS4257357	GSM3565644	T47D	T47D breast cancer cell line	Palbociclib	T47D
SAMN10760453	10760453	GCGCCA: PDXHCI002_Ribociclib_0.1	Harvard Medical School	9606	SRS4257356	GSM3565643	PDXHCI002	PDXHCI002 breast cancer PDX	Ribociclib	PDXHCI002
SAMN10760454	10760454	GCGACG: PDXHCI002_Abemaciclib_1.0	Harvard Medical School	9606	SRS4257355	GSM3565642	PDXHCI002	PDXHCI002 breast cancer PDX	Abemaciclib	PDXHCI002
SAMN10760455	10760455	GCCTGC: PDXHCI002_Palbociclib_0.3	Harvard Medical School	9606	SRS4257354	GSM3565641	PDXHCI002	PDXHCI002 breast cancer PDX	Palbociclib	PDXHCI002
SAMN10760456	10760456	GCCGGT: MCF7_Ribociclib_0.1	Harvard Medical School	9606	SRS4257353	GSM3565640	MCF7	MCF7 breast cancer cell line	Ribociclib	MCF7
SAMN10760457	10760457	GCCGCA: MCF7_Abemaciclib_1.0	Harvard Medical School	9606	SRS4257352	GSM3565639	MCF7	MCF7 breast cancer cell line	Abemaciclib	MCF7
SAMN10760458	10760458	GCCCGA: MCF7_Palbociclib_0.3	Harvard Medical School	9606	SRS4257351	GSM3565638	MCF7	MCF7 breast cancer cell line	Palbociclib	MCF7
SAMN10760459	10760459	GCCCCT: Hs578T_Ribociclib_0.1	Harvard Medical School	9606	SRS4257350	GSM3565637	Hs578T	Hs578T breast cancer cell line	Ribociclib	Hs578T
SAMN10760460	10760460	GCCACC: Hs578T_Abemaciclib_1.0	Harvard Medical School	9606	SRS4257349	GSM3565636	Hs578T	Hs578T breast cancer cell line	Abemaciclib	Hs578T
SAMN10760461	10760461	GCAGGC: Hs578T_Palbociclib_0.3	Harvard Medical School	9606	SRS4257348	GSM3565635	Hs578T	Hs578T breast cancer cell line	Palbociclib	Hs578T
SAMN10760462	10760462	GCACCC: HCC1806_Ribociclib_0.1	Harvard Medical School	9606	SRS4257347	GSM3565634	HCC1806	HCC1806 breast cancer cell line	Ribociclib	HCC1806
SAMN10760463	10760463	GAGGGC: HCC1806_Abemaciclib_1.0	Harvard Medical School	9606	SRS4257346	GSM3565633	HCC1806	HCC1806 breast cancer cell line	Abemaciclib	HCC1806
SAMN10760464	10760464	GAGCCC: HCC1806_Palbociclib_0.3	Harvard Medical School	9606	SRS4257345	GSM3565632	HCC1806	HCC1806 breast cancer cell line	Palbociclib	HCC1806
SAMN10760465	10760465	GACGGG: PDX1258_Ribociclib_0.1	Harvard Medical School	9606	SRS4257344	GSM3565631	PDX1258	PDX1258 breast cancer PDX	Ribociclib	PDX1258
SAMN10760466	10760466	GACCCG: PDX1258_Abemaciclib_1.0	Harvard Medical School	9606	SRS4257343	GSM3565630	PDX1258	PDX1258 breast cancer PDX	Abemaciclib	PDX1258
SAMN10760467	10760467	CTGGGC: PDX1258_Palbociclib_0.3	Harvard Medical School	9606	SRS4257342	GSM3565629	PDX1258	PDX1258 breast cancer PDX	Palbociclib	PDX1258
SAMN10760481	10760481	CTCGGG: BT549_Ribociclib_0.1	Harvard Medical School	9606	SRS4257341	GSM3565628	BT549	BT549 breast cancer cell line	Ribociclib	BT549
SAMN10760483	10760483	TGCGGC: T47D_Alvocidib_0.1	Harvard Medical School	9606	SRS4257089	GSM3565687	T47D	T47D breast cancer cell line	Alvocidib	T47D
SAMN10760484	10760484	TGCGCG: T47D_Ribociclib_0.3	Harvard Medical School	9606	SRS4257088	GSM3565686	T47D	T47D breast cancer cell line	Ribociclib	T47D
SAMN10760485	10760485	TCGGCG: T47D_Palbociclib_0.3	Harvard Medical School	9606	SRS4257087	GSM3565685	T47D	T47D breast cancer cell line	Palbociclib	T47D
SAMN10760486	10760486	TCGCGG: PDXHCI002_Alvocidib_0.1	Harvard Medical School	9606	SRS4257086	GSM3565684	PDXHCI002	PDXHCI002 breast cancer PDX	Alvocidib	PDXHCI002
SAMN10760487	10760487	TCCCCG: PDXHCI002_Ribociclib_0.3	Harvard Medical School	9606	SRS4257085	GSM3565683	PDXHCI002	PDXHCI002 breast cancer PDX	Ribociclib	PDXHCI002
SAMN10760488	10760488	GTGGGG: PDXHCI002_Palbociclib_0.3	Harvard Medical School	9606	SRS4257084	GSM3565682	PDXHCI002	PDXHCI002 breast cancer PDX	Palbociclib	PDXHCI002
SAMN10760489	10760489	GTCGGC: MCF7_Alvocidib_0.1	Harvard Medical School	9606	SRS4257083	GSM3565681	MCF7	MCF7 breast cancer cell line	Alvocidib	MCF7
