BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	age	biomaterial_provider	cell_line	concentration	isolate	replicate	sex	time	tissue	treatment	group
SAMN10505032	SRR8267343	2019-04-30T00:27:04Z	2018-11-30T11:22:45Z	21103209	3165481350	21103209	150	1241		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8267343/SRR8267343.1	SRX5084286	H1299_NTC_2b	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096785	simple	9606	Homo sapiens	H1299_NTC_2b					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	9E51F09119BE8EAB22742CE39F6F206A	0E6719EEBA6D5D85323B966A353A95E1	10505032	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_NTC_2b	SRA: SRS4096785	43y	NIBR CCLE	NCI-H1299	""	NCI-H1299	2	male	72h	lung; metastatic site lympnode	NTC	NCIH1299.NTC.72h
SAMN10505033	SRR8267318	2019-04-30T00:27:05Z	2018-11-30T11:18:58Z	15764911	2364736650	15764911	150	929		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8267318/SRR8267318.1	SRX5084311	H1299_NTC_3a	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096810	simple	9606	Homo sapiens	H1299_NTC_3a					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	D3398C6A3C40FAADA9A7BA04AA492FE3	8C6BD32030ACC5047BA3365893CDFCA3	10505033	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_NTC_3a	SRA: SRS4096810	43y	NIBR CCLE	NCI-H1299	""	NCI-H1299	3	male	48h	lung; metastatic site lympnode	NTC	NCIH1299.NTC.48h
SAMN10505034	SRR8267334	2019-04-30T00:27:04Z	2018-11-30T11:23:34Z	27288791	4093318650	27288791	150	1613		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8267334/SRR8267334.1	SRX5084295	H1299_NTC_3b	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096793	simple	9606	Homo sapiens	H1299_NTC_3b					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	92DB63799A8C49CC4585C3CF943AAFC4	DE20E14DCD802F2CC06C4E0B0D403501	10505034	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_NTC_3b	SRA: SRS4096793	43y	NIBR CCLE	NCI-H1299	""	NCI-H1299	3	male	72h	lung; metastatic site lympnode	NTC	NCIH1299.NTC.72h
SAMN10505035	SRR8267344	2019-04-30T00:27:04Z	2018-11-30T11:19:14Z	18986768	2848015200	18986768	150	1129		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8267344/SRR8267344.1	SRX5084284	H1299_sh2025_1a	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096782	simple	9606	Homo sapiens	H1299_sh2025_1a					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	C386FD68A293A4DB35936E25EFC19CB0	744F321461DB22DADD1CBF92C592586C	10505035	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_sh2025_1a	SRA: SRS4096782	43y	NIBR CCLE	NCI-H1299	""	NCI-H1299	1	male	48h	lung; metastatic site lympnode	sh2025+dox	NCIH1299.sh2025_dox.48h
SAMN10505036	SRR8267348	2019-04-30T00:27:04Z	2018-11-30T11:23:17Z	25856574	3878486100	25856574	150	1528		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8267348/SRR8267348.1	SRX5084285	H1299_sh2025_1b	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096783	simple	9606	Homo sapiens	H1299_sh2025_1b					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	D95AA901CA799C58554BCF33489D20E1	C3DBD52C0020603A90B8E60CCBDD373B	10505036	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_sh2025_1b	SRA: SRS4096783	43y	NIBR CCLE	NCI-H1299	""	NCI-H1299	1	male	72h	lung; metastatic site lympnode	sh2025+dox	NCIH1299.sh2025_dox.72h
SAMN10505037	SRR8267300	2019-04-30T00:27:05Z	2018-11-30T11:22:19Z	21352928	3202939200	21352928	150	1270		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8267300/SRR8267300.1	SRX5084331	H1299_sh2025_2a	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096831	simple	9606	Homo sapiens	H1299_sh2025_2a					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	23222EEB9DBE31875C475C3728C0A561	52C07ADCE5E991CDE545635834741AC0	10505037	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_sh2025_2a	SRA: SRS4096831	43y	NIBR CCLE	NCI-H1299	""	NCI-H1299	2	male	48h	lung; metastatic site lympnode	sh2025+dox	NCIH1299.sh2025_dox.48h
SAMN10505038	SRR8267297	2019-04-30T00:27:05Z	2018-11-30T11:19:45Z	22207156	3331073400	22207156	150	1308		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8267297/SRR8267297.1	SRX5084330	H1299_sh2025_2b	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096828	simple	9606	Homo sapiens	H1299_sh2025_2b					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	29F0DD29FCC5B673C9A9E3F1F10D5B1D	5F6A4E5F8C8DF56635E87776A6E9468C	10505038	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_sh2025_2b	SRA: SRS4096828	43y	NIBR CCLE	NCI-H1299	""	NCI-H1299	2	male	72h	lung; metastatic site lympnode	sh2025+dox	NCIH1299.sh2025_dox.72h
SAMN10505039	SRR8267349	2019-04-30T00:27:04Z	2018-11-30T11:20:59Z	23509968	3526495200	23509968	150	1388		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8267349/SRR8267349.1	SRX5084280	H1299_sh2025_3a	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096780	simple	9606	Homo sapiens	H1299_sh2025_3a					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	A104A2A328F976A0823E3D8D0EA50515	B1AF5771C6E1DD4D2D937F5C561DDE85	10505039	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_sh2025_3a	SRA: SRS4096780	43y	NIBR CCLE	NCI-H1299	""	NCI-H1299	3	male	48h	lung; metastatic site lympnode	sh2025+dox	NCIH1299.sh2025_dox.48h
SAMN10505040	SRR8267298	2019-04-30T00:27:05Z	2018-11-30T11:24:34Z	29206981	4381047150	29206981	150	1730		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR8267298/SRR8267298.1	SRX5084329	H1299_sh2025_3b	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096827	simple	9606	Homo sapiens	H1299_sh2025_3b					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	25E535F9B127768275E7076427A87DDB	1284A9956959740556ECD7BB94901B3F	10505040	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_sh2025_3b	SRA: SRS4096827	43y	NIBR CCLE	NCI-H1299	""	NCI-H1299	3	male	72h	lung; metastatic site lympnode	sh2025+dox	NCIH1299.sh2025_dox.72h
SAMN10505041	SRR8267293	2019-04-30T00:27:05Z	2018-11-30T11:21:32Z	23952578	3592886700	23952578	150	1425		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR8267293/SRR8267293.1	SRX5084338	H1299_sh5537_1a	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096836	simple	9606	Homo sapiens	H1299_sh5537_1a					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	82B0F26349756461774B8B281CE32678	5FD02EA184ADA97FF4EEEDBC6C0C0D0F	10505041	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_sh5537_1a	SRA: SRS4096836	43y	NIBR CCLE	NCI-H1299	""	NCI-H1299	1	male	48h	lung; metastatic site lympnode	sh5537+dox	NCIH1299.sh5537_dox.48h
SAMN10505042	SRR8267295	2019-04-30T00:27:05Z	2018-11-30T11:22:05Z	28482745	4272411750	28482745	150	1696		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8267295/SRR8267295.1	SRX5084334	H1299_sh5537_1b	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096832	simple	9606	Homo sapiens	H1299_sh5537_1b					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	FCD8A36F814B8F448D0CB91CBAE59882	0C120E9E5A7B723EF0D66CCB4A431F84	10505042	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_sh5537_1b	SRA: SRS4096832	43y	NIBR CCLE	NCI-H1299	""	NCI-H1299	1	male	72h	lung; metastatic site lympnode	sh5537+dox	NCIH1299.sh5537_dox.72h
SAMN10505043	SRR8267301	2019-04-30T00:27:05Z	2018-11-30T11:21:17Z	22296801	3344520150	22296801	150	1332		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8267301/SRR8267301.1	SRX5084333	H1299_sh5537_2a	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096830	simple	9606	Homo sapiens	H1299_sh5537_2a					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	69A0358C5333ABCD6AC1D2AAD3F37ED3	A30DF96DC3A257FA1C250298E73A5327	10505043	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_sh5537_2a	SRA: SRS4096830	43y	NIBR CCLE	NCI-H1299	""	NCI-H1299	2	male	48h	lung; metastatic site lympnode	sh5537+dox	NCIH1299.sh5537_dox.48h
SAMN10505044	SRR8267292	2019-04-30T00:27:05Z	2018-11-30T11:22:11Z	26645632	3996844800	26645632	150	1586		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8267292/SRR8267292.1	SRX5084336	H1299_sh5537_2b	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096834	simple	9606	Homo sapiens	H1299_sh5537_2b					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	B8E824F9A14EC3D1EB9489D86A62E6C2	08E19E0391709014155558852CF33E78	10505044	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_sh5537_2b	SRA: SRS4096834	43y	NIBR CCLE	NCI-H1299	""	NCI-H1299	2	male	72h	lung; metastatic site lympnode	sh5537+dox	NCIH1299.sh5537_dox.72h
SAMN10505045	SRR8267350	2019-04-30T00:27:04Z	2018-11-30T11:22:21Z	23752377	3562856550	23752377	150	1418		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-16/SRR8267350/SRR8267350.1	SRX5084279	H1299_sh5537_3a	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096777	simple	9606	Homo sapiens	H1299_sh5537_3a					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	803ABEB53A5F8975216B896F6A0E3113	FBB6FA7162E45F32306B146ADF88325B	10505045	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_sh5537_3a	SRA: SRS4096777	43y	NIBR CCLE	NCI-H1299	""	NCI-H1299	3	male	48h	lung; metastatic site lympnode	sh5537+dox	NCIH1299.sh5537_dox.48h
SAMN10505046	SRR8267291	2019-04-30T00:27:05Z	2018-11-30T11:21:02Z	26871697	4030754550	26871697	150	1586		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR8267291/SRR8267291.1	SRX5084337	H1299_sh5537_3b	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	SRP171611	PRJNA507754		507754	SRS4096835	simple	9606	Homo sapiens	H1299_sh5537_3b					male		no					NOVARTIS INSTITUTES FOR BIOMEDICAL RESEARCH	SRA817350		public	0EE4B1F51807573BBEA40FAFAFC99511	17D782305861535AB078CC6039D72E76	10505046	Human sample from Homo sapiens	Novartis Institutes for Biomedical Research	9606	Sample name: H1299_sh5537_3b	SRA: SRS4096835	43y	NIBR CCLE	NCI-H1299	""	NCI-H1299	3	male	72h	lung; metastatic site lympnode	sh5537+dox	NCIH1299.sh5537_dox.72h
