BioSample	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	uid	title	organization	taxonomy	sra	geo	chip antibody	internal id	method	replicate	source_name	treatment	group
SAMN07411178	SRR5863520	2018-03-03T12:41:06Z	2017-07-24T17:10:36Z	15985401	1598540100	15985401	100	687		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863520/SRR5863520.1	SRX3032058		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380904	simple	9606	Homo sapiens	GSM2716768							no					GEO	SRA590769		public	B6201D7AB0A2CA953D006FFBDF4F7EE2	BFA79FC521D86B9039433A61F08D3B84	7411178	RNAseq_MV-4-11-B_NA_EX00101218_5uM_4h_NA_NA_NA_rep1_J4196	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380904	GSM2716768	Not applicable	J4196	RNA-seq	rep1	MV-4-11-B cells	EX00101218, 5uM, 4h	MV_4_11_B.EX00101218.5uM
SAMN07411199	SRR5863521	2018-03-03T12:41:06Z	2017-07-24T17:09:01Z	17577327	1757732700	17577327	100	792		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863521/SRR5863521.1	SRX3032059		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380905	simple	9606	Homo sapiens	GSM2716769							no					GEO	SRA590769		public	B5EB98EC14200F6F6BF07671B2306BE8	D82A0B6CA906D439CDC28D1A9731D047	7411199	RNAseq_MV-4-11-B_NA_EX00101218_5uM_4h_NA_NA_NA_rep2_J4204	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380905	GSM2716769	Not applicable	J4204	RNA-seq	rep2	MV-4-11-B cells	EX00101218, 5uM, 4h	MV_4_11_B.EX00101218.5uM
SAMN07411198	SRR5863523	2018-03-03T12:41:06Z	2017-07-24T17:11:40Z	18625239	1862523900	18625239	100	820		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863523/SRR5863523.1	SRX3032060		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380906	simple	9606	Homo sapiens	GSM2716770							no					GEO	SRA590769		public	BAEB24F3EE7392024B3F8C7532829E34	994EBEDF1C5663CA268EE1CF858B525A	7411198	RNAseq_NCI-H2171_NA_BI00894999_100nM_4h_NA_NA_NA_rep1_J4147	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380906	GSM2716770	Not applicable	J4147	RNA-seq	rep1	NCI-H2171 cells	BI00894999, 100nM, 4h	NCI_H2171.BI00894999.100nM
SAMN07411181	SRR5863524	2018-03-03T12:41:06Z	2017-07-24T17:09:31Z	10716656	1071665600	10716656	100	472		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863524/SRR5863524.1	SRX3032061		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380909	simple	9606	Homo sapiens	GSM2716771							no					GEO	SRA590769		public	6341A18A7824738285ED9A028D8FA9BE	1080C935662318E9C9B5232495707FA2	7411181	RNAseq_NCI-H2171_NA_BI00894999_100nM_4h_NA_NA_NA_rep2_J4155	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380909	GSM2716771	Not applicable	J4155	RNA-seq	rep2	NCI-H2171 cells	BI00894999, 100nM, 4h	NCI_H2171.BI00894999.100nM
SAMN07411180	SRR5863525	2018-03-03T12:41:06Z	2017-07-24T17:09:55Z	9874576	987457600	9874576	100	439		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863525/SRR5863525.1	SRX3032062		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380907	simple	9606	Homo sapiens	GSM2716772							no					GEO	SRA590769		public	36B00D973D0C3838701099EED7210FC6	B5BB3BC3EA754E911FAD41B58F19723B	7411180	RNAseq_NCI-H2171_NA_DMSO_NA_NA_NA_NA_NA_rep1_J4146	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380907	GSM2716772	Not applicable	J4146	RNA-seq	rep1	NCI-H2171 cells	DMSO	NCI_H2171.DMSO.NA
SAMN07411191	SRR5863526	2018-03-03T12:41:06Z	2017-07-24T17:07:24Z	9545603	954560300	9545603	100	424		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863526/SRR5863526.1	SRX3032063		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380908	simple	9606	Homo sapiens	GSM2716773							no					GEO	SRA590769		public	159B39E080CF629BEEF9DA84F56A6135	C5CA5A7B1A9D34FCEC2C409A5BB56088	7411191	RNAseq_NCI-H2171_NA_DMSO_NA_NA_NA_NA_NA_rep2_J4154	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380908	GSM2716773	Not applicable	J4154	RNA-seq	rep2	NCI-H2171 cells	DMSO	NCI_H2171.DMSO.NA
SAMN07411183	SRR5863527	2018-03-03T12:41:06Z	2017-07-24T17:09:51Z	22959601	2295960100	22959601	100	997		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863527/SRR5863527.1	SRX3032064		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380910	simple	9606	Homo sapiens	GSM2716774							no					GEO	SRA590769		public	4991B944A3CA83F87CCCE17B75709151	7DA724B712A969697BD8594895E297AF	7411183	RNAseq_OCI-AML3_NA_BI00894999_35nM_4h_NA_NA_NA_rep1_J4235	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380910	GSM2716774	Not applicable	J4235	RNA-seq	rep1	OCI-AML3 cells	BI00894999, 35nM, 4h	OCI_AML3.BI00894999.35nM
SAMN07411182	SRR5863528	2018-03-03T12:41:06Z	2017-07-24T17:14:57Z	23216232	2321623200	23216232	100	1008		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863528/SRR5863528.1	SRX3032065		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380911	simple	9606	Homo sapiens	GSM2716775							no					GEO	SRA590769		public	AEC24B7FF9A3A8F84C21DB94B8C9004A	306509815F3CA87ECDFBC2E0DAE9CADF	7411182	RNAseq_OCI-AML3_NA_BI00894999_35nM_4h_NA_NA_NA_rep2_J4239	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380911	GSM2716775	Not applicable	J4239	RNA-seq	rep2	OCI-AML3 cells	BI00894999, 35nM, 4h	OCI_AML3.BI00894999.35nM
SAMN07411184	SRR5863529	2018-03-03T12:41:06Z	2017-07-24T17:08:23Z	9449413	944941300	9449413	100	415		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863529/SRR5863529.1	SRX3032066		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380912	simple	9606	Homo sapiens	GSM2716776							no					GEO	SRA590769		public	D546B15A2BBBDBDD1D2A5EFA0E95EC00	FB45F4AD0D381753EA2D92C14CEA6E55	7411184	RNAseq_OCI-AML3_NA_DMSO_NA_NA_NA_NA_NA_rep1_J4234	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380912	GSM2716776	Not applicable	J4234	RNA-seq	rep1	OCI-AML3 cells	DMSO	OCI_AML3.DMSO.NA
SAMN07411190	SRR5863530	2018-03-03T12:41:06Z	2017-07-24T17:08:12Z	13290487	1329048700	13290487	100	582		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-12/SRR5863530/SRR5863530.1	SRX3032067		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 1500	SRP113492	PRJNA395584	2	395584	SRS2380914	simple	9606	Homo sapiens	GSM2716777							no					GEO	SRA590769		public	DEC3DAAD49E047DEFA45BF2672069E72	18DC71C2519973AAEE942FB7CA036C14	7411190	RNAseq_OCI-AML3_NA_DMSO_NA_NA_NA_NA_NA_rep2_J4238	Bioinformatics, Cancer Research, Boehringer Ingelheim RCV GmbH & Co KG	9606	SRS2380914	GSM2716777	Not applicable	J4238	RNA-seq	rep2	OCI-AML3 cells	DMSO	OCI_AML3.DMSO.NA
